	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
OG0008085	GBNXA_000019-T1	
OG0008086	GBNXA_000040-T1	
OG0008087	GBNXA_000041-T1	
OG0008088	GBNXA_000053-T1	
OG0008089	GBNXA_000064-T1	
OG0008090	GBNXA_000099-T1	
OG0008091	GBNXA_000118-T1	
OG0008092	GBNXA_000131-T1	
OG0008093	GBNXA_000134-T1	
OG0008094	GBNXA_000151-T1	
OG0008095	GBNXA_000156-T1	
OG0008096	GBNXA_000174-T1	
OG0008097	GBNXA_000195-T1	
OG0008098	GBNXA_000220-T1	
OG0008099	GBNXA_000233-T1	
OG0008100	GBNXA_000248-T1	
OG0008101	GBNXA_000254-T1	
OG0008102	GBNXA_000256-T1	
OG0008103	GBNXA_000273-T1	
OG0008104	GBNXA_000280-T1	
OG0008105	GBNXA_000298-T1	
OG0008106	GBNXA_000307-T1	
OG0008107	GBNXA_000308-T1	
OG0008108	GBNXA_000321-T1	
OG0008109	GBNXA_000322-T1	
OG0008110	GBNXA_000345-T1	
OG0008111	GBNXA_000375-T1	
OG0008112	GBNXA_000395-T1	
OG0008113	GBNXA_000426-T1	
OG0008114	GBNXA_000470-T1	
OG0008115	GBNXA_000476-T1	
OG0008116	GBNXA_000509-T1	
OG0008117	GBNXA_000525-T1	
OG0008118	GBNXA_000532-T1	
OG0008119	GBNXA_000557-T1	
OG0008120	GBNXA_000562-T1	
OG0008121	GBNXA_000565-T1	
OG0008122	GBNXA_000571-T1	
OG0008123	GBNXA_000579-T1	
OG0008124	GBNXA_000586-T1	
OG0008125	GBNXA_000589-T1	
OG0008126	GBNXA_000593-T1	
OG0008127	GBNXA_000623-T1	
OG0008128	GBNXA_000624-T1	
OG0008129	GBNXA_000633-T1	
OG0008130	GBNXA_000638-T1	
OG0008131	GBNXA_000641-T1	
OG0008132	GBNXA_000655-T1	
OG0008133	GBNXA_000657-T1	
OG0008134	GBNXA_000659-T1	
OG0008135	GBNXA_000664-T1	
OG0008136	GBNXA_000690-T1	
OG0008137	GBNXA_000716-T1	
OG0008138	GBNXA_000719-T1	
OG0008139	GBNXA_000750-T1	
OG0008140	GBNXA_000771-T1	
OG0008141	GBNXA_000794-T1	
OG0008142	GBNXA_000807-T1	
OG0008143	GBNXA_000825-T1	
OG0008144	GBNXA_000846-T1	
OG0008145	GBNXA_000850-T1	
OG0008146	GBNXA_000851-T1	
OG0008147	GBNXA_000865-T1	
OG0008148	GBNXA_000885-T1	
OG0008149	GBNXA_000911-T1	
OG0008150	GBNXA_000912-T1	
OG0008151	GBNXA_000923-T1	
OG0008152	GBNXA_000931-T1	
OG0008153	GBNXA_000953-T1	
OG0008154	GBNXA_000960-T1	
OG0008155	GBNXA_000962-T1	
OG0008156	GBNXA_001004-T1	
OG0008157	GBNXA_001005-T1	
OG0008158	GBNXA_001007-T1	
OG0008159	GBNXA_001008-T1	
OG0008160	GBNXA_001019-T1	
OG0008161	GBNXA_001041-T1	
OG0008162	GBNXA_001042-T1	
OG0008163	GBNXA_001051-T1	
OG0008164	GBNXA_001056-T1	
OG0008165	GBNXA_001062-T1	
OG0008166	GBNXA_001068-T1	
OG0008167	GBNXA_001069-T1	
OG0008168	GBNXA_001077-T1	
OG0008169	GBNXA_001085-T1	
OG0008170	GBNXA_001086-T1	
OG0008171	GBNXA_001094-T1	
OG0008172	GBNXA_001136-T1	
OG0008173	GBNXA_001142-T1	
OG0008174	GBNXA_001146-T1	
OG0008175	GBNXA_001149-T1	
OG0008176	GBNXA_001154-T1	
OG0008177	GBNXA_001169-T1	
OG0008178	GBNXA_001189-T1	
OG0008179	GBNXA_001191-T1	
OG0008180	GBNXA_001222-T1	
OG0008181	GBNXA_001224-T1	
OG0008182	GBNXA_001228-T1	
OG0008183	GBNXA_001230-T1	
OG0008184	GBNXA_001239-T1	
OG0008185	GBNXA_001251-T1	
OG0008186	GBNXA_001256-T1	
OG0008187	GBNXA_001267-T1	
OG0008188	GBNXA_001273-T1	
OG0008189	GBNXA_001316-T1	
OG0008190	GBNXA_001320-T1	
OG0008191	GBNXA_001332-T1	
OG0008192	GBNXA_001334-T1	
OG0008193	GBNXA_001373-T1	
OG0008194	GBNXA_001379-T1	
OG0008195	GBNXA_001393-T1	
OG0008196	GBNXA_001400-T1	
OG0008197	GBNXA_001414-T1	
OG0008198	GBNXA_001424-T1	
OG0008199	GBNXA_001431-T1	
OG0008200	GBNXA_001473-T1	
OG0008201	GBNXA_001485-T1	
OG0008202	GBNXA_001497-T1	
OG0008203	GBNXA_001507-T1	
OG0008204	GBNXA_001533-T1	
OG0008205	GBNXA_001555-T1	
OG0008206	GBNXA_001571-T1	
OG0008207	GBNXA_001595-T1	
OG0008208	GBNXA_001599-T1	
OG0008209	GBNXA_001604-T1	
OG0008210	GBNXA_001605-T1	
OG0008211	GBNXA_001633-T1	
OG0008212	GBNXA_001637-T1	
OG0008213	GBNXA_001642-T1	
OG0008214	GBNXA_001668-T1	
OG0008215	GBNXA_001669-T1	
OG0008216	GBNXA_001670-T1	
OG0008217	GBNXA_001671-T1	
OG0008218	GBNXA_001672-T1	
OG0008219	GBNXA_001689-T1	
OG0008220	GBNXA_001690-T1	
OG0008221	GBNXA_001691-T1	
OG0008222	GBNXA_001727-T1	
OG0008223	GBNXA_001734-T1	
OG0008224	GBNXA_001738-T1	
OG0008225	GBNXA_001742-T1	
OG0008226	GBNXA_001745-T1	
OG0008227	GBNXA_001759-T1	
OG0008228	GBNXA_001763-T1	
OG0008229	GBNXA_001812-T1	
OG0008230	GBNXA_001903-T1	
OG0008231	GBNXA_001909-T1	
OG0008232	GBNXA_001921-T1	
OG0008233	GBNXA_001922-T1	
OG0008234	GBNXA_001942-T1	
OG0008235	GBNXA_001969-T1	
OG0008236	GBNXA_001989-T1	
OG0008237	GBNXA_001995-T1	
OG0008238	GBNXA_002000-T1	
OG0008239	GBNXA_002024-T1	
OG0008240	GBNXA_002028-T1	
OG0008241	GBNXA_002035-T1	
OG0008242	GBNXA_002036-T1	
OG0008243	GBNXA_002037-T1	
OG0008244	GBNXA_002053-T1	
OG0008245	GBNXA_002072-T1	
OG0008246	GBNXA_002077-T1	
OG0008247	GBNXA_002078-T1	
OG0008248	GBNXA_002088-T1	
OG0008249	GBNXA_002130-T1	
OG0008250	GBNXA_002146-T1	
OG0008251	GBNXA_002201-T1	
OG0008252	GBNXA_002216-T1	
OG0008253	GBNXA_002223-T1	
OG0008254	GBNXA_002237-T1	
OG0008255	GBNXA_002267-T1	
OG0008256	GBNXA_002268-T1	
OG0008257	GBNXA_002269-T1	
OG0008258	GBNXA_002271-T1	
OG0008259	GBNXA_002272-T1	
OG0008260	GBNXA_002290-T1	
OG0008261	GBNXA_002291-T1	
OG0008262	GBNXA_002292-T1	
OG0008263	GBNXA_002306-T1	
OG0008264	GBNXA_002316-T1	
OG0008265	GBNXA_002322-T1	
