	Circinella_angarensis_RSA_198_Plus.aa	Circinella_angarensis_RSA_618-.aa
OG0008621	GBNTO_000021-T1	
OG0008622	GBNTO_000024-T1	
OG0008623	GBNTO_000061-T1	
OG0008624	GBNTO_000062-T1	
OG0008625	GBNTO_000090-T1	
OG0008626	GBNTO_000095-T1	
OG0008627	GBNTO_000096-T1	
OG0008628	GBNTO_000102-T1	
OG0008629	GBNTO_000122-T1	
OG0008630	GBNTO_000125-T1	
OG0008631	GBNTO_000128-T1	
OG0008632	GBNTO_000148-T1	
OG0008633	GBNTO_000152-T1	
OG0008634	GBNTO_000156-T1	
OG0008635	GBNTO_000188-T1	
OG0008636	GBNTO_000190-T1	
OG0008637	GBNTO_000198-T1	
OG0008638	GBNTO_000200-T1	
OG0008639	GBNTO_000213-T1	
OG0008640	GBNTO_000222-T1	
OG0008641	GBNTO_000226-T1	
OG0008642	GBNTO_000233-T1	
OG0008643	GBNTO_000234-T1	
OG0008644	GBNTO_000239-T1	
OG0008645	GBNTO_000240-T1	
OG0008646	GBNTO_000244-T1	
OG0008647	GBNTO_000245-T1	
OG0008648	GBNTO_000278-T1	
OG0008649	GBNTO_000281-T1	
OG0008650	GBNTO_000288-T1	
OG0008651	GBNTO_000290-T1	
OG0008652	GBNTO_000294-T1	
OG0008653	GBNTO_000302-T1	
OG0008654	GBNTO_000305-T1	
OG0008655	GBNTO_000312-T1	
OG0008656	GBNTO_000314-T1	
OG0008657	GBNTO_000331-T1	
OG0008658	GBNTO_000334-T1	
OG0008659	GBNTO_000343-T1	
OG0008660	GBNTO_000352-T1	
OG0008661	GBNTO_000367-T1	
OG0008662	GBNTO_000368-T1	
OG0008663	GBNTO_000374-T1	
OG0008664	GBNTO_000378-T1	
OG0008665	GBNTO_000411-T1	
OG0008666	GBNTO_000423-T1	
OG0008667	GBNTO_000451-T1	
OG0008668	GBNTO_000481-T1	
OG0008669	GBNTO_000482-T1	
OG0008670	GBNTO_000486-T1	
OG0008671	GBNTO_000489-T1	
OG0008672	GBNTO_000490-T1	
OG0008673	GBNTO_000499-T1	
OG0008674	GBNTO_000510-T1	
OG0008675	GBNTO_000512-T1	
OG0008676	GBNTO_000543-T1	
OG0008677	GBNTO_000554-T1	
OG0008678	GBNTO_000561-T1	
OG0008679	GBNTO_000568-T1	
OG0008680	GBNTO_000569-T1	
OG0008681	GBNTO_000571-T1	
OG0008682	GBNTO_000576-T1	
OG0008683	GBNTO_000589-T1	
OG0008684	GBNTO_000597-T1	
OG0008685	GBNTO_000604-T1	
OG0008686	GBNTO_000616-T1	
OG0008687	GBNTO_000622-T1	
OG0008688	GBNTO_000625-T1	
OG0008689	GBNTO_000641-T1	
OG0008690	GBNTO_000648-T1	
OG0008691	GBNTO_000657-T1	
OG0008692	GBNTO_000659-T1	
OG0008693	GBNTO_000660-T1	
OG0008694	GBNTO_000667-T1	
OG0008695	GBNTO_000678-T1	
OG0008696	GBNTO_000681-T1	
OG0008697	GBNTO_000686-T1	
OG0008698	GBNTO_000707-T1	
OG0008699	GBNTO_000773-T1	
OG0008700	GBNTO_000793-T1	
OG0008701	GBNTO_000800-T1	
OG0008702	GBNTO_000820-T1	
OG0008703	GBNTO_000829-T1	
OG0008704	GBNTO_000841-T1	
OG0008705	GBNTO_000865-T1	
OG0008706	GBNTO_000883-T1	
OG0008707	GBNTO_000889-T1	
OG0008708	GBNTO_000894-T1	
OG0008709	GBNTO_000896-T1	
OG0008710	GBNTO_000905-T1	
OG0008711	GBNTO_000907-T1	
OG0008712	GBNTO_000913-T1	
OG0008713	GBNTO_000917-T1	
OG0008714	GBNTO_000938-T1	
OG0008715	GBNTO_000942-T1	
OG0008716	GBNTO_000958-T1	
OG0008717	GBNTO_000969-T1	
OG0008718	GBNTO_000987-T1	
OG0008719	GBNTO_001000-T1	
OG0008720	GBNTO_001025-T1	
OG0008721	GBNTO_001026-T1	
OG0008722	GBNTO_001038-T1	
OG0008723	GBNTO_001043-T1	
OG0008724	GBNTO_001047-T1	
OG0008725	GBNTO_001059-T1	
OG0008726	GBNTO_001085-T1	
OG0008727	GBNTO_001086-T1	
OG0008728	GBNTO_001106-T1	
OG0008729	GBNTO_001107-T1	
OG0008730	GBNTO_001111-T1	
OG0008731	GBNTO_001114-T1	
OG0008732	GBNTO_001118-T1	
OG0008733	GBNTO_001130-T1	
OG0008734	GBNTO_001136-T1	
OG0008735	GBNTO_001140-T1	
OG0008736	GBNTO_001149-T1	
OG0008737	GBNTO_001156-T1	
OG0008738	GBNTO_001159-T1	
OG0008739	GBNTO_001176-T1	
OG0008740	GBNTO_001179-T1	
OG0008741	GBNTO_001196-T1	
OG0008742	GBNTO_001197-T1	
OG0008743	GBNTO_001209-T1	
OG0008744	GBNTO_001217-T1	
OG0008745	GBNTO_001267-T1	
OG0008746	GBNTO_001270-T1	
OG0008747	GBNTO_001280-T1	
OG0008748	GBNTO_001304-T1	
OG0008749	GBNTO_001307-T1	
OG0008750	GBNTO_001315-T1	
OG0008751	GBNTO_001353-T1	
OG0008752	GBNTO_001359-T1	
OG0008753	GBNTO_001365-T1	
OG0008754	GBNTO_001366-T1	
OG0008755	GBNTO_001391-T1	
OG0008756	GBNTO_001393-T1	
OG0008757	GBNTO_001397-T1	
OG0008758	GBNTO_001404-T1	
OG0008759	GBNTO_001409-T1	
OG0008760	GBNTO_001425-T1	
OG0008761	GBNTO_001428-T1	
OG0008762	GBNTO_001444-T1	
OG0008763	GBNTO_001446-T1	
OG0008764	GBNTO_001453-T1	
OG0008765	GBNTO_001465-T1	
OG0008766	GBNTO_001472-T1	
OG0008767	GBNTO_001475-T1	
OG0008768	GBNTO_001485-T1	
OG0008769	GBNTO_001532-T1	
OG0008770	GBNTO_001544-T1	
OG0008771	GBNTO_001564-T1	
OG0008772	GBNTO_001567-T1	
OG0008773	GBNTO_001584-T1	
OG0008774	GBNTO_001593-T1	
OG0008775	GBNTO_001600-T1	
OG0008776	GBNTO_001626-T1	
OG0008777	GBNTO_001665-T1	
OG0008778	GBNTO_001671-T1	
OG0008779	GBNTO_001690-T1	
OG0008780	GBNTO_001701-T1	
OG0008781	GBNTO_001723-T1	
OG0008782	GBNTO_001736-T1	
OG0008783	GBNTO_001746-T1	
OG0008784	GBNTO_001788-T1	
OG0008785	GBNTO_001791-T1	
OG0008786	GBNTO_001792-T1	
OG0008787	GBNTO_001797-T1	
OG0008788	GBNTO_001825-T1	
OG0008789	GBNTO_001851-T1	
OG0008790	GBNTO_001857-T1	
OG0008791	GBNTO_001858-T1	
OG0008792	GBNTO_001862-T1	
OG0008793	GBNTO_001877-T1	
OG0008794	GBNTO_001895-T1	
OG0008795	GBNTO_001928-T1	
OG0008796	GBNTO_001939-T1	
OG0008797	GBNTO_001946-T1	
OG0008798	GBNTO_001947-T1	
OG0008799	GBNTO_001951-T1	
OG0008800	GBNTO_001952-T1	
OG0008801	GBNTO_001954-T1	
OG0008802	GBNTO_001956-T1	
OG0008803	GBNTO_001990-T1	
OG0008804	GBNTO_001993-T1	
OG0008805	GBNTO_002020-T1	
OG0008806	GBNTO_002031-T1	
OG0008807	GBNTO_002042-T1	
OG0008808	GBNTO_002057-T1	
OG0008809	GBNTO_002060-T1	
OG0008810	GBNTO_002087-T1	
OG0008811	GBNTO_002092-T1	
OG0008812	GBNTO_002098-T1	
OG0008813	GBNTO_002154-T1	
OG0008814	GBNTO_002157-T1	
OG0008815	GBNTO_002163-T1	
OG0008816	GBNTO_002168-T1	
OG0008817	GBNTO_002169-T1	
OG0008818	GBNTO_002184-T1	
OG0008819	GBNTO_002207-T1	
OG0008820	GBNTO_002215-T1	
OG0008821	GBNTO_002254-T1	
OG0008822	GBNTO_002255-T1	
OG0008823	GBNTO_002274-T1	
OG0008824	GBNTO_002283-T1	
OG0008825	GBNTO_002289-T1	
OG0008826	GBNTO_002291-T1	
OG0008827	GBNTO_002292-T1	
OG0008828	GBNTO_002325-T1	
OG0008829	GBNTO_002327-T1	
OG0008830	GBNTO_002340-T1	
OG0008831	GBNTO_002347-T1	
OG0008832	GBNTO_002348-T1	
OG0008833	GBNTO_002351-T1	
OG0008834	GBNTO_002355-T1	
OG0008835	GBNTO_002358-T1	
OG0008836	GBNTO_002378-T1	
OG0008837	GBNTO_002386-T1	
OG0008838	GBNTO_002395-T1	
OG0008839	GBNTO_002396-T1	
OG0008840	GBNTO_002397-T1	
OG0008841	GBNTO_002402-T1	
OG0008842	GBNTO_002436-T1	
OG0008843	GBNTO_002453-T1	
OG0008844	GBNTO_002456-T1	
OG0008845	GBNTO_002464-T1	
OG0008846	GBNTO_002474-T1	
OG0008847	GBNTO_002484-T1	
OG0008848	GBNTO_002496-T1	
OG0008849	GBNTO_002528-T1	
OG0008850	GBNTO_002549-T1	
OG0008851	GBNTO_002564-T1	
OG0008852	GBNTO_002568-T1	
OG0008853	GBNTO_002576-T1	
OG0008854	GBNTO_002581-T1	
OG0008855	GBNTO_002616-T1	
OG0008856	GBNTO_002624-T1	
OG0008857	GBNTO_002638-T1	
OG0008858	GBNTO_002661-T1	
OG0008859	GBNTO_002662-T1	
OG0008860	GBNTO_002734-T1	
OG0008861	GBNTO_002763-T1	
OG0008862	GBNTO_002764-T1	
OG0008863	GBNTO_002776-T1	
OG0008864	GBNTO_002793-T1	
OG0008865	GBNTO_002809-T1	
OG0008866	GBNTO_002813-T1	
OG0008867	GBNTO_002814-T1	
OG0008868	GBNTO_002817-T1	
OG0008869	GBNTO_002833-T1	
OG0008870	GBNTO_002837-T1	
OG0008871	GBNTO_002849-T1	
OG0008872	GBNTO_002854-T1	
OG0008873	GBNTO_002874-T1	
OG0008874	GBNTO_002885-T1	
OG0008875	GBNTO_002889-T1	
OG0008876	GBNTO_002922-T1	
OG0008877	GBNTO_002923-T1	
OG0008878	GBNTO_002925-T1	
OG0008879	GBNTO_002935-T1	
OG0008880	GBNTO_002947-T1	
OG0008881	GBNTO_002952-T1	
OG0008882	GBNTO_002953-T1	
OG0008883	GBNTO_002975-T1	
OG0008884	GBNTO_002977-T1	
OG0008885	GBNTO_002999-T1	
OG0008886	GBNTO_003005-T1	
OG0008887	GBNTO_003022-T1	
OG0008888	GBNTO_003053-T1	
OG0008889	GBNTO_003054-T1	
OG0008890	GBNTO_003057-T1	
OG0008891	GBNTO_003068-T1	
OG0008892	GBNTO_003070-T1	
OG0008893	GBNTO_003074-T1	
OG0008894	GBNTO_003093-T1	
OG0008895	GBNTO_003095-T1	
OG0008896	GBNTO_003103-T1	
OG0008897	GBNTO_003108-T1	
OG0008898	GBNTO_003109-T1	
OG0008899	GBNTO_003115-T1	
OG0008900	GBNTO_003117-T1	
OG0008901	GBNTO_003122-T1	
OG0008902	GBNTO_003129-T1	
OG0008903	GBNTO_003132-T1	
OG0008904	GBNTO_003138-T1	
OG0008905	GBNTO_003162-T1	
OG0008906	GBNTO_003198-T1	
OG0008907	GBNTO_003200-T1	
OG0008908	GBNTO_003201-T1	
OG0008909	GBNTO_003202-T1	
OG0008910	GBNTO_003208-T1	
OG0008911	GBNTO_003209-T1	
OG0008912	GBNTO_003224-T1	
OG0008913	GBNTO_003232-T1	
OG0008914	GBNTO_003237-T1	
OG0008915	GBNTO_003240-T1	
OG0008916	GBNTO_003242-T1	
OG0008917	GBNTO_003246-T1	
OG0008918	GBNTO_003254-T1	
OG0008919	GBNTO_003263-T1	
OG0008920	GBNTO_003279-T1	
OG0008921	GBNTO_003291-T1	
OG0008922	GBNTO_003307-T1	
OG0008923	GBNTO_003314-T1	
OG0008924	GBNTO_003326-T1	
OG0008925	GBNTO_003365-T1	
OG0008926	GBNTO_003382-T1	
OG0008927	GBNTO_003396-T1	
OG0008928	GBNTO_003398-T1	
OG0008929	GBNTO_003401-T1	
OG0008930	GBNTO_003420-T1	
OG0008931	GBNTO_003423-T1	
OG0008932	GBNTO_003433-T1	
OG0008933	GBNTO_003445-T1	
OG0008934	GBNTO_003450-T1	
OG0008935	GBNTO_003453-T1	
OG0008936	GBNTO_003459-T1	
OG0008937	GBNTO_003460-T1	
OG0008938	GBNTO_003482-T1	
OG0008939	GBNTO_003490-T1	
OG0008940	GBNTO_003495-T1	
OG0008941	GBNTO_003503-T1	
OG0008942	GBNTO_003508-T1	
OG0008943	GBNTO_003579-T1	
OG0008944	GBNTO_003594-T1	
OG0008945	GBNTO_003603-T1	
