	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
OG0000000	GBNWP_000420-T1, GBNWP_000446-T1, GBNWP_000639-T1, GBNWP_000794-T1, GBNWP_001290-T1, GBNWP_002311-T1, GBNWP_003084-T1, GBNWP_003950-T1, GBNWP_004908-T1, GBNWP_005241-T1, GBNWP_005611-T1, GBNWP_006397-T1, GBNWP_007046-T1, GBNWP_008670-T1, GBNWP_008676-T1, GBNWP_008679-T1, GBNWP_008680-T1, GBNWP_009351-T1, GBNWP_009368-T1, GBNWP_009762-T1, GBNWP_009926-T1, GBNWP_010890-T1	CHXZG_001388-T1, CHXZG_001470-T1, CHXZG_003277-T1, CHXZG_005165-T1, CHXZG_005251-T1, CHXZG_005900-T1, CHXZG_007471-T1, CHXZG_007925-T1, CHXZG_007999-T1, CHXZG_008305-T1, CHXZG_008982-T1, CHXZG_008983-T1, CHXZG_008985-T1, CHXZG_008992-T1, CHXZG_008994-T1, CHXZG_009109-T1, CHXZG_009609-T1, CHXZG_010032-T1, CHXZG_011433-T1, CHXZG_011468-T1
OG0000001	GBNWP_001084-T1, GBNWP_001085-T1, GBNWP_001086-T1, GBNWP_001087-T1, GBNWP_001089-T1, GBNWP_001090-T1, GBNWP_004130-T1, GBNWP_008623-T1, GBNWP_009624-T1	CHXZG_000197-T1, CHXZG_000198-T1, CHXZG_000199-T1, CHXZG_000200-T1, CHXZG_000201-T1, CHXZG_000203-T1, CHXZG_000204-T1, CHXZG_003658-T1, CHXZG_006167-T1, CHXZG_007750-T1
OG0000002	GBNWP_000203-T1, GBNWP_000462-T1, GBNWP_000464-T1, GBNWP_001131-T1, GBNWP_001227-T1, GBNWP_002282-T1, GBNWP_003427-T1, GBNWP_003428-T1, GBNWP_003432-T1, GBNWP_004144-T1, GBNWP_004413-T1, GBNWP_004795-T1, GBNWP_006012-T1, GBNWP_006974-T1, GBNWP_008336-T1, GBNWP_009079-T1, GBNWP_010471-T1	
OG0000003	GBNWP_001560-T1, GBNWP_002771-T1, GBNWP_005399-T1, GBNWP_005762-T1, GBNWP_006957-T1, GBNWP_009662-T1, GBNWP_010140-T1, GBNWP_010169-T1	CHXZG_001637-T1, CHXZG_003833-T1, CHXZG_005808-T1, CHXZG_006345-T1, CHXZG_009192-T1, CHXZG_009291-T1, CHXZG_009755-T1, CHXZG_009782-T1
OG0000004		CHXZG_000245-T1, CHXZG_000361-T1, CHXZG_002521-T1, CHXZG_004349-T1, CHXZG_005789-T1, CHXZG_006222-T1, CHXZG_006325-T1, CHXZG_006375-T1, CHXZG_006862-T1, CHXZG_007625-T1, CHXZG_008439-T1, CHXZG_010409-T1, CHXZG_010410-T1, CHXZG_010414-T1, CHXZG_011485-T1, CHXZG_011487-T1
OG0000005	GBNWP_001772-T1, GBNWP_004189-T1, GBNWP_004849-T1, GBNWP_006178-T1, GBNWP_006180-T1, GBNWP_006181-T1, GBNWP_006182-T1	CHXZG_002224-T1, CHXZG_003640-T1, CHXZG_004999-T1, CHXZG_006775-T1, CHXZG_006776-T1, CHXZG_006777-T1, CHXZG_006778-T1, CHXZG_007947-T1
OG0000006	GBNWP_000397-T1, GBNWP_007942-T1, GBNWP_008078-T1, GBNWP_008368-T1, GBNWP_008836-T1, GBNWP_009413-T1, GBNWP_010062-T1	CHXZG_008874-T1, CHXZG_009005-T1, CHXZG_010231-T1, CHXZG_010232-T1, CHXZG_010291-T1, CHXZG_010342-T1, CHXZG_011309-T1
OG0000007	GBNWP_000952-T1, GBNWP_001504-T1, GBNWP_004731-T1, GBNWP_008403-T1, GBNWP_009325-T1, GBNWP_009329-T1, GBNWP_011160-T1	CHXZG_000087-T1, CHXZG_000091-T1, CHXZG_000092-T1, CHXZG_001150-T1, CHXZG_004269-T1, CHXZG_004313-T1, CHXZG_004873-T1
OG0000008	GBNWP_002853-T1, GBNWP_002854-T1, GBNWP_005322-T1, GBNWP_006892-T1, GBNWP_008256-T1, GBNWP_008257-T1	CHXZG_003093-T1, CHXZG_003094-T1, CHXZG_003095-T1, CHXZG_006699-T1, CHXZG_008673-T1, CHXZG_009441-T1, CHXZG_009442-T1, CHXZG_010151-T1
OG0000009	GBNWP_003865-T1, GBNWP_004771-T1, GBNWP_005599-T1, GBNWP_006032-T1, GBNWP_008120-T1, GBNWP_008477-T1	CHXZG_003601-T1, CHXZG_003673-T1, CHXZG_006261-T1, CHXZG_007266-T1, CHXZG_007414-T1, CHXZG_007607-T1, CHXZG_008317-T1, CHXZG_009210-T1
