	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
OG0009089	GBNWP_000018-T1	
OG0009090	GBNWP_000019-T1	
OG0009091	GBNWP_000067-T1	
OG0009092	GBNWP_000164-T1	
OG0009093	GBNWP_000176-T1	
OG0009094	GBNWP_000177-T1	
OG0009095	GBNWP_000196-T1	
OG0009096	GBNWP_000198-T1	
OG0009097	GBNWP_000213-T1	
OG0009098	GBNWP_000218-T1	
OG0009099	GBNWP_000260-T1	
OG0009100	GBNWP_000308-T1	
OG0009101	GBNWP_000316-T1	
OG0009102	GBNWP_000332-T1	
OG0009103	GBNWP_000357-T1	
OG0009104	GBNWP_000362-T1	
OG0009105	GBNWP_000368-T1	
OG0009106	GBNWP_000372-T1	
OG0009107	GBNWP_000395-T1	
OG0009108	GBNWP_000396-T1	
OG0009109	GBNWP_000433-T1	
OG0009110	GBNWP_000437-T1	
OG0009111	GBNWP_000438-T1	
OG0009112	GBNWP_000475-T1	
OG0009113	GBNWP_000517-T1	
OG0009114	GBNWP_000519-T1	
OG0009115	GBNWP_000574-T1	
OG0009116	GBNWP_000578-T1	
OG0009117	GBNWP_000585-T1	
OG0009118	GBNWP_000587-T1	
OG0009119	GBNWP_000590-T1	
OG0009120	GBNWP_000613-T1	
OG0009121	GBNWP_000674-T1	
OG0009122	GBNWP_000685-T1	
OG0009123	GBNWP_000710-T1	
OG0009124	GBNWP_000766-T1	
OG0009125	GBNWP_000792-T1	
OG0009126	GBNWP_000802-T1	
OG0009127	GBNWP_000806-T1	
OG0009128	GBNWP_000832-T1	
OG0009129	GBNWP_000833-T1	
OG0009130	GBNWP_000834-T1	
OG0009131	GBNWP_000857-T1	
OG0009132	GBNWP_000866-T1	
OG0009133	GBNWP_000869-T1	
OG0009134	GBNWP_000889-T1	
OG0009135	GBNWP_000905-T1	
OG0009136	GBNWP_000919-T1	
OG0009137	GBNWP_000949-T1	
OG0009138	GBNWP_000955-T1	
OG0009139	GBNWP_001027-T1	
OG0009140	GBNWP_001048-T1	
OG0009141	GBNWP_001074-T1	
OG0009142	GBNWP_001130-T1	
OG0009143	GBNWP_001154-T1	
OG0009144	GBNWP_001173-T1	
OG0009145	GBNWP_001179-T1	
OG0009146	GBNWP_001184-T1	
OG0009147	GBNWP_001209-T1	
OG0009148	GBNWP_001215-T1	
OG0009149	GBNWP_001251-T1	
OG0009150	GBNWP_001252-T1	
OG0009151	GBNWP_001315-T1	
OG0009152	GBNWP_001332-T1	
OG0009153	GBNWP_001338-T1	
OG0009154	GBNWP_001398-T1	
OG0009155	GBNWP_001404-T1	
OG0009156	GBNWP_001410-T1	
OG0009157	GBNWP_001422-T1	
OG0009158	GBNWP_001427-T1	
OG0009159	GBNWP_001442-T1	
OG0009160	GBNWP_001443-T1	
OG0009161	GBNWP_001468-T1	
OG0009162	GBNWP_001486-T1	
OG0009163	GBNWP_001508-T1	
OG0009164	GBNWP_001514-T1	
OG0009165	GBNWP_001515-T1	
OG0009166	GBNWP_001599-T1	
OG0009167	GBNWP_001612-T1	
OG0009168	GBNWP_001632-T1	
OG0009169	GBNWP_001638-T1	
OG0009170	GBNWP_001651-T1	
OG0009171	GBNWP_001667-T1	
OG0009172	GBNWP_001694-T1	
OG0009173	GBNWP_001696-T1	
