	Fennellomyces_verticellatus_RSA_2442_Plus.aa	Fennellomyces_verticellatus_RSA_2446.aa
OG0000000	GBNUN_001463-T1, GBNUN_002562-T1, GBNUN_003005-T1, GBNUN_003596-T1, GBNUN_004168-T1, GBNUN_004197-T1, GBNUN_004972-T1, GBNUN_005074-T1, GBNUN_005296-T1, GBNUN_005672-T1, GBNUN_006841-T1, GBNUN_006944-T1, GBNUN_007225-T1, GBNUN_007406-T1, GBNUN_007897-T1, GBNUN_008062-T1, GBNUN_008600-T1, GBNUN_008603-T1, GBNUN_008740-T1, GBNUN_008796-T1	CHXZO_001295-T1, CHXZO_003630-T1, CHXZO_003958-T1, CHXZO_004161-T1, CHXZO_004466-T1, CHXZO_004656-T1, CHXZO_005079-T1, CHXZO_005144-T1, CHXZO_005364-T1, CHXZO_005537-T1, CHXZO_006367-T1, CHXZO_008054-T1, CHXZO_008881-T1, CHXZO_009105-T1, CHXZO_009819-T1, CHXZO_010795-T1, CHXZO_010798-T1, CHXZO_011202-T1, CHXZO_012209-T1
OG0000001	GBNUN_001000-T1, GBNUN_002798-T1, GBNUN_003489-T1, GBNUN_004744-T1, GBNUN_005691-T1, GBNUN_005693-T1, GBNUN_005694-T1, GBNUN_006639-T1, GBNUN_007108-T1, GBNUN_007342-T1, GBNUN_008043-T1, GBNUN_008044-T1, GBNUN_009259-T1, GBNUN_010036-T1, GBNUN_010208-T1, GBNUN_010363-T1, GBNUN_010386-T1, GBNUN_011764-T1, GBNUN_011801-T1, GBNUN_011813-T1	CHXZO_000231-T1, CHXZO_000331-T1, CHXZO_000343-T1, CHXZO_001034-T1, CHXZO_002880-T1, CHXZO_002882-T1, CHXZO_002883-T1, CHXZO_004295-T1, CHXZO_004313-T1, CHXZO_006348-T1, CHXZO_006359-T1, CHXZO_007629-T1, CHXZO_008487-T1, CHXZO_009278-T1, CHXZO_010461-T1, CHXZO_011232-T1, CHXZO_011422-T1, CHXZO_011446-T1
OG0000002	GBNUN_006478-T1, GBNUN_010144-T1	CHXZO_000412-T1, CHXZO_001544-T1, CHXZO_003724-T1, CHXZO_003750-T1, CHXZO_004327-T1, CHXZO_005686-T1, CHXZO_005687-T1, CHXZO_005767-T1, CHXZO_008234-T1, CHXZO_009823-T1, CHXZO_009836-T1, CHXZO_010936-T1, CHXZO_010938-T1, CHXZO_010947-T1, CHXZO_011279-T1, CHXZO_012042-T1, CHXZO_012044-T1, CHXZO_012165-T1
OG0000003	GBNUN_000815-T1, GBNUN_002584-T1, GBNUN_003880-T1, GBNUN_003881-T1, GBNUN_006661-T1, GBNUN_006662-T1, GBNUN_006669-T1, GBNUN_007767-T1	CHXZO_000515-T1, CHXZO_000516-T1, CHXZO_000523-T1, CHXZO_000926-T1, CHXZO_000943-T1, CHXZO_000944-T1, CHXZO_001272-T1, CHXZO_002805-T1, CHXZO_006120-T1, CHXZO_009150-T1
OG0000004	GBNUN_010581-T1	CHXZO_000780-T1, CHXZO_001273-T1, CHXZO_001464-T1, CHXZO_004898-T1, CHXZO_006393-T1, CHXZO_006394-T1, CHXZO_006884-T1, CHXZO_006885-T1, CHXZO_007214-T1, CHXZO_007242-T1, CHXZO_008633-T1, CHXZO_009421-T1, CHXZO_009991-T1, CHXZO_010550-T1, CHXZO_011323-T1, CHXZO_011571-T1, CHXZO_012277-T1
OG0000005	GBNUN_000083-T1, GBNUN_000487-T1, GBNUN_003095-T1, GBNUN_003744-T1, GBNUN_003745-T1, GBNUN_003746-T1, GBNUN_005922-T1, GBNUN_011516-T1	CHXZO_001908-T1, CHXZO_001909-T1, CHXZO_002807-T1, CHXZO_003506-T1, CHXZO_003507-T1, CHXZO_003508-T1, CHXZO_005967-T1, CHXZO_006067-T1, CHXZO_011500-T1
OG0000006	GBNUN_000700-T1, GBNUN_001205-T1, GBNUN_002310-T1, GBNUN_002669-T1, GBNUN_004198-T1, GBNUN_006718-T1, GBNUN_008857-T1, GBNUN_008858-T1	CHXZO_000167-T1, CHXZO_000190-T1, CHXZO_006572-T1, CHXZO_007096-T1, CHXZO_007097-T1, CHXZO_008882-T1, CHXZO_010120-T1, CHXZO_011995-T1
OG0000007	GBNUN_000048-T1, GBNUN_000067-T1, GBNUN_000077-T1, GBNUN_000084-T1, GBNUN_001517-T1, GBNUN_001571-T1, GBNUN_002510-T1	CHXZO_000863-T1, CHXZO_001139-T1, CHXZO_001179-T1, CHXZO_004824-T1, CHXZO_005250-T1, CHXZO_006051-T1, CHXZO_006061-T1, CHXZO_006069-T1
OG0000008	GBNUN_001478-T1, GBNUN_004684-T1, GBNUN_007188-T1, GBNUN_010453-T1, GBNUN_011403-T1, GBNUN_011883-T1	CHXZO_000986-T1, CHXZO_002513-T1, CHXZO_004417-T1, CHXZO_007440-T1, CHXZO_008959-T1, CHXZO_010079-T1, CHXZO_010136-T1, CHXZO_010964-T1, CHXZO_011855-T1
OG0000009	GBNUN_001534-T1, GBNUN_010994-T1	CHXZO_000478-T1, CHXZO_002889-T1, CHXZO_003312-T1, CHXZO_004758-T1, CHXZO_004759-T1, CHXZO_004810-T1, CHXZO_005717-T1, CHXZO_007736-T1, CHXZO_009250-T1, CHXZO_011269-T1, CHXZO_011831-T1, CHXZO_011832-T1, CHXZO_011833-T1
OG0000010	GBNUN_002989-T1, GBNUN_002994-T1, GBNUN_005024-T1, GBNUN_005070-T1, GBNUN_005506-T1, GBNUN_005992-T1, GBNUN_009114-T1	CHXZO_000590-T1, CHXZO_003036-T1, CHXZO_003969-T1, CHXZO_003975-T1, CHXZO_004791-T1, CHXZO_005075-T1, CHXZO_005357-T1, CHXZO_011137-T1
OG0000011	GBNUN_000958-T1, GBNUN_003610-T1, GBNUN_003612-T1, GBNUN_003613-T1, GBNUN_003614-T1, GBNUN_005011-T1, GBNUN_008063-T1	CHXZO_002262-T1, CHXZO_002264-T1, CHXZO_002265-T1, CHXZO_002266-T1, CHXZO_006368-T1, CHXZO_008596-T1, CHXZO_012299-T1
OG0000012	GBNUN_001085-T1, GBNUN_003345-T1, GBNUN_005292-T1, GBNUN_005602-T1, GBNUN_005670-T1, GBNUN_007672-T1	CHXZO_002559-T1, CHXZO_002560-T1, CHXZO_002735-T1, CHXZO_005367-T1, CHXZO_005540-T1, CHXZO_008729-T1, CHXZO_008752-T1, CHXZO_009166-T1
OG0000013	GBNUN_000229-T1, GBNUN_008295-T1, GBNUN_009587-T1, GBNUN_010492-T1, GBNUN_010542-T1, GBNUN_011458-T1, GBNUN_011538-T1	CHXZO_000402-T1, CHXZO_001941-T1, CHXZO_005550-T1, CHXZO_008106-T1, CHXZO_009661-T1, CHXZO_012119-T1
OG0000014	GBNUN_000690-T1, GBNUN_005048-T1, GBNUN_006079-T1, GBNUN_006080-T1, GBNUN_006081-T1, GBNUN_006083-T1, GBNUN_009808-T1	CHXZO_005780-T1, CHXZO_006193-T1, CHXZO_006195-T1, CHXZO_006196-T1, CHXZO_006197-T1, CHXZO_008267-T1
OG0000015	GBNUN_001089-T1, GBNUN_001090-T1, GBNUN_002111-T1, GBNUN_002121-T1, GBNUN_003376-T1, GBNUN_004882-T1, GBNUN_007798-T1	CHXZO_002473-T1, CHXZO_003828-T1, CHXZO_003840-T1, CHXZO_004205-T1, CHXZO_009170-T1, CHXZO_009171-T1
OG0000016	GBNUN_001642-T1	CHXZO_002456-T1, CHXZO_003142-T1, CHXZO_003397-T1, CHXZO_004096-T1, CHXZO_004098-T1, CHXZO_004335-T1, CHXZO_004959-T1, CHXZO_006113-T1, CHXZO_007795-T1, CHXZO_008201-T1, CHXZO_008421-T1, CHXZO_010574-T1
OG0000017	GBNUN_001804-T1, GBNUN_002157-T1, GBNUN_002484-T1, GBNUN_004156-T1, GBNUN_007628-T1, GBNUN_009353-T1	CHXZO_001559-T1, CHXZO_004148-T1, CHXZO_005330-T1, CHXZO_008620-T1, CHXZO_010469-T1, CHXZO_010708-T1, CHXZO_011218-T1
OG0000018	GBNUN_002583-T1, GBNUN_004842-T1, GBNUN_006380-T1, GBNUN_006381-T1, GBNUN_006765-T1, GBNUN_007666-T1, GBNUN_007745-T1, GBNUN_009178-T1, GBNUN_009950-T1, GBNUN_009951-T1, GBNUN_010012-T1, GBNUN_010769-T1, GBNUN_011020-T1	
OG0000019	GBNUN_003150-T1, GBNUN_003151-T1, GBNUN_003152-T1, GBNUN_003153-T1, GBNUN_003154-T1, GBNUN_003156-T1, GBNUN_008867-T1	CHXZO_004878-T1, CHXZO_004879-T1, CHXZO_004880-T1, CHXZO_004881-T1, CHXZO_009811-T1, CHXZO_009813-T1
OG0000020	GBNUN_003525-T1, GBNUN_004836-T1, GBNUN_004837-T1	CHXZO_000585-T1, CHXZO_002418-T1, CHXZO_003308-T1, CHXZO_004232-T1, CHXZO_004233-T1, CHXZO_007042-T1, CHXZO_007847-T1, CHXZO_007848-T1, CHXZO_008308-T1, CHXZO_011024-T1
OG0000021	GBNUN_001080-T1, GBNUN_001081-T1, GBNUN_002048-T1, GBNUN_007656-T1, GBNUN_007691-T1, GBNUN_011903-T1	CHXZO_003894-T1, CHXZO_008842-T1, CHXZO_009163-T1, CHXZO_009164-T1, CHXZO_009561-T1, CHXZO_011875-T1
OG0000022	GBNUN_001127-T1, GBNUN_005897-T1, GBNUN_006776-T1, GBNUN_010014-T1, GBNUN_010035-T1, GBNUN_011609-T1	CHXZO_001658-T1, CHXZO_005971-T1, CHXZO_008016-T1, CHXZO_008635-T1, CHXZO_008658-T1, CHXZO_009209-T1
OG0000023	GBNUN_002028-T1, GBNUN_002029-T1, GBNUN_002441-T1, GBNUN_002442-T1, GBNUN_006923-T1, GBNUN_008820-T1	CHXZO_003903-T1, CHXZO_005467-T1, CHXZO_009870-T1, CHXZO_010343-T1, CHXZO_010897-T1, CHXZO_010898-T1
