	Fennellomyces_verticellatus_RSA_2442_Plus.aa	Fennellomyces_verticellatus_RSA_2446.aa
OG0009749	GBNUN_000052-T1	
OG0009750	GBNUN_000101-T1	
OG0009751	GBNUN_000139-T1	
OG0009752	GBNUN_000161-T1	
OG0009753	GBNUN_000186-T1	
OG0009754	GBNUN_000197-T1	
OG0009755	GBNUN_000235-T1	
OG0009756	GBNUN_000236-T1	
OG0009757	GBNUN_000244-T1	
OG0009758	GBNUN_000268-T1	
OG0009759	GBNUN_000270-T1	
OG0009760	GBNUN_000271-T1	
OG0009761	GBNUN_000272-T1	
OG0009762	GBNUN_000275-T1	
OG0009763	GBNUN_000276-T1	
OG0009764	GBNUN_000296-T1	
OG0009765	GBNUN_000306-T1	
OG0009766	GBNUN_000314-T1	
OG0009767	GBNUN_000323-T1	
OG0009768	GBNUN_000327-T1	
OG0009769	GBNUN_000328-T1	
OG0009770	GBNUN_000371-T1	
OG0009771	GBNUN_000389-T1	
OG0009772	GBNUN_000391-T1	
OG0009773	GBNUN_000392-T1	
OG0009774	GBNUN_000398-T1	
OG0009775	GBNUN_000408-T1	
OG0009776	GBNUN_000421-T1	
OG0009777	GBNUN_000432-T1	
OG0009778	GBNUN_000433-T1	
OG0009779	GBNUN_000434-T1	
OG0009780	GBNUN_000471-T1	
OG0009781	GBNUN_000486-T1	
OG0009782	GBNUN_000520-T1	
OG0009783	GBNUN_000549-T1	
OG0009784	GBNUN_000551-T1	
OG0009785	GBNUN_000554-T1	
OG0009786	GBNUN_000589-T1	
OG0009787	GBNUN_000590-T1	
OG0009788	GBNUN_000594-T1	
OG0009789	GBNUN_000597-T1	
OG0009790	GBNUN_000605-T1	
OG0009791	GBNUN_000609-T1	
OG0009792	GBNUN_000613-T1	
OG0009793	GBNUN_000626-T1	
OG0009794	GBNUN_000630-T1	
OG0009795	GBNUN_000634-T1	
OG0009796	GBNUN_000635-T1	
OG0009797	GBNUN_000640-T1	
OG0009798	GBNUN_000641-T1	
OG0009799	GBNUN_000677-T1	
OG0009800	GBNUN_000702-T1	
OG0009801	GBNUN_000724-T1	
OG0009802	GBNUN_000729-T1	
OG0009803	GBNUN_000751-T1	
OG0009804	GBNUN_000759-T1	
OG0009805	GBNUN_000819-T1	
OG0009806	GBNUN_000823-T1	
OG0009807	GBNUN_000826-T1	
OG0009808	GBNUN_000827-T1	
OG0009809	GBNUN_000834-T1	
OG0009810	GBNUN_000854-T1	
