	Chaetocladium_brefeldii_NRRL_1350.aa	Chaetocladium_brefeldii_RSA_1136-.aa
OG0004693	COZTY_000008-T1	
OG0004694	COZTY_000016-T1	
OG0004695	COZTY_000021-T1	
OG0004696	COZTY_000028-T1	
OG0004697	COZTY_000033-T1	
OG0004698	COZTY_000036-T1	
OG0004699	COZTY_000041-T1	
OG0004700	COZTY_000043-T1	
OG0004701	COZTY_000044-T1	
OG0004702	COZTY_000048-T1	
OG0004703	COZTY_000051-T1	
OG0004704	COZTY_000060-T1	
OG0004705	COZTY_000061-T1	
OG0004706	COZTY_000063-T1	
OG0004707	COZTY_000064-T1	
OG0004708	COZTY_000065-T1	
OG0004709	COZTY_000080-T1	
OG0004710	COZTY_000087-T1	
OG0004711	COZTY_000088-T1	
OG0004712	COZTY_000091-T1	
OG0004713	COZTY_000097-T1	
OG0004714	COZTY_000103-T1	
OG0004715	COZTY_000105-T1	
OG0004716	COZTY_000106-T1	
OG0004717	COZTY_000116-T1	
OG0004718	COZTY_000126-T1	
OG0004719	COZTY_000128-T1	
OG0004720	COZTY_000129-T1	
OG0004721	COZTY_000139-T1	
OG0004722	COZTY_000153-T1	
OG0004723	COZTY_000156-T1	
OG0004724	COZTY_000159-T1	
OG0004725	COZTY_000166-T1	
OG0004726	COZTY_000169-T1	
OG0004727	COZTY_000183-T1	
OG0004728	COZTY_000186-T1	
OG0004729	COZTY_000191-T1	
OG0004730	COZTY_000195-T1	
OG0004731	COZTY_000196-T1	
OG0004732	COZTY_000199-T1	
OG0004733	COZTY_000201-T1	
OG0004734	COZTY_000203-T1	
OG0004735	COZTY_000204-T1	
OG0004736	COZTY_000205-T1	
OG0004737	COZTY_000206-T1	
OG0004738	COZTY_000207-T1	
OG0004739	COZTY_000208-T1	
OG0004740	COZTY_000225-T1	
OG0004741	COZTY_000227-T1	
OG0004742	COZTY_000228-T1	
OG0004743	COZTY_000229-T1	
OG0004744	COZTY_000235-T1	
OG0004745	COZTY_000241-T1	
OG0004746	COZTY_000247-T1	
OG0004747	COZTY_000249-T1	
OG0004748	COZTY_000254-T1	
OG0004749	COZTY_000258-T1	
OG0004750	COZTY_000263-T1	
OG0004751	COZTY_000265-T1	
OG0004752	COZTY_000275-T1	
OG0004753	COZTY_000276-T1	
OG0004754	COZTY_000278-T1	
OG0004755	COZTY_000284-T1	
OG0004756	COZTY_000286-T1	
OG0004757	COZTY_000289-T1	
OG0004758	COZTY_000293-T1	
OG0004759	COZTY_000294-T1	
OG0004760	COZTY_000302-T1	
OG0004761	COZTY_000306-T1	
OG0004762	COZTY_000307-T1	
OG0004763	COZTY_000313-T1	
OG0004764	COZTY_000314-T1	
OG0004765	COZTY_000315-T1	
OG0004766	COZTY_000322-T1	
OG0004767	COZTY_000326-T1	
OG0004768	COZTY_000327-T1	
OG0004769	COZTY_000342-T1	
OG0004770	COZTY_000350-T1	
OG0004771	COZTY_000353-T1	
OG0004772	COZTY_000355-T1	
OG0004773	COZTY_000361-T1	
OG0004774	COZTY_000364-T1	
OG0004775	COZTY_000367-T1	
OG0004776	COZTY_000368-T1	
OG0004777	COZTY_000372-T1	
OG0004778	COZTY_000382-T1	
OG0004779	COZTY_000385-T1	
OG0004780	COZTY_000388-T1	
OG0004781	COZTY_000403-T1	
OG0004782	COZTY_000418-T1	
OG0004783	COZTY_000427-T1	
OG0004784	COZTY_000430-T1	
OG0004785	COZTY_000431-T1	
OG0004786	COZTY_000432-T1	
OG0004787	COZTY_000435-T1	
OG0004788	COZTY_000437-T1	
OG0004789	COZTY_000442-T1	
OG0004790	COZTY_000447-T1	
OG0004791	COZTY_000448-T1	
OG0004792	COZTY_000449-T1	
OG0004793	COZTY_000450-T1	
OG0004794	COZTY_000451-T1	
OG0004795	COZTY_000453-T1	
OG0004796	COZTY_000460-T1	
OG0004797	COZTY_000461-T1	
OG0004798	COZTY_000464-T1	
OG0004799	COZTY_000470-T1	
OG0004800	COZTY_000471-T1	
OG0004801	COZTY_000476-T1	
OG0004802	COZTY_000480-T1	
OG0004803	COZTY_000481-T1	
OG0004804	COZTY_000484-T1	
OG0004805	COZTY_000487-T1	
OG0004806	COZTY_000488-T1	
OG0004807	COZTY_000493-T1	
OG0004808	COZTY_000502-T1	
OG0004809	COZTY_000505-T1	
OG0004810	COZTY_000513-T1	
OG0004811	COZTY_000517-T1	
OG0004812	COZTY_000518-T1	
OG0004813	COZTY_000521-T1	
OG0004814	COZTY_000536-T1	
OG0004815	COZTY_000542-T1	
OG0004816	COZTY_000543-T1	
OG0004817	COZTY_000547-T1	
OG0004818	COZTY_000554-T1	
OG0004819	COZTY_000561-T1	
OG0004820	COZTY_000566-T1	
OG0004821	COZTY_000570-T1	
OG0004822	COZTY_000575-T1	
OG0004823	COZTY_000578-T1	
OG0004824	COZTY_000580-T1	
OG0004825	COZTY_000582-T1	
OG0004826	COZTY_000585-T1	
OG0004827	COZTY_000592-T1	
OG0004828	COZTY_000593-T1	
OG0004829	COZTY_000595-T1	
OG0004830	COZTY_000601-T1	
OG0004831	COZTY_000605-T1	
OG0004832	COZTY_000612-T1	
OG0004833	COZTY_000613-T1	
OG0004834	COZTY_000631-T1	
OG0004835	COZTY_000632-T1	
OG0004836	COZTY_000640-T1	
OG0004837	COZTY_000649-T1	
OG0004838	COZTY_000650-T1	
OG0004839	COZTY_000654-T1	
OG0004840	COZTY_000656-T1	
OG0004841	COZTY_000658-T1	
OG0004842	COZTY_000660-T1	
OG0004843	COZTY_000673-T1	
OG0004844	COZTY_000680-T1	
OG0004845	COZTY_000694-T1	
OG0004846	COZTY_000697-T1	
OG0004847	COZTY_000707-T1	
OG0004848	COZTY_000713-T1	
OG0004849	COZTY_000722-T1	
OG0004850	COZTY_000731-T1	
OG0004851	COZTY_000736-T1	
OG0004852	COZTY_000737-T1	
OG0004853	COZTY_000743-T1	
OG0004854	COZTY_000745-T1	
OG0004855	COZTY_000754-T1	
OG0004856	COZTY_000758-T1	
OG0004857	COZTY_000766-T1	
OG0004858	COZTY_000768-T1	
OG0004859	COZTY_000770-T1	
OG0004860	COZTY_000778-T1	
OG0004861	COZTY_000779-T1	
OG0004862	COZTY_000783-T1	
OG0004863	COZTY_000789-T1	
OG0004864	COZTY_000790-T1	
OG0004865	COZTY_000800-T1	
OG0004866	COZTY_000802-T1	
OG0004867	COZTY_000807-T1	
OG0004868	COZTY_000815-T1	
OG0004869	COZTY_000819-T1	
OG0004870	COZTY_000827-T1	
OG0004871	COZTY_000828-T1	
OG0004872	COZTY_000829-T1	
OG0004873	COZTY_000832-T1	
OG0004874	COZTY_000835-T1	
OG0004875	COZTY_000838-T1	
OG0004876	COZTY_000842-T1	
OG0004877	COZTY_000846-T1	
OG0004878	COZTY_000851-T1	
OG0004879	COZTY_000859-T1	
OG0004880	COZTY_000863-T1	
OG0004881	COZTY_000864-T1	
OG0004882	COZTY_000867-T1	
OG0004883	COZTY_000877-T1	
OG0004884	COZTY_000885-T1	
OG0004885	COZTY_000890-T1	
OG0004886	COZTY_000902-T1	
OG0004887	COZTY_000908-T1	
OG0004888	COZTY_000913-T1	
OG0004889	COZTY_000916-T1	
OG0004890	COZTY_000917-T1	
OG0004891	COZTY_000921-T1	
OG0004892	COZTY_000923-T1	
OG0004893	COZTY_000928-T1	
OG0004894	COZTY_000940-T1	
OG0004895	COZTY_000948-T1	
OG0004896	COZTY_000952-T1	
OG0004897	COZTY_000954-T1	
OG0004898	COZTY_000955-T1	
OG0004899	COZTY_000969-T1	
OG0004900	COZTY_000971-T1	
OG0004901	COZTY_000977-T1	
OG0004902	COZTY_001007-T1	
OG0004903	COZTY_001009-T1	
OG0004904	COZTY_001016-T1	
OG0004905	COZTY_001020-T1	
OG0004906	COZTY_001037-T1	
OG0004907	COZTY_001039-T1	
OG0004908	COZTY_001040-T1	
OG0004909	COZTY_001043-T1	
OG0004910	COZTY_001046-T1	
OG0004911	COZTY_001053-T1	
OG0004912	COZTY_001056-T1	
OG0004913	COZTY_001065-T1	
OG0004914	COZTY_001066-T1	
OG0004915	COZTY_001068-T1	
OG0004916	COZTY_001082-T1	
OG0004917	COZTY_001084-T1	
OG0004918	COZTY_001086-T1	
OG0004919	COZTY_001095-T1	
OG0004920	COZTY_001101-T1	
OG0004921	COZTY_001106-T1	
OG0004922	COZTY_001126-T1	
OG0004923	COZTY_001128-T1	
OG0004924	COZTY_001130-T1	
OG0004925	COZTY_001132-T1	
OG0004926	COZTY_001133-T1	
OG0004927	COZTY_001134-T1	
OG0004928	COZTY_001138-T1	
OG0004929	COZTY_001141-T1	
OG0004930	COZTY_001153-T1	
OG0004931	COZTY_001158-T1	
OG0004932	COZTY_001162-T1	
OG0004933	COZTY_001164-T1	
OG0004934	COZTY_001168-T1	
OG0004935	COZTY_001183-T1	
OG0004936	COZTY_001184-T1	
OG0004937	COZTY_001187-T1	
OG0004938	COZTY_001190-T1	
OG0004939	COZTY_001193-T1	
OG0004940	COZTY_001194-T1	
OG0004941	COZTY_001195-T1	
OG0004942	COZTY_001201-T1	
OG0004943	COZTY_001211-T1	
OG0004944	COZTY_001217-T1	
OG0004945	COZTY_001218-T1	
OG0004946	COZTY_001219-T1	
OG0004947	COZTY_001220-T1	
OG0004948	COZTY_001221-T1	
OG0004949	COZTY_001222-T1	
OG0004950	COZTY_001223-T1	
OG0004951	COZTY_001230-T1	
OG0004952	COZTY_001245-T1	
OG0004953	COZTY_001246-T1	
OG0004954	COZTY_001249-T1	
OG0004955	COZTY_001252-T1	
OG0004956	COZTY_001254-T1	
OG0004957	COZTY_001255-T1	
