	Phycomyces_blakesleeanus_Burgeff_NRRL_1465.aa	Phycomyces_blakesleeanus_NRRL_1555.aa
OG0010118	GAWGY_000004-T1	
OG0010119	GAWGY_000021-T1	
OG0010120	GAWGY_000030-T1	
OG0010121	GAWGY_000032-T1	
OG0010122	GAWGY_000053-T1	
OG0010123	GAWGY_000054-T1	
OG0010124	GAWGY_000059-T1	
OG0010125	GAWGY_000101-T1	
OG0010126	GAWGY_000124-T1	
OG0010127	GAWGY_000132-T1	
OG0010128	GAWGY_000134-T1	
OG0010129	GAWGY_000135-T1	
OG0010130	GAWGY_000137-T1	
OG0010131	GAWGY_000142-T1	
OG0010132	GAWGY_000165-T1	
OG0010133	GAWGY_000172-T1	
OG0010134	GAWGY_000176-T1	
OG0010135	GAWGY_000179-T1	
OG0010136	GAWGY_000184-T1	
OG0010137	GAWGY_000190-T1	
OG0010138	GAWGY_000194-T1	
OG0010139	GAWGY_000202-T1	
OG0010140	GAWGY_000216-T1	
OG0010141	GAWGY_000223-T1	
OG0010142	GAWGY_000237-T1	
OG0010143	GAWGY_000245-T1	
OG0010144	GAWGY_000270-T1	
OG0010145	GAWGY_000335-T1	
OG0010146	GAWGY_000336-T1	
OG0010147	GAWGY_000340-T1	
OG0010148	GAWGY_000348-T1	
OG0010149	GAWGY_000353-T1	
OG0010150	GAWGY_000358-T1	
OG0010151	GAWGY_000379-T1	
OG0010152	GAWGY_000387-T1	
OG0010153	GAWGY_000388-T1	
OG0010154	GAWGY_000395-T1	
OG0010155	GAWGY_000402-T1	
OG0010156	GAWGY_000408-T1	
OG0010157	GAWGY_000410-T1	
OG0010158	GAWGY_000420-T1	
OG0010159	GAWGY_000436-T1	
OG0010160	GAWGY_000437-T1	
OG0010161	GAWGY_000448-T1	
OG0010162	GAWGY_000475-T1	
OG0010163	GAWGY_000483-T1	
OG0010164	GAWGY_000498-T1	
OG0010165	GAWGY_000505-T1	
OG0010166	GAWGY_000507-T1	
OG0010167	GAWGY_000509-T1	
OG0010168	GAWGY_000510-T1	
OG0010169	GAWGY_000514-T1	
OG0010170	GAWGY_000536-T1	
OG0010171	GAWGY_000539-T1	
OG0010172	GAWGY_000540-T1	
OG0010173	GAWGY_000541-T1	
OG0010174	GAWGY_000545-T1	
OG0010175	GAWGY_000548-T1	
OG0010176	GAWGY_000553-T1	
OG0010177	GAWGY_000555-T1	
OG0010178	GAWGY_000583-T1	
OG0010179	GAWGY_000586-T1	
OG0010180	GAWGY_000589-T1	
OG0010181	GAWGY_000602-T1	
OG0010182	GAWGY_000618-T1	
OG0010183	GAWGY_000619-T1	
OG0010184	GAWGY_000627-T1	
OG0010185	GAWGY_000662-T1	
OG0010186	GAWGY_000668-T1	
OG0010187	GAWGY_000670-T1	
OG0010188	GAWGY_000677-T1	
OG0010189	GAWGY_000687-T1	
OG0010190	GAWGY_000715-T1	
OG0010191	GAWGY_000730-T1	
OG0010192	GAWGY_000760-T1	
OG0010193	GAWGY_000780-T1	
OG0010194	GAWGY_000787-T1	
OG0010195	GAWGY_000789-T1	
OG0010196	GAWGY_000811-T1	
OG0010197	GAWGY_000814-T1	
OG0010198	GAWGY_000824-T1	
OG0010199	GAWGY_000827-T1	
OG0010200	GAWGY_000836-T1	
OG0010201	GAWGY_000838-T1	
OG0010202	GAWGY_000852-T1	
OG0010203	GAWGY_000855-T1	
OG0010204	GAWGY_000861-T1	
OG0010205	GAWGY_000871-T1	
OG0010206	GAWGY_000880-T1	
OG0010207	GAWGY_000889-T1	
OG0010208	GAWGY_000896-T1	
OG0010209	GAWGY_000902-T1	
OG0010210	GAWGY_000906-T1	
OG0010211	GAWGY_000956-T1	
OG0010212	GAWGY_000957-T1	
OG0010213	GAWGY_000958-T1	
OG0010214	GAWGY_000959-T1	
OG0010215	GAWGY_000960-T1	
OG0010216	GAWGY_000970-T1	
OG0010217	GAWGY_000973-T1	
OG0010218	GAWGY_000976-T1	
OG0010219	GAWGY_000982-T1	
OG0010220	GAWGY_001009-T1	
OG0010221	GAWGY_001010-T1	
OG0010222	GAWGY_001014-T1	
OG0010223	GAWGY_001019-T1	
OG0010224	GAWGY_001024-T1	
OG0010225	GAWGY_001028-T1	
OG0010226	GAWGY_001033-T1	
OG0010227	GAWGY_001048-T1	
OG0010228	GAWGY_001052-T1	
OG0010229	GAWGY_001056-T1	
OG0010230	GAWGY_001061-T1	
OG0010231	GAWGY_001071-T1	
OG0010232	GAWGY_001093-T1	
OG0010233	GAWGY_001098-T1	
OG0010234	GAWGY_001104-T1	
OG0010235	GAWGY_001109-T1	
OG0010236	GAWGY_001117-T1	
OG0010237	GAWGY_001127-T1	
OG0010238	GAWGY_001140-T1	
OG0010239	GAWGY_001158-T1	
OG0010240	GAWGY_001173-T1	
OG0010241	GAWGY_001210-T1	
OG0010242	GAWGY_001220-T1	
OG0010243	GAWGY_001246-T1	
OG0010244	GAWGY_001251-T1	
OG0010245	GAWGY_001255-T1	
OG0010246	GAWGY_001256-T1	
OG0010247	GAWGY_001259-T1	
OG0010248	GAWGY_001260-T1	
OG0010249	GAWGY_001264-T1	
OG0010250	GAWGY_001266-T1	
OG0010251	GAWGY_001272-T1	
OG0010252	GAWGY_001288-T1	
OG0010253	GAWGY_001296-T1	
OG0010254	GAWGY_001302-T1	
OG0010255	GAWGY_001303-T1	
OG0010256	GAWGY_001311-T1	
OG0010257	GAWGY_001312-T1	
OG0010258	GAWGY_001333-T1	
OG0010259	GAWGY_001340-T1	
OG0010260	GAWGY_001342-T1	
OG0010261	GAWGY_001343-T1	
OG0010262	GAWGY_001348-T1	
OG0010263	GAWGY_001349-T1	
OG0010264	GAWGY_001361-T1	
OG0010265	GAWGY_001364-T1	
OG0010266	GAWGY_001372-T1	
OG0010267	GAWGY_001374-T1	
OG0010268	GAWGY_001384-T1	
OG0010269	GAWGY_001386-T1	
OG0010270	GAWGY_001391-T1	
OG0010271	GAWGY_001402-T1	
OG0010272	GAWGY_001405-T1	
OG0010273	GAWGY_001416-T1	
OG0010274	GAWGY_001423-T1	
OG0010275	GAWGY_001429-T1	
OG0010276	GAWGY_001432-T1	
OG0010277	GAWGY_001435-T1	
OG0010278	GAWGY_001436-T1	
OG0010279	GAWGY_001440-T1	
OG0010280	GAWGY_001443-T1	
OG0010281	GAWGY_001451-T1	
OG0010282	GAWGY_001464-T1	
OG0010283	GAWGY_001467-T1	
OG0010284	GAWGY_001478-T1	
OG0010285	GAWGY_001479-T1	
OG0010286	GAWGY_001484-T1	
OG0010287	GAWGY_001491-T1	
OG0010288	GAWGY_001506-T1	
OG0010289	GAWGY_001515-T1	
OG0010290	GAWGY_001520-T1	
OG0010291	GAWGY_001521-T1	
OG0010292	GAWGY_001529-T1	
OG0010293	GAWGY_001532-T1	
OG0010294	GAWGY_001555-T1	
