	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa
OG0007932	GBNUZ_000013-T1	
OG0007933	GBNUZ_000014-T1	
OG0007934	GBNUZ_000022-T1	
OG0007935	GBNUZ_000024-T1	
OG0007936	GBNUZ_000038-T1	
OG0007937	GBNUZ_000067-T1	
OG0007938	GBNUZ_000077-T1	
OG0007939	GBNUZ_000090-T1	
OG0007940	GBNUZ_000104-T1	
OG0007941	GBNUZ_000165-T1	
OG0007942	GBNUZ_000176-T1	
OG0007943	GBNUZ_000180-T1	
OG0007944	GBNUZ_000181-T1	
OG0007945	GBNUZ_000187-T1	
OG0007946	GBNUZ_000194-T1	
OG0007947	GBNUZ_000214-T1	
OG0007948	GBNUZ_000221-T1	
OG0007949	GBNUZ_000237-T1	
OG0007950	GBNUZ_000240-T1	
OG0007951	GBNUZ_000245-T1	
OG0007952	GBNUZ_000266-T1	
OG0007953	GBNUZ_000282-T1	
OG0007954	GBNUZ_000284-T1	
OG0007955	GBNUZ_000291-T1	
OG0007956	GBNUZ_000304-T1	
OG0007957	GBNUZ_000323-T1	
OG0007958	GBNUZ_000332-T1	
OG0007959	GBNUZ_000345-T1	
OG0007960	GBNUZ_000379-T1	
OG0007961	GBNUZ_000408-T1	
OG0007962	GBNUZ_000413-T1	
OG0007963	GBNUZ_000420-T1	
OG0007964	GBNUZ_000427-T1	
OG0007965	GBNUZ_000444-T1	
OG0007966	GBNUZ_000457-T1	
OG0007967	GBNUZ_000458-T1	
OG0007968	GBNUZ_000464-T1	
OG0007969	GBNUZ_000477-T1	
OG0007970	GBNUZ_000482-T1	
OG0007971	GBNUZ_000483-T1	
OG0007972	GBNUZ_000489-T1	
OG0007973	GBNUZ_000498-T1	
OG0007974	GBNUZ_000515-T1	
OG0007975	GBNUZ_000583-T1	
OG0007976	GBNUZ_000610-T1	
OG0007977	GBNUZ_000626-T1	
OG0007978	GBNUZ_000635-T1	
OG0007979	GBNUZ_000681-T1	
OG0007980	GBNUZ_000683-T1	
OG0007981	GBNUZ_000685-T1	
OG0007982	GBNUZ_000695-T1	
OG0007983	GBNUZ_000701-T1	
OG0007984	GBNUZ_000716-T1	
OG0007985	GBNUZ_000735-T1	
OG0007986	GBNUZ_000749-T1	
OG0007987	GBNUZ_000772-T1	
OG0007988	GBNUZ_000773-T1	
OG0007989	GBNUZ_000776-T1	
OG0007990	GBNUZ_000807-T1	
