	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa
OG0000000	GBNUZ_002297-T1	GBNWA_000272-T1, GBNWA_000355-T1, GBNWA_000506-T1, GBNWA_000507-T1, GBNWA_000699-T1, GBNWA_001110-T1, GBNWA_003380-T1, GBNWA_004031-T1, GBNWA_004760-T1, GBNWA_004761-T1, GBNWA_005265-T1, GBNWA_005473-T1, GBNWA_005802-T1, GBNWA_005866-T1, GBNWA_005867-T1, GBNWA_005978-T1, GBNWA_006085-T1, GBNWA_006694-T1, GBNWA_008572-T1, GBNWA_008848-T1, GBNWA_008889-T1, GBNWA_009725-T1, GBNWA_009770-T1
OG0000001	GBNUZ_001169-T1, GBNUZ_001820-T1, GBNUZ_001821-T1, GBNUZ_001895-T1, GBNUZ_002346-T1, GBNUZ_003858-T1, GBNUZ_004636-T1, GBNUZ_005798-T1, GBNUZ_005834-T1, GBNUZ_005974-T1, GBNUZ_007921-T1, GBNUZ_008339-T1, GBNUZ_008659-T1, GBNUZ_009305-T1, GBNUZ_009799-T1, GBNUZ_009970-T1	GBNWA_005087-T1, GBNWA_005088-T1, GBNWA_005803-T1, GBNWA_005868-T1
OG0000002	GBNUZ_000277-T1, GBNUZ_000893-T1, GBNUZ_004921-T1, GBNUZ_004967-T1, GBNUZ_005229-T1, GBNUZ_005344-T1, GBNUZ_005403-T1, GBNUZ_005414-T1, GBNUZ_005546-T1, GBNUZ_007743-T1	GBNWA_000729-T1, GBNWA_001065-T1, GBNWA_001829-T1, GBNWA_003103-T1, GBNWA_003909-T1, GBNWA_006156-T1, GBNWA_006488-T1, GBNWA_006724-T1, GBNWA_009026-T1
OG0000003	GBNUZ_002716-T1, GBNUZ_003237-T1, GBNUZ_004267-T1, GBNUZ_004268-T1, GBNUZ_005029-T1, GBNUZ_005033-T1, GBNUZ_007275-T1, GBNUZ_008538-T1, GBNUZ_008542-T1	GBNWA_000921-T1, GBNWA_002395-T1, GBNWA_004147-T1, GBNWA_005440-T1, GBNWA_007081-T1, GBNWA_007085-T1, GBNWA_009600-T1
OG0000004	GBNUZ_000471-T1, GBNUZ_000693-T1, GBNUZ_000994-T1, GBNUZ_001855-T1, GBNUZ_002423-T1, GBNUZ_007822-T1, GBNUZ_007886-T1	GBNWA_000227-T1, GBNWA_001416-T1, GBNWA_003815-T1, GBNWA_004072-T1, GBNWA_004810-T1, GBNWA_006461-T1, GBNWA_008681-T1, GBNWA_010084-T1
OG0000005	GBNUZ_000680-T1, GBNUZ_001989-T1, GBNUZ_002987-T1, GBNUZ_003857-T1, GBNUZ_005797-T1, GBNUZ_005975-T1, GBNUZ_006484-T1, GBNUZ_007007-T1, GBNUZ_008656-T1, GBNUZ_009306-T1	GBNWA_003382-T1, GBNWA_005865-T1, GBNWA_006556-T1, GBNWA_006698-T1
OG0000006	GBNUZ_001322-T1, GBNUZ_006449-T1, GBNUZ_007535-T1, GBNUZ_007818-T1, GBNUZ_008848-T1, GBNUZ_009737-T1, GBNUZ_010032-T1	GBNWA_000427-T1, GBNWA_001974-T1, GBNWA_003918-T1, GBNWA_004607-T1, GBNWA_004806-T1, GBNWA_008163-T1, GBNWA_009319-T1
OG0000007	GBNUZ_001930-T1, GBNUZ_003331-T1, GBNUZ_006326-T1, GBNUZ_008098-T1, GBNUZ_009510-T1, GBNUZ_009941-T1	GBNWA_000665-T1, GBNWA_002744-T1, GBNWA_005783-T1, GBNWA_006731-T1, GBNWA_007675-T1, GBNWA_008820-T1, GBNWA_009049-T1, GBNWA_010014-T1
OG0000008	GBNUZ_005164-T1, GBNUZ_010074-T1	GBNWA_000501-T1, GBNWA_000503-T1, GBNWA_000719-T1, GBNWA_004853-T1, GBNWA_004857-T1, GBNWA_004859-T1, GBNWA_006230-T1, GBNWA_008754-T1, GBNWA_009530-T1, GBNWA_009742-T1, GBNWA_009743-T1
OG0000009	GBNUZ_000480-T1, GBNUZ_001008-T1, GBNUZ_003198-T1, GBNUZ_004900-T1, GBNUZ_005008-T1, GBNUZ_008956-T1	GBNWA_001267-T1, GBNWA_003730-T1, GBNWA_004651-T1, GBNWA_004970-T1, GBNWA_008090-T1, GBNWA_008871-T1
OG0000010	GBNUZ_000619-T1, GBNUZ_001829-T1, GBNUZ_002638-T1, GBNUZ_002712-T1, GBNUZ_003942-T1, GBNUZ_007087-T1	GBNWA_000917-T1, GBNWA_001074-T1, GBNWA_001163-T1, GBNWA_002637-T1, GBNWA_006719-T1, GBNWA_007453-T1
OG0000011	GBNUZ_000858-T1, GBNUZ_001175-T1, GBNUZ_003271-T1, GBNUZ_004563-T1, GBNUZ_005394-T1, GBNUZ_006833-T1, GBNUZ_007327-T1, GBNUZ_008544-T1, GBNUZ_008849-T1, GBNUZ_009246-T1	GBNWA_004453-T1, GBNWA_006534-T1
OG0000012	GBNUZ_000963-T1, GBNUZ_002854-T1, GBNUZ_002999-T1, GBNUZ_006872-T1, GBNUZ_007880-T1, GBNUZ_009422-T1	GBNWA_000150-T1, GBNWA_002281-T1, GBNWA_004254-T1, GBNWA_006478-T1, GBNWA_009624-T1, GBNWA_010078-T1
OG0000013	GBNUZ_001065-T1, GBNUZ_004088-T1, GBNUZ_005875-T1, GBNUZ_006902-T1, GBNUZ_007937-T1, GBNUZ_008667-T1	GBNWA_000179-T1, GBNWA_003148-T1, GBNWA_003559-T1, GBNWA_004041-T1, GBNWA_005206-T1, GBNWA_007251-T1
OG0000014	GBNUZ_004709-T1, GBNUZ_005730-T1, GBNUZ_007349-T1, GBNUZ_007823-T1, GBNUZ_009196-T1, GBNUZ_009955-T1	GBNWA_000061-T1, GBNWA_003319-T1, GBNWA_003363-T1, GBNWA_004811-T1, GBNWA_007682-T1, GBNWA_008600-T1
OG0000015	GBNUZ_000987-T1, GBNUZ_002023-T1, GBNUZ_002669-T1, GBNUZ_003044-T1, GBNUZ_006238-T1, GBNUZ_006748-T1	GBNWA_002197-T1, GBNWA_003808-T1, GBNWA_004526-T1, GBNWA_007660-T1, GBNWA_008828-T1
OG0000016	GBNUZ_001031-T1, GBNUZ_001032-T1, GBNUZ_002445-T1, GBNUZ_003969-T1, GBNUZ_005239-T1, GBNUZ_006118-T1	GBNWA_001839-T1, GBNWA_003021-T1, GBNWA_003592-T1, GBNWA_004915-T1, GBNWA_007215-T1
OG0000017	GBNUZ_001192-T1, GBNUZ_004634-T1, GBNUZ_005746-T1, GBNUZ_005886-T1, GBNUZ_008646-T1	GBNWA_001488-T1, GBNWA_002717-T1, GBNWA_007261-T1, GBNWA_007407-T1, GBNWA_008167-T1, GBNWA_008499-T1
OG0000018	GBNUZ_002033-T1, GBNUZ_002173-T1, GBNUZ_006472-T1, GBNUZ_006915-T1, GBNUZ_007803-T1, GBNUZ_009463-T1	GBNWA_004787-T1, GBNWA_007464-T1, GBNWA_007728-T1, GBNWA_009269-T1, GBNWA_009891-T1
OG0000019	GBNUZ_005320-T1, GBNUZ_006836-T1, GBNUZ_006838-T1, GBNUZ_006839-T1, GBNUZ_009820-T1	GBNWA_000292-T1, GBNWA_008478-T1, GBNWA_008479-T1, GBNWA_008480-T1, GBNWA_009557-T1, GBNWA_009558-T1
OG0000020	GBNUZ_000306-T1, GBNUZ_004413-T1, GBNUZ_004586-T1, GBNUZ_006508-T1, GBNUZ_009153-T1	GBNWA_002588-T1, GBNWA_004422-T1, GBNWA_006830-T1, GBNWA_006831-T1, GBNWA_009843-T1
OG0000021	GBNUZ_000587-T1, GBNUZ_001108-T1, GBNUZ_006259-T1, GBNUZ_006612-T1, GBNUZ_006729-T1	GBNWA_001428-T1, GBNWA_001952-T1, GBNWA_005358-T1, GBNWA_006994-T1, GBNWA_007641-T1
OG0000022	GBNUZ_000922-T1, GBNUZ_001884-T1, GBNUZ_002841-T1, GBNUZ_005949-T1, GBNUZ_007089-T1	GBNWA_000958-T1, GBNWA_001216-T1, GBNWA_006181-T1, GBNWA_007451-T1, GBNWA_009293-T1
OG0000023	GBNUZ_000952-T1, GBNUZ_005267-T1, GBNUZ_007028-T1, GBNUZ_007596-T1, GBNUZ_009717-T1	GBNWA_000108-T1, GBNWA_002083-T1, GBNWA_003693-T1, GBNWA_005607-T1, GBNWA_009008-T1
OG0000024	GBNUZ_001215-T1	GBNWA_000626-T1, GBNWA_001293-T1, GBNWA_002333-T1, GBNWA_002442-T1, GBNWA_002488-T1, GBNWA_003261-T1, GBNWA_003819-T1, GBNWA_008482-T1, GBNWA_009211-T1
OG0000025	GBNUZ_000331-T1, GBNUZ_001127-T1, GBNUZ_003801-T1, GBNUZ_004427-T1, GBNUZ_006298-T1	GBNWA_001438-T1, GBNWA_004386-T1, GBNWA_005991-T1, GBNWA_008750-T1
OG0000026	GBNUZ_000526-T1, GBNUZ_002561-T1, GBNUZ_002707-T1, GBNUZ_003241-T1	GBNWA_000912-T1, GBNWA_002399-T1, GBNWA_002821-T1, GBNWA_006321-T1, GBNWA_008303-T1
OG0000027	GBNUZ_000542-T1, GBNUZ_002053-T1, GBNUZ_005056-T1, GBNUZ_008810-T1	GBNWA_002355-T1, GBNWA_003206-T1, GBNWA_003960-T1, GBNWA_004772-T1, GBNWA_005952-T1
OG0000028	GBNUZ_000568-T1, GBNUZ_001499-T1, GBNUZ_004939-T1, GBNUZ_006096-T1, GBNUZ_006097-T1	GBNWA_006301-T1, GBNWA_006382-T1, GBNWA_006714-T1, GBNWA_008306-T1
OG0000029	GBNUZ_001336-T1, GBNUZ_005271-T1, GBNUZ_008154-T1, GBNUZ_008469-T1, GBNUZ_009543-T1	GBNWA_000579-T1, GBNWA_002627-T1, GBNWA_006829-T1, GBNWA_009771-T1
OG0000030	GBNUZ_002306-T1, GBNUZ_004647-T1	GBNWA_002957-T1, GBNWA_002958-T1, GBNWA_006276-T1, GBNWA_006348-T1, GBNWA_007380-T1, GBNWA_007607-T1, GBNWA_009821-T1
OG0000031	GBNUZ_003015-T1, GBNUZ_009117-T1, GBNUZ_009118-T1, GBNUZ_009119-T1, GBNUZ_009129-T1	GBNWA_001997-T1, GBNWA_002008-T1, GBNWA_002060-T1, GBNWA_003857-T1
OG0000032	GBNUZ_005016-T1, GBNUZ_006112-T1, GBNUZ_007079-T1, GBNUZ_008010-T1	GBNWA_002586-T1, GBNWA_002724-T1, GBNWA_004082-T1, GBNWA_004978-T1, GBNWA_006386-T1
OG0000033	GBNUZ_000460-T1, GBNUZ_002317-T1, GBNUZ_002924-T1, GBNUZ_006733-T1	GBNWA_001502-T1, GBNWA_002260-T1, GBNWA_006990-T1, GBNWA_007507-T1
OG0000034	GBNUZ_000541-T1, GBNUZ_007706-T1, GBNUZ_008374-T1, GBNUZ_009711-T1	GBNWA_002077-T1, GBNWA_006078-T1, GBNWA_006337-T1, GBNWA_007737-T1
OG0000035	GBNUZ_000786-T1, GBNUZ_002964-T1, GBNUZ_009270-T1, GBNUZ_009426-T1	GBNWA_007543-T1, GBNWA_007754-T1, GBNWA_008213-T1, GBNWA_009855-T1
OG0000036	GBNUZ_000856-T1, GBNUZ_003351-T1, GBNUZ_005205-T1, GBNUZ_006372-T1	GBNWA_001631-T1, GBNWA_001803-T1, GBNWA_003345-T1, GBNWA_005113-T1
OG0000037	GBNUZ_000878-T1, GBNUZ_000879-T1, GBNUZ_002647-T1, GBNUZ_008942-T1	GBNWA_008804-T1, GBNWA_008884-T1, GBNWA_009418-T1, GBNWA_009420-T1
OG0000038	GBNUZ_000933-T1, GBNUZ_006179-T1, GBNUZ_008680-T1, GBNUZ_009563-T1	GBNWA_000212-T1, GBNWA_000480-T1, GBNWA_005190-T1, GBNWA_009777-T1
OG0000039	GBNUZ_000943-T1, GBNUZ_001079-T1, GBNUZ_002155-T1, GBNUZ_007295-T1	GBNWA_000471-T1, GBNWA_002686-T1, GBNWA_006231-T1, GBNWA_008291-T1
OG0000040	GBNUZ_000947-T1, GBNUZ_002538-T1, GBNUZ_004795-T1, GBNUZ_008792-T1	GBNWA_000469-T1, GBNWA_002352-T1, GBNWA_002570-T1, GBNWA_009945-T1
OG0000041	GBNUZ_000966-T1, GBNUZ_004216-T1, GBNUZ_005595-T1, GBNUZ_006947-T1	GBNWA_001905-T1, GBNWA_002324-T1, GBNWA_002904-T1, GBNWA_004003-T1
OG0000042	GBNUZ_001738-T1, GBNUZ_004541-T1, GBNUZ_008571-T1, GBNUZ_008572-T1	GBNWA_004085-T1, GBNWA_004086-T1, GBNWA_006650-T1, GBNWA_008628-T1
OG0000043	GBNUZ_002249-T1, GBNUZ_004488-T1, GBNUZ_004995-T1, GBNUZ_005921-T1	GBNWA_000524-T1, GBNWA_003497-T1, GBNWA_003831-T1, GBNWA_005563-T1
OG0000044	GBNUZ_003101-T1, GBNUZ_003145-T1, GBNUZ_009192-T1, GBNUZ_010106-T1	GBNWA_000057-T1, GBNWA_000852-T1, GBNWA_002374-T1, GBNWA_003711-T1
OG0000045	GBNUZ_004289-T1, GBNUZ_008236-T1, GBNUZ_009400-T1, GBNUZ_009460-T1	GBNWA_000948-T1, GBNWA_008726-T1, GBNWA_009576-T1, GBNWA_009888-T1
OG0000046	GBNUZ_004526-T1, GBNUZ_004527-T1, GBNUZ_004529-T1, GBNUZ_008552-T1	GBNWA_002497-T1, GBNWA_006663-T1, GBNWA_006665-T1, GBNWA_006666-T1
OG0000047	GBNUZ_004955-T1, GBNUZ_004956-T1, GBNUZ_005150-T1, GBNUZ_005151-T1	GBNWA_002028-T1, GBNWA_002034-T1, GBNWA_009972-T1, GBNWA_009973-T1
OG0000048	GBNUZ_006035-T1, GBNUZ_006082-T1, GBNUZ_006286-T1, GBNUZ_006560-T1	GBNWA_004578-T1, GBNWA_006064-T1, GBNWA_006474-T1, GBNWA_006704-T1
OG0000049	GBNUZ_006191-T1, GBNUZ_006199-T1, GBNUZ_006399-T1, GBNUZ_007678-T1	GBNWA_006470-T1, GBNWA_006472-T1, GBNWA_006890-T1, GBNWA_006891-T1
OG0000050	GBNUZ_006412-T1, GBNUZ_007263-T1, GBNUZ_007850-T1	GBNWA_002912-T1, GBNWA_007411-T1, GBNWA_007412-T1, GBNWA_007672-T1, GBNWA_008447-T1
OG0000051	GBNUZ_000069-T1, GBNUZ_002637-T1, GBNUZ_008564-T1	GBNWA_002636-T1, GBNWA_008152-T1, GBNWA_009409-T1, GBNWA_009652-T1
OG0000052	GBNUZ_000264-T1, GBNUZ_003900-T1, GBNUZ_009002-T1	GBNWA_003088-T1, GBNWA_004431-T1, GBNWA_004662-T1, GBNWA_005908-T1
OG0000053	GBNUZ_000322-T1, GBNUZ_007591-T1, GBNUZ_009894-T1, GBNUZ_009895-T1	GBNWA_001332-T1, GBNWA_002606-T1, GBNWA_003687-T1
OG0000054	GBNUZ_000436-T1, GBNUZ_001136-T1, GBNUZ_005976-T1, GBNUZ_006315-T1	GBNWA_004463-T1, GBNWA_006083-T1, GBNWA_007045-T1
OG0000055	GBNUZ_000462-T1, GBNUZ_001727-T1	GBNWA_000353-T1, GBNWA_002327-T1, GBNWA_006084-T1, GBNWA_008640-T1, GBNWA_008847-T1
OG0000056	GBNUZ_000496-T1, GBNUZ_006170-T1, GBNUZ_007378-T1, GBNUZ_008917-T1	GBNWA_003289-T1, GBNWA_003651-T1, GBNWA_008127-T1
OG0000057	GBNUZ_000543-T1, GBNUZ_002422-T1, GBNUZ_009964-T1	GBNWA_004193-T1, GBNWA_004773-T1, GBNWA_008895-T1, GBNWA_008951-T1
OG0000058	GBNUZ_000815-T1, GBNUZ_006457-T1, GBNUZ_007598-T1, GBNUZ_009128-T1	GBNWA_001998-T1, GBNWA_001999-T1, GBNWA_003695-T1
OG0000059	GBNUZ_000824-T1, GBNUZ_003191-T1, GBNUZ_008526-T1	GBNWA_002473-T1, GBNWA_003069-T1, GBNWA_004925-T1, GBNWA_007981-T1
OG0000060	GBNUZ_000827-T1, GBNUZ_000828-T1, GBNUZ_007105-T1, GBNUZ_008244-T1	GBNWA_007439-T1, GBNWA_007984-T1, GBNWA_008718-T1
OG0000061	GBNUZ_000883-T1, GBNUZ_002029-T1, GBNUZ_008289-T1	GBNWA_004520-T1, GBNWA_005278-T1, GBNWA_006507-T1, GBNWA_009415-T1
OG0000062	GBNUZ_000907-T1, GBNUZ_004625-T1, GBNUZ_009816-T1	GBNWA_000288-T1, GBNWA_000761-T1, GBNWA_006818-T1, GBNWA_009306-T1
OG0000063	GBNUZ_001092-T1, GBNUZ_001271-T1, GBNUZ_004279-T1	GBNWA_005233-T1, GBNWA_008278-T1, GBNWA_009586-T1, GBNWA_009587-T1
OG0000064	GBNUZ_001560-T1, GBNUZ_003638-T1, GBNUZ_003646-T1	GBNWA_000923-T1, GBNWA_002923-T1, GBNWA_006574-T1, GBNWA_006583-T1
OG0000065	GBNUZ_001572-T1, GBNUZ_002210-T1, GBNUZ_003167-T1, GBNUZ_008682-T1	GBNWA_002178-T1, GBNWA_002784-T1, GBNWA_003869-T1
