	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa	Total
OG0000000	1	23	24
OG0000001	16	4	20
OG0000002	10	9	19
OG0000003	9	7	16
OG0000004	7	8	15
OG0000005	10	4	14
OG0000006	7	7	14
OG0000007	6	8	14
OG0000008	2	11	13
OG0000009	6	6	12
OG0000010	6	6	12
OG0000011	10	2	12
OG0000012	6	6	12
OG0000013	6	6	12
OG0000014	6	6	12
OG0000015	6	5	11
OG0000016	6	5	11
OG0000017	5	6	11
OG0000018	6	5	11
OG0000019	5	6	11
OG0000020	5	5	10
OG0000021	5	5	10
OG0000022	5	5	10
OG0000023	5	5	10
OG0000024	1	9	10
OG0000025	5	4	9
OG0000026	4	5	9
OG0000027	4	5	9
OG0000028	5	4	9
OG0000029	5	4	9
OG0000030	2	7	9
OG0000031	5	4	9
OG0000032	4	5	9
OG0000033	4	4	8
OG0000034	4	4	8
OG0000035	4	4	8
OG0000036	4	4	8
OG0000037	4	4	8
OG0000038	4	4	8
OG0000039	4	4	8
OG0000040	4	4	8
OG0000041	4	4	8
OG0000042	4	4	8
OG0000043	4	4	8
OG0000044	4	4	8
OG0000045	4	4	8
OG0000046	4	4	8
OG0000047	4	4	8
OG0000048	4	4	8
OG0000049	4	4	8
OG0000050	3	5	8
OG0000051	3	4	7
OG0000052	3	4	7
OG0000053	4	3	7
OG0000054	4	3	7
OG0000055	2	5	7
OG0000056	4	3	7
OG0000057	3	4	7
OG0000058	4	3	7
OG0000059	3	4	7
OG0000060	4	3	7
OG0000061	3	4	7
OG0000062	3	4	7
OG0000063	3	4	7
OG0000064	3	4	7
OG0000065	4	3	7
OG0000066	7	0	7
OG0000067	4	3	7
OG0000068	3	4	7
OG0000069	4	3	7
OG0000070	3	4	7
OG0000071	3	4	7
OG0000072	3	4	7
OG0000073	2	5	7
OG0000074	3	4	7
OG0000075	3	4	7
OG0000076	4	3	7
OG0000077	3	4	7
OG0000078	3	4	7
OG0000079	4	3	7
OG0000080	3	4	7
OG0000081	4	3	7
OG0000082	3	4	7
OG0000083	4	2	6
OG0000084	3	3	6
OG0000085	3	3	6
OG0000086	3	3	6
OG0000087	3	3	6
OG0000088	3	3	6
OG0000089	3	3	6
OG0000090	3	3	6
OG0000091	3	3	6
OG0000092	3	3	6
OG0000093	3	3	6
OG0000094	3	3	6
OG0000095	3	3	6
OG0000096	3	3	6
OG0000097	3	3	6
OG0000098	3	3	6
OG0000099	3	3	6
OG0000100	3	3	6
OG0000101	3	3	6
OG0000102	3	3	6
OG0000103	3	3	6
OG0000104	3	3	6
OG0000105	3	3	6
OG0000106	4	2	6
OG0000107	3	3	6
OG0000108	3	3	6
OG0000109	3	3	6
OG0000110	3	3	6
OG0000111	3	3	6
OG0000112	3	3	6
OG0000113	3	3	6
OG0000114	3	3	6
OG0000115	3	3	6
OG0000116	3	3	6
OG0000117	3	3	6
OG0000118	3	3	6
OG0000119	3	3	6
OG0000120	3	3	6
OG0000121	3	3	6
OG0000122	3	3	6
OG0000123	3	3	6
OG0000124	3	3	6
OG0000125	3	3	6
OG0000126	3	3	6
OG0000127	3	3	6
OG0000128	3	3	6
OG0000129	3	3	6
OG0000130	3	3	6
OG0000131	3	3	6
OG0000132	3	3	6
OG0000133	3	3	6
OG0000134	3	3	6
OG0000135	3	3	6
OG0000136	2	4	6
OG0000137	4	2	6
OG0000138	3	3	6
OG0000139	3	3	6
OG0000140	3	3	6
OG0000141	3	3	6
OG0000142	3	3	6
OG0000143	3	3	6
OG0000144	3	3	6
OG0000145	3	3	6
OG0000146	3	3	6
OG0000147	5	1	6
OG0000148	3	3	6
OG0000149	3	3	6
OG0000150	3	3	6
OG0000151	3	3	6
OG0000152	2	4	6
OG0000153	3	3	6
OG0000154	3	3	6
OG0000155	3	3	6
OG0000156	3	3	6
OG0000157	3	3	6
OG0000158	3	3	6
OG0000159	3	3	6
OG0000160	3	3	6
OG0000161	3	3	6
OG0000162	3	3	6
OG0000163	3	3	6
OG0000164	3	3	6
OG0000165	3	3	6
OG0000166	3	3	6
OG0000167	3	3	6
OG0000168	3	3	6
OG0000169	4	2	6
OG0000170	3	3	6
OG0000171	3	3	6
OG0000172	3	3	6
OG0000173	3	3	6
OG0000174	3	3	6
OG0000175	3	3	6
OG0000176	3	3	6
OG0000177	3	3	6
OG0000178	3	3	6
OG0000179	3	3	6
OG0000180	3	3	6
OG0000181	3	3	6
OG0000182	3	3	6
OG0000183	3	3	6
OG0000184	3	3	6
OG0000185	3	3	6
OG0000186	3	3	6
OG0000187	3	3	6
OG0000188	3	3	6
OG0000189	3	3	6
OG0000190	3	3	6
OG0000191	3	3	6
OG0000192	3	3	6
OG0000193	3	3	6
OG0000194	3	3	6
OG0000195	3	2	5
OG0000196	2	3	5
OG0000197	2	3	5
OG0000198	3	2	5
OG0000199	2	3	5
OG0000200	2	3	5
OG0000201	3	2	5
OG0000202	3	2	5
OG0000203	2	3	5
OG0000204	3	2	5
OG0000205	2	3	5
OG0000206	3	2	5
OG0000207	3	2	5
OG0000208	3	2	5
OG0000209	3	2	5
OG0000210	3	2	5
OG0000211	3	2	5
OG0000212	2	3	5
OG0000213	3	2	5
OG0000214	3	2	5
OG0000215	2	3	5
OG0000216	3	2	5
OG0000217	3	2	5
OG0000218	3	2	5
OG0000219	2	3	5
OG0000220	2	3	5
OG0000221	2	3	5
OG0000222	2	3	5
OG0000223	2	3	5
OG0000224	3	2	5
OG0000225	3	2	5
OG0000226	3	2	5
OG0000227	3	2	5
OG0000228	3	2	5
OG0000229	2	3	5
OG0000230	3	2	5
OG0000231	4	1	5
OG0000232	1	4	5
OG0000233	2	3	5
OG0000234	2	3	5
OG0000235	4	1	5
OG0000236	3	2	5
OG0000237	2	3	5
OG0000238	1	4	5
OG0000239	3	2	5
OG0000240	2	3	5
OG0000241	3	2	5
