	Absidia_caerulea_RSA_138-.aa	Absidia_caerulea_RSA_138_Plus.aa
OG0009385	GBNUX_000033-T1	
OG0009386	GBNUX_000054-T1	
OG0009387	GBNUX_000086-T1	
OG0009388	GBNUX_000090-T1	
OG0009389	GBNUX_000091-T1	
OG0009390	GBNUX_000099-T1	
OG0009391	GBNUX_000119-T1	
OG0009392	GBNUX_000177-T1	
OG0009393	GBNUX_000181-T1	
OG0009394	GBNUX_000186-T1	
OG0009395	GBNUX_000234-T1	
OG0009396	GBNUX_000257-T1	
OG0009397	GBNUX_000260-T1	
OG0009398	GBNUX_000265-T1	
OG0009399	GBNUX_000268-T1	
OG0009400	GBNUX_000274-T1	
OG0009401	GBNUX_000278-T1	
OG0009402	GBNUX_000293-T1	
OG0009403	GBNUX_000294-T1	
OG0009404	GBNUX_000300-T1	
OG0009405	GBNUX_000307-T1	
OG0009406	GBNUX_000378-T1	
OG0009407	GBNUX_000385-T1	
OG0009408	GBNUX_000394-T1	
OG0009409	GBNUX_000412-T1	
OG0009410	GBNUX_000434-T1	
OG0009411	GBNUX_000442-T1	
OG0009412	GBNUX_000446-T1	
OG0009413	GBNUX_000451-T1	
OG0009414	GBNUX_000476-T1	
OG0009415	GBNUX_000478-T1	
OG0009416	GBNUX_000485-T1	
OG0009417	GBNUX_000486-T1	
OG0009418	GBNUX_000519-T1	
OG0009419	GBNUX_000536-T1	
OG0009420	GBNUX_000585-T1	
OG0009421	GBNUX_000598-T1	
OG0009422	GBNUX_000619-T1	
OG0009423	GBNUX_000637-T1	
OG0009424	GBNUX_000639-T1	
OG0009425	GBNUX_000652-T1	
OG0009426	GBNUX_000694-T1	
OG0009427	GBNUX_000726-T1	
OG0009428	GBNUX_000740-T1	
OG0009429	GBNUX_000745-T1	
OG0009430	GBNUX_000760-T1	
OG0009431	GBNUX_000766-T1	
OG0009432	GBNUX_000789-T1	
OG0009433	GBNUX_000797-T1	
OG0009434	GBNUX_000805-T1	
OG0009435	GBNUX_000812-T1	
OG0009436	GBNUX_000837-T1	
OG0009437	GBNUX_000839-T1	
OG0009438	GBNUX_000845-T1	
OG0009439	GBNUX_000850-T1	
OG0009440	GBNUX_000855-T1	
OG0009441	GBNUX_000862-T1	
OG0009442	GBNUX_000878-T1	
OG0009443	GBNUX_000924-T1	
OG0009444	GBNUX_000932-T1	
OG0009445	GBNUX_000935-T1	
OG0009446	GBNUX_000942-T1	
OG0009447	GBNUX_000945-T1	
OG0009448	GBNUX_000978-T1	
OG0009449	GBNUX_001001-T1	
OG0009450	GBNUX_001027-T1	
OG0009451	GBNUX_001039-T1	
OG0009452	GBNUX_001050-T1	
OG0009453	GBNUX_001056-T1	
OG0009454	GBNUX_001068-T1	
OG0009455	GBNUX_001101-T1	
OG0009456	GBNUX_001110-T1	
OG0009457	GBNUX_001112-T1	
OG0009458	GBNUX_001114-T1	
OG0009459	GBNUX_001122-T1	
OG0009460	GBNUX_001135-T1	
OG0009461	GBNUX_001138-T1	
OG0009462	GBNUX_001159-T1	
OG0009463	GBNUX_001161-T1	
OG0009464	GBNUX_001188-T1	
OG0009465	GBNUX_001202-T1	
OG0009466	GBNUX_001207-T1	
OG0009467	GBNUX_001234-T1	
OG0009468	GBNUX_001237-T1	
OG0009469	GBNUX_001247-T1	
OG0009470	GBNUX_001265-T1	
OG0009471	GBNUX_001266-T1	
OG0009472	GBNUX_001272-T1	
OG0009473	GBNUX_001294-T1	
OG0009474	GBNUX_001298-T1	
OG0009475	GBNUX_001299-T1	
OG0009476	GBNUX_001303-T1	
OG0009477	GBNUX_001306-T1	
OG0009478	GBNUX_001308-T1	
OG0009479	GBNUX_001320-T1	
OG0009480	GBNUX_001336-T1	
OG0009481	GBNUX_001347-T1	
OG0009482	GBNUX_001356-T1	
OG0009483	GBNUX_001374-T1	
OG0009484	GBNUX_001378-T1	
OG0009485	GBNUX_001381-T1	
OG0009486	GBNUX_001395-T1	
OG0009487	GBNUX_001429-T1	
OG0009488	GBNUX_001474-T1	
OG0009489	GBNUX_001486-T1	
OG0009490	GBNUX_001487-T1	
OG0009491	GBNUX_001521-T1	
OG0009492	GBNUX_001541-T1	
OG0009493	GBNUX_001550-T1	
OG0009494	GBNUX_001601-T1	
OG0009495	GBNUX_001602-T1	
OG0009496	GBNUX_001609-T1	
OG0009497	GBNUX_001610-T1	
OG0009498	GBNUX_001654-T1	
OG0009499	GBNUX_001658-T1	
OG0009500	GBNUX_001667-T1	
OG0009501	GBNUX_001679-T1	
OG0009502	GBNUX_001709-T1	
OG0009503	GBNUX_001731-T1	
OG0009504	GBNUX_001771-T1	
OG0009505	GBNUX_001772-T1	
OG0009506	GBNUX_001794-T1	
OG0009507	GBNUX_001815-T1	
OG0009508	GBNUX_001835-T1	
OG0009509	GBNUX_001851-T1	
OG0009510	GBNUX_001858-T1	
OG0009511	GBNUX_001861-T1	
OG0009512	GBNUX_001871-T1	
OG0009513	GBNUX_001879-T1	
OG0009514	GBNUX_001887-T1	
OG0009515	GBNUX_001926-T1	
OG0009516	GBNUX_001931-T1	
OG0009517	GBNUX_001951-T1	
