	Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	Fennellomyces_mexicanussp.nov._RSA_1418-.aa
OG0010015	GBNTS_000017-T1	
OG0010016	GBNTS_000019-T1	
OG0010017	GBNTS_000021-T1	
OG0010018	GBNTS_000022-T1	
OG0010019	GBNTS_000055-T1	
OG0010020	GBNTS_000056-T1	
OG0010021	GBNTS_000061-T1	
OG0010022	GBNTS_000086-T1	
OG0010023	GBNTS_000090-T1	
OG0010024	GBNTS_000096-T1	
OG0010025	GBNTS_000109-T1	
OG0010026	GBNTS_000110-T1	
OG0010027	GBNTS_000118-T1	
OG0010028	GBNTS_000121-T1	
OG0010029	GBNTS_000138-T1	
OG0010030	GBNTS_000163-T1	
OG0010031	GBNTS_000173-T1	
OG0010032	GBNTS_000176-T1	
OG0010033	GBNTS_000182-T1	
OG0010034	GBNTS_000187-T1	
OG0010035	GBNTS_000212-T1	
OG0010036	GBNTS_000215-T1	
OG0010037	GBNTS_000218-T1	
OG0010038	GBNTS_000227-T1	
OG0010039	GBNTS_000228-T1	
OG0010040	GBNTS_000262-T1	
OG0010041	GBNTS_000264-T1	
OG0010042	GBNTS_000265-T1	
OG0010043	GBNTS_000300-T1	
OG0010044	GBNTS_000304-T1	
OG0010045	GBNTS_000305-T1	
OG0010046	GBNTS_000306-T1	
OG0010047	GBNTS_000314-T1	
OG0010048	GBNTS_000323-T1	
OG0010049	GBNTS_000341-T1	
OG0010050	GBNTS_000350-T1	
OG0010051	GBNTS_000351-T1	
OG0010052	GBNTS_000365-T1	
OG0010053	GBNTS_000369-T1	
OG0010054	GBNTS_000378-T1	
OG0010055	GBNTS_000382-T1	
OG0010056	GBNTS_000383-T1	
OG0010057	GBNTS_000404-T1	
OG0010058	GBNTS_000411-T1	
OG0010059	GBNTS_000431-T1	
OG0010060	GBNTS_000432-T1	
OG0010061	GBNTS_000437-T1	
OG0010062	GBNTS_000474-T1	
OG0010063	GBNTS_000483-T1	
OG0010064	GBNTS_000487-T1	
OG0010065	GBNTS_000503-T1	
OG0010066	GBNTS_000514-T1	
OG0010067	GBNTS_000516-T1	
OG0010068	GBNTS_000525-T1	
OG0010069	GBNTS_000545-T1	
OG0010070	GBNTS_000548-T1	
OG0010071	GBNTS_000550-T1	
OG0010072	GBNTS_000577-T1	
OG0010073	GBNTS_000579-T1	
OG0010074	GBNTS_000581-T1	
OG0010075	GBNTS_000583-T1	
OG0010076	GBNTS_000584-T1	
OG0010077	GBNTS_000588-T1	
OG0010078	GBNTS_000607-T1	
OG0010079	GBNTS_000630-T1	
OG0010080	GBNTS_000644-T1	
OG0010081	GBNTS_000645-T1	
OG0010082	GBNTS_000650-T1	
OG0010083	GBNTS_000657-T1	
OG0010084	GBNTS_000678-T1	
OG0010085	GBNTS_000679-T1	
OG0010086	GBNTS_000685-T1	
OG0010087	GBNTS_000686-T1	
OG0010088	GBNTS_000693-T1	
OG0010089	GBNTS_000724-T1	
OG0010090	GBNTS_000729-T1	
OG0010091	GBNTS_000732-T1	
OG0010092	GBNTS_000749-T1	
OG0010093	GBNTS_000754-T1	
OG0010094	GBNTS_000756-T1	
OG0010095	GBNTS_000791-T1	
OG0010096	GBNTS_000840-T1	
OG0010097	GBNTS_000859-T1	
OG0010098	GBNTS_000861-T1	
OG0010099	GBNTS_000862-T1	
OG0010100	GBNTS_000863-T1	
OG0010101	GBNTS_000870-T1	
OG0010102	GBNTS_000871-T1	
OG0010103	GBNTS_000877-T1	
OG0010104	GBNTS_000880-T1	
OG0010105	GBNTS_000896-T1	
OG0010106	GBNTS_000937-T1	
OG0010107	GBNTS_000967-T1	
OG0010108	GBNTS_000972-T1	
OG0010109	GBNTS_000998-T1	
OG0010110	GBNTS_001007-T1	
OG0010111	GBNTS_001022-T1	
OG0010112	GBNTS_001048-T1	
OG0010113	GBNTS_001074-T1	
OG0010114	GBNTS_001098-T1	
OG0010115	GBNTS_001100-T1	
OG0010116	GBNTS_001102-T1	
OG0010117	GBNTS_001104-T1	
OG0010118	GBNTS_001107-T1	
OG0010119	GBNTS_001109-T1	
OG0010120	GBNTS_001110-T1	
OG0010121	GBNTS_001128-T1	
OG0010122	GBNTS_001134-T1	
OG0010123	GBNTS_001140-T1	
OG0010124	GBNTS_001144-T1	
OG0010125	GBNTS_001155-T1	
OG0010126	GBNTS_001171-T1	
OG0010127	GBNTS_001185-T1	
OG0010128	GBNTS_001195-T1	
OG0010129	GBNTS_001196-T1	
OG0010130	GBNTS_001198-T1	
OG0010131	GBNTS_001205-T1	
OG0010132	GBNTS_001210-T1	
OG0010133	GBNTS_001222-T1	
OG0010134	GBNTS_001228-T1	
OG0010135	GBNTS_001232-T1	
OG0010136	GBNTS_001259-T1	
OG0010137	GBNTS_001260-T1	
OG0010138	GBNTS_001274-T1	
OG0010139	GBNTS_001279-T1	
OG0010140	GBNTS_001291-T1	
OG0010141	GBNTS_001292-T1	
OG0010142	GBNTS_001293-T1	
OG0010143	GBNTS_001296-T1	
OG0010144	GBNTS_001298-T1	
OG0010145	GBNTS_001299-T1	
OG0010146	GBNTS_001302-T1	
OG0010147	GBNTS_001325-T1	
OG0010148	GBNTS_001328-T1	
OG0010149	GBNTS_001353-T1	
OG0010150	GBNTS_001372-T1	
OG0010151	GBNTS_001391-T1	
OG0010152	GBNTS_001394-T1	
OG0010153	GBNTS_001396-T1	
OG0010154	GBNTS_001411-T1	
OG0010155	GBNTS_001421-T1	
OG0010156	GBNTS_001422-T1	
OG0010157	GBNTS_001474-T1	
OG0010158	GBNTS_001475-T1	
OG0010159	GBNTS_001487-T1	
OG0010160	GBNTS_001515-T1	
OG0010161	GBNTS_001521-T1	
OG0010162	GBNTS_001524-T1	
OG0010163	GBNTS_001541-T1	
OG0010164	GBNTS_001556-T1	
OG0010165	GBNTS_001560-T1	
