	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
OG0007613	GBNWU_000019-T1	
OG0007614	GBNWU_000032-T1	
OG0007615	GBNWU_000050-T1	
OG0007616	GBNWU_000065-T1	
OG0007617	GBNWU_000081-T1	
OG0007618	GBNWU_000083-T1	
OG0007619	GBNWU_000108-T1	
OG0007620	GBNWU_000132-T1	
OG0007621	GBNWU_000161-T1	
OG0007622	GBNWU_000179-T1	
OG0007623	GBNWU_000241-T1	
OG0007624	GBNWU_000266-T1	
OG0007625	GBNWU_000270-T1	
OG0007626	GBNWU_000291-T1	
OG0007627	GBNWU_000295-T1	
OG0007628	GBNWU_000321-T1	
OG0007629	GBNWU_000322-T1	
OG0007630	GBNWU_000331-T1	
OG0007631	GBNWU_000335-T1	
OG0007632	GBNWU_000340-T1	
OG0007633	GBNWU_000343-T1	
OG0007634	GBNWU_000377-T1	
OG0007635	GBNWU_000385-T1	
OG0007636	GBNWU_000403-T1	
OG0007637	GBNWU_000410-T1	
OG0007638	GBNWU_000453-T1	
OG0007639	GBNWU_000498-T1	
OG0007640	GBNWU_000500-T1	
OG0007641	GBNWU_000501-T1	
OG0007642	GBNWU_000503-T1	
OG0007643	GBNWU_000517-T1	
OG0007644	GBNWU_000526-T1	
OG0007645	GBNWU_000530-T1	
OG0007646	GBNWU_000536-T1	
OG0007647	GBNWU_000539-T1	
OG0007648	GBNWU_000544-T1	
OG0007649	GBNWU_000549-T1	
OG0007650	GBNWU_000599-T1	
OG0007651	GBNWU_000626-T1	
OG0007652	GBNWU_000676-T1	
OG0007653	GBNWU_000677-T1	
OG0007654	GBNWU_000682-T1	
OG0007655	GBNWU_000700-T1	
OG0007656	GBNWU_000705-T1	
OG0007657	GBNWU_000706-T1	
OG0007658	GBNWU_000709-T1	
OG0007659	GBNWU_000758-T1	
OG0007660	GBNWU_000761-T1	
OG0007661	GBNWU_000769-T1	
OG0007662	GBNWU_000774-T1	
OG0007663	GBNWU_000824-T1	
OG0007664	GBNWU_000826-T1	
OG0007665	GBNWU_000828-T1	
OG0007666	GBNWU_000842-T1	
OG0007667	GBNWU_000847-T1	
OG0007668	GBNWU_000860-T1	
OG0007669	GBNWU_000861-T1	
OG0007670	GBNWU_000878-T1	
OG0007671	GBNWU_000891-T1	
OG0007672	GBNWU_000904-T1	
OG0007673	GBNWU_000906-T1	
OG0007674	GBNWU_000907-T1	
OG0007675	GBNWU_000940-T1	
OG0007676	GBNWU_000987-T1	
OG0007677	GBNWU_001011-T1	
OG0007678	GBNWU_001017-T1	
OG0007679	GBNWU_001022-T1	
OG0007680	GBNWU_001033-T1	
OG0007681	GBNWU_001046-T1	
OG0007682	GBNWU_001056-T1	
OG0007683	GBNWU_001059-T1	
OG0007684	GBNWU_001060-T1	
OG0007685	GBNWU_001064-T1	
OG0007686	GBNWU_001083-T1	
OG0007687	GBNWU_001085-T1	
OG0007688	GBNWU_001106-T1	
OG0007689	GBNWU_001122-T1	
OG0007690	GBNWU_001128-T1	
OG0007691	GBNWU_001137-T1	
OG0007692	GBNWU_001164-T1	
OG0007693	GBNWU_001174-T1	
OG0007694	GBNWU_001175-T1	
OG0007695	GBNWU_001179-T1	
OG0007696	GBNWU_001182-T1	
OG0007697	GBNWU_001183-T1	
OG0007698	GBNWU_001192-T1	
OG0007699	GBNWU_001197-T1	
OG0007700	GBNWU_001200-T1	
OG0007701	GBNWU_001221-T1	
OG0007702	GBNWU_001226-T1	
OG0007703	GBNWU_001245-T1	
OG0007704	GBNWU_001254-T1	
OG0007705	GBNWU_001274-T1	
OG0007706	GBNWU_001292-T1	
OG0007707	GBNWU_001304-T1	
OG0007708	GBNWU_001319-T1	
OG0007709	GBNWU_001328-T1	
OG0007710	GBNWU_001339-T1	
OG0007711	GBNWU_001344-T1	
OG0007712	GBNWU_001371-T1	
OG0007713	GBNWU_001376-T1	
OG0007714	GBNWU_001407-T1	
OG0007715	GBNWU_001408-T1	
OG0007716	GBNWU_001423-T1	
OG0007717	GBNWU_001449-T1	
OG0007718	GBNWU_001460-T1	
OG0007719	GBNWU_001499-T1	
OG0007720	GBNWU_001519-T1	
OG0007721	GBNWU_001548-T1	
OG0007722	GBNWU_001576-T1	
OG0007723	GBNWU_001578-T1	
OG0007724	GBNWU_001629-T1	
OG0007725	GBNWU_001634-T1	
OG0007726	GBNWU_001644-T1	
OG0007727	GBNWU_001650-T1	
OG0007728	GBNWU_001651-T1	
OG0007729	GBNWU_001672-T1	
OG0007730	GBNWU_001686-T1	
OG0007731	GBNWU_001687-T1	
OG0007732	GBNWU_001707-T1	
OG0007733	GBNWU_001719-T1	
OG0007734	GBNWU_001723-T1	
OG0007735	GBNWU_001739-T1	
OG0007736	GBNWU_001753-T1	
OG0007737	GBNWU_001759-T1	
OG0007738	GBNWU_001771-T1	
OG0007739	GBNWU_001777-T1	
OG0007740	GBNWU_001794-T1	
OG0007741	GBNWU_001803-T1	
OG0007742	GBNWU_001807-T1	
OG0007743	GBNWU_001830-T1	
OG0007744	GBNWU_001834-T1	
OG0007745	GBNWU_001847-T1	
OG0007746	GBNWU_001883-T1	
OG0007747	GBNWU_001899-T1	
OG0007748	GBNWU_001907-T1	
OG0007749	GBNWU_001908-T1	
OG0007750	GBNWU_001928-T1	
OG0007751	GBNWU_001932-T1	
OG0007752	GBNWU_001939-T1	
OG0007753	GBNWU_001943-T1	
OG0007754	GBNWU_001949-T1	
OG0007755	GBNWU_001953-T1	
OG0007756	GBNWU_001956-T1	
OG0007757	GBNWU_001972-T1	
OG0007758	GBNWU_001974-T1	
OG0007759	GBNWU_001991-T1	
OG0007760	GBNWU_001993-T1	
OG0007761	GBNWU_001999-T1	
OG0007762	GBNWU_002004-T1	
OG0007763	GBNWU_002009-T1	
OG0007764	GBNWU_002015-T1	
OG0007765	GBNWU_002019-T1	
OG0007766	GBNWU_002030-T1	
OG0007767	GBNWU_002039-T1	
OG0007768	GBNWU_002074-T1	
OG0007769	GBNWU_002079-T1	
OG0007770	GBNWU_002143-T1	
OG0007771	GBNWU_002146-T1	
OG0007772	GBNWU_002155-T1	
OG0007773	GBNWU_002174-T1	
OG0007774	GBNWU_002178-T1	
OG0007775	GBNWU_002179-T1	
OG0007776	GBNWU_002205-T1	
OG0007777	GBNWU_002232-T1	
OG0007778	GBNWU_002236-T1	
OG0007779	GBNWU_002250-T1	
OG0007780	GBNWU_002258-T1	
OG0007781	GBNWU_002295-T1	
OG0007782	GBNWU_002330-T1	
OG0007783	GBNWU_002348-T1	
OG0007784	GBNWU_002358-T1	
OG0007785	GBNWU_002359-T1	
OG0007786	GBNWU_002393-T1	
OG0007787	GBNWU_002394-T1	
OG0007788	GBNWU_002444-T1	
OG0007789	GBNWU_002459-T1	
OG0007790	GBNWU_002484-T1	
OG0007791	GBNWU_002512-T1	
OG0007792	GBNWU_002551-T1	
OG0007793	GBNWU_002563-T1	
OG0007794	GBNWU_002591-T1	
OG0007795	GBNWU_002594-T1	
OG0007796	GBNWU_002601-T1	
OG0007797	GBNWU_002608-T1	
OG0007798	GBNWU_002614-T1	
OG0007799	GBNWU_002638-T1	
OG0007800	GBNWU_002639-T1	
OG0007801	GBNWU_002649-T1	
OG0007802	GBNWU_002652-T1	
OG0007803	GBNWU_002653-T1	
OG0007804	GBNWU_002664-T1	
OG0007805	GBNWU_002671-T1	
OG0007806	GBNWU_002692-T1	
OG0007807	GBNWU_002703-T1	
OG0007808	GBNWU_002713-T1	
OG0007809	GBNWU_002715-T1	
OG0007810	GBNWU_002722-T1	
OG0007811	GBNWU_002724-T1	
OG0007812	GBNWU_002747-T1	
OG0007813	GBNWU_002773-T1	
OG0007814	GBNWU_002797-T1	
OG0007815	GBNWU_002798-T1	
OG0007816	GBNWU_002799-T1	
OG0007817	GBNWU_002817-T1	
OG0007818	GBNWU_002865-T1	
OG0007819	GBNWU_002879-T1	
OG0007820	GBNWU_002881-T1	
OG0007821	GBNWU_002882-T1	
