	Pilaira_anomala_RSA_1997_Plus.aa	Pilaira_anomala_RSA_1998-.aa
OG0005568	GBNWS_000001-T1	
OG0005569	GBNWS_000002-T1	
OG0005570	GBNWS_000003-T1	
OG0005571	GBNWS_000004-T1	
OG0005572	GBNWS_000005-T1	
OG0005573	GBNWS_000006-T1	
OG0005574	GBNWS_000007-T1	
OG0005575	GBNWS_000008-T1	
OG0005576	GBNWS_000012-T1	
OG0005577	GBNWS_000017-T1	
OG0005578	GBNWS_000019-T1	
OG0005579	GBNWS_000020-T1	
OG0005580	GBNWS_000026-T1	
OG0005581	GBNWS_000032-T1	
OG0005582	GBNWS_000033-T1	
OG0005583	GBNWS_000039-T1	
OG0005584	GBNWS_000043-T1	
OG0005585	GBNWS_000052-T1	
OG0005586	GBNWS_000055-T1	
OG0005587	GBNWS_000057-T1	
OG0005588	GBNWS_000062-T1	
OG0005589	GBNWS_000073-T1	
OG0005590	GBNWS_000075-T1	
OG0005591	GBNWS_000076-T1	
OG0005592	GBNWS_000077-T1	
OG0005593	GBNWS_000083-T1	
OG0005594	GBNWS_000085-T1	
OG0005595	GBNWS_000089-T1	
OG0005596	GBNWS_000096-T1	
OG0005597	GBNWS_000102-T1	
OG0005598	GBNWS_000109-T1	
OG0005599	GBNWS_000110-T1	
OG0005600	GBNWS_000116-T1	
OG0005601	GBNWS_000125-T1	
OG0005602	GBNWS_000127-T1	
OG0005603	GBNWS_000137-T1	
OG0005604	GBNWS_000138-T1	
OG0005605	GBNWS_000141-T1	
OG0005606	GBNWS_000142-T1	
OG0005607	GBNWS_000145-T1	
OG0005608	GBNWS_000148-T1	
OG0005609	GBNWS_000151-T1	
OG0005610	GBNWS_000154-T1	
OG0005611	GBNWS_000155-T1	
OG0005612	GBNWS_000159-T1	
OG0005613	GBNWS_000164-T1	
OG0005614	GBNWS_000165-T1	
OG0005615	GBNWS_000166-T1	
OG0005616	GBNWS_000167-T1	
OG0005617	GBNWS_000168-T1	
OG0005618	GBNWS_000169-T1	
OG0005619	GBNWS_000170-T1	
OG0005620	GBNWS_000171-T1	
OG0005621	GBNWS_000174-T1	
OG0005622	GBNWS_000175-T1	
OG0005623	GBNWS_000186-T1	
OG0005624	GBNWS_000192-T1	
OG0005625	GBNWS_000194-T1	
OG0005626	GBNWS_000195-T1	
OG0005627	GBNWS_000198-T1	
OG0005628	GBNWS_000218-T1	
OG0005629	GBNWS_000224-T1	
OG0005630	GBNWS_000228-T1	
OG0005631	GBNWS_000229-T1	
OG0005632	GBNWS_000230-T1	
OG0005633	GBNWS_000232-T1	
OG0005634	GBNWS_000235-T1	
OG0005635	GBNWS_000236-T1	
OG0005636	GBNWS_000247-T1	
OG0005637	GBNWS_000256-T1	
OG0005638	GBNWS_000258-T1	
OG0005639	GBNWS_000259-T1	
OG0005640	GBNWS_000260-T1	
OG0005641	GBNWS_000262-T1	
OG0005642	GBNWS_000268-T1	
OG0005643	GBNWS_000274-T1	
OG0005644	GBNWS_000279-T1	
OG0005645	GBNWS_000280-T1	
OG0005646	GBNWS_000287-T1	
OG0005647	GBNWS_000299-T1	
OG0005648	GBNWS_000310-T1	
OG0005649	GBNWS_000311-T1	
OG0005650	GBNWS_000313-T1	
OG0005651	GBNWS_000314-T1	
OG0005652	GBNWS_000317-T1	
OG0005653	GBNWS_000325-T1	
OG0005654	GBNWS_000326-T1	
OG0005655	GBNWS_000330-T1	
OG0005656	GBNWS_000344-T1	
OG0005657	GBNWS_000346-T1	
OG0005658	GBNWS_000347-T1	
OG0005659	GBNWS_000348-T1	
OG0005660	GBNWS_000349-T1	
OG0005661	GBNWS_000352-T1	
OG0005662	GBNWS_000353-T1	
OG0005663	GBNWS_000359-T1	
OG0005664	GBNWS_000361-T1	
OG0005665	GBNWS_000364-T1	
OG0005666	GBNWS_000366-T1	
OG0005667	GBNWS_000370-T1	
OG0005668	GBNWS_000372-T1	
OG0005669	GBNWS_000377-T1	
OG0005670	GBNWS_000383-T1	
OG0005671	GBNWS_000387-T1	
OG0005672	GBNWS_000402-T1	
OG0005673	GBNWS_000403-T1	
OG0005674	GBNWS_000406-T1	
OG0005675	GBNWS_000407-T1	
OG0005676	GBNWS_000414-T1	
OG0005677	GBNWS_000430-T1	
OG0005678	GBNWS_000437-T1	
OG0005679	GBNWS_000439-T1	
OG0005680	GBNWS_000441-T1	
OG0005681	GBNWS_000446-T1	
OG0005682	GBNWS_000449-T1	
OG0005683	GBNWS_000456-T1	
OG0005684	GBNWS_000458-T1	
OG0005685	GBNWS_000459-T1	
OG0005686	GBNWS_000461-T1	
OG0005687	GBNWS_000467-T1	
OG0005688	GBNWS_000468-T1	
OG0005689	GBNWS_000469-T1	
OG0005690	GBNWS_000472-T1	
OG0005691	GBNWS_000473-T1	
OG0005692	GBNWS_000474-T1	
OG0005693	GBNWS_000475-T1	
OG0005694	GBNWS_000476-T1	
OG0005695	GBNWS_000494-T1	
OG0005696	GBNWS_000512-T1	
OG0005697	GBNWS_000513-T1	
OG0005698	GBNWS_000515-T1	
OG0005699	GBNWS_000516-T1	
OG0005700	GBNWS_000521-T1	
OG0005701	GBNWS_000522-T1	
OG0005702	GBNWS_000534-T1	
OG0005703	GBNWS_000535-T1	
OG0005704	GBNWS_000543-T1	
OG0005705	GBNWS_000545-T1	
OG0005706	GBNWS_000547-T1	
OG0005707	GBNWS_000550-T1	
OG0005708	GBNWS_000557-T1	
OG0005709	GBNWS_000561-T1	
OG0005710	GBNWS_000562-T1	
OG0005711	GBNWS_000565-T1	
OG0005712	GBNWS_000570-T1	
OG0005713	GBNWS_000577-T1	
OG0005714	GBNWS_000579-T1	
OG0005715	GBNWS_000583-T1	
OG0005716	GBNWS_000587-T1	
OG0005717	GBNWS_000595-T1	
OG0005718	GBNWS_000596-T1	
OG0005719	GBNWS_000600-T1	
OG0005720	GBNWS_000602-T1	
OG0005721	GBNWS_000603-T1	
OG0005722	GBNWS_000604-T1	
OG0005723	GBNWS_000607-T1	
OG0005724	GBNWS_000610-T1	
OG0005725	GBNWS_000615-T1	
OG0005726	GBNWS_000618-T1	
OG0005727	GBNWS_000624-T1	
OG0005728	GBNWS_000633-T1	
OG0005729	GBNWS_000636-T1	
OG0005730	GBNWS_000637-T1	
OG0005731	GBNWS_000640-T1	
OG0005732	GBNWS_000643-T1	
OG0005733	GBNWS_000651-T1	
OG0005734	GBNWS_000656-T1	
OG0005735	GBNWS_000661-T1	
OG0005736	GBNWS_000665-T1	
OG0005737	GBNWS_000681-T1	
OG0005738	GBNWS_000682-T1	
OG0005739	GBNWS_000689-T1	
OG0005740	GBNWS_000694-T1	
OG0005741	GBNWS_000698-T1	
OG0005742	GBNWS_000700-T1	
OG0005743	GBNWS_000702-T1	
OG0005744	GBNWS_000704-T1	
OG0005745	GBNWS_000705-T1	
OG0005746	GBNWS_000706-T1	
OG0005747	GBNWS_000709-T1	
OG0005748	GBNWS_000715-T1	
OG0005749	GBNWS_000723-T1	
OG0005750	GBNWS_000724-T1	
OG0005751	GBNWS_000727-T1	
OG0005752	GBNWS_000729-T1	
OG0005753	GBNWS_000730-T1	
OG0005754	GBNWS_000731-T1	
OG0005755	GBNWS_000732-T1	
OG0005756	GBNWS_000733-T1	
OG0005757	GBNWS_000734-T1	
OG0005758	GBNWS_000735-T1	
OG0005759	GBNWS_000736-T1	
OG0005760	GBNWS_000737-T1	
OG0005761	GBNWS_000738-T1	
OG0005762	GBNWS_000739-T1	
OG0005763	GBNWS_000740-T1	
OG0005764	GBNWS_000741-T1	
OG0005765	GBNWS_000742-T1	
OG0005766	GBNWS_000745-T1	
OG0005767	GBNWS_000749-T1	
OG0005768	GBNWS_000753-T1	
OG0005769	GBNWS_000757-T1	
OG0005770	GBNWS_000758-T1	
OG0005771	GBNWS_000760-T1	
OG0005772	GBNWS_000765-T1	
OG0005773	GBNWS_000767-T1	
OG0005774	GBNWS_000778-T1	
OG0005775	GBNWS_000780-T1	
OG0005776	GBNWS_000787-T1	
OG0005777	GBNWS_000792-T1	
OG0005778	GBNWS_000798-T1	
OG0005779	GBNWS_000800-T1	
OG0005780	GBNWS_000802-T1	
OG0005781	GBNWS_000805-T1	
OG0005782	GBNWS_000808-T1	
OG0005783	GBNWS_000811-T1	
OG0005784	GBNWS_000815-T1	
