SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
GBNTW_000002-T1	GBNTX_005075-T1	0.000000	0.000000	99.000000	475.328218	175.671782	4.600000	0.000000	675
GBNTW_000003-T1	GBNTX_005074-T1	0.001977	0.003542	0.558137	1013.017398	282.982602	1.943063	0.006956	1446
GBNTW_000004-T1	GBNTX_005073-T1	0.000000	0.000000	99.000000	261.843097	89.156903	4.600000	0.000000	351
GBNTW_000008-T1	GBNTX_005070-T1	0.000000	0.000000	99.000000	626.958859	165.041141	4.600000	0.000000	792
GBNTW_000009-T1	GBNTX_005069-T1	0.000650	0.005241	0.123966	1540.033661	382.966339	4.600000	0.004692	2040
GBNTW_000010-T1	GBNTX_001849-T1	0.003339	0.023474	0.142228	600.374365	173.625635	3.411459	0.023567	1221
GBNTW_000014-T1	GBNTX_001844-T1	0.015687	0.025003	0.627403	1530.024918	335.975082	1.426429	0.052092	2241
GBNTW_000015-T1	GBNTX_001843-T1	0.000790	0.002834	0.278732	1266.503867	353.496133	4.600000	0.003708	1650
GBNTW_000016-T1	GBNTX_001841-T1	0.001625	0.005998	0.270868	7702.891405	1927.108595	2.214081	0.007499	12123
GBNTW_000017-T1	GBNTX_001840-T1	0.000000	0.002926	0.000010	1109.608886	342.391114	4.600000	0.002070	1452
GBNTW_000018-T1	GBNTX_011240-T1	0.003083	0.005924	0.520381	1626.105197	677.894803	8.158581	0.011756	2316
GBNTW_000019-T1	GBNTX_011241-T1	0.000000	0.000000	99.000000	145.140850	55.859150	4.600000	0.000000	201
GBNTW_000020-T1	GBNTX_011242-T1	0.000000	0.010286	0.000010	412.109286	97.890714	4.600000	0.005923	510
GBNTW_000021-T1	GBNTX_011243-T1	0.000879	0.002838	0.309788	1138.000677	352.999323	4.600000	0.004029	1491
GBNTW_000022-T1	GBNTX_004503-T1	0.004842	0.000000	99.000000	207.205529	65.794471	4.600000	0.011025	273
GBNTW_000023-T1	GBNTX_004504-T1	0.000000	0.000000	99.000000	810.385658	251.614342	4.600000	0.000000	1062
GBNTW_000024-T1	GBNTX_004505-T1	0.026850	0.040964	0.655458	2698.945223	751.054777	2.695948	0.089768	3798
GBNTW_000025-T1	GBNTX_004507-T1	0.000000	0.000000	99.000000	164.401564	63.598436	4.600000	0.000000	228
GBNTW_000028-T1	GBNTX_004512-T1	0.007284	0.075227	0.096829	138.042646	41.957354	4.600000	0.069364	216
GBNTW_000029-T1	GBNTX_004513-T1	0.000725	0.000000	99.000000	1379.277254	384.722746	4.600000	0.001702	1764
GBNTW_000031-T1	GBNTX_004515-T1	0.000000	0.000000	99.000000	132.970063	35.029937	4.600000	0.000000	168
GBNTW_000032-T1	GBNTX_004516-T1	0.005905	0.013757	0.429207	1162.165309	379.834691	7.750618	0.023517	1968
GBNTW_000033-T1	GBNTX_004517-T1	0.000000	0.000000	99.000000	275.062984	93.937016	4.600000	0.000000	621
GBNTW_000034-T1	GBNTX_004518-T1	0.000000	0.000000	99.000000	284.024480	117.975520	4.600000	0.000000	402
GBNTW_000035-T1	GBNTX_004519-T1	0.001061	0.000000	99.000000	942.762688	299.237312	4.600000	0.002417	1242
GBNTW_000036-T1	GBNTX_004520-T1	0.000000	0.000000	99.000000	783.398012	254.601988	4.600000	0.000000	1038
