SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
GBNTS_000002-T1	GBNTT_004533-T1	0.000000	0.000000	99.000000	191.683658	93.316342	4.600000	0.000000	285
GBNTS_000003-T1	GBNTT_004532-T1	0.000000	0.019654	0.000010	313.841208	103.158792	2.167082	0.014586	417
GBNTS_000004-T1	GBNTT_004531-T1	0.038527	0.071307	0.540301	765.652342	224.347658	0.851043	0.137867	993
GBNTS_000005-T1	GBNTT_004530-T1	0.000000	0.016459	0.000010	267.147837	122.852163	4.600000	0.015554	486
GBNTS_000007-T1	GBNTT_004528-T1	0.000000	0.000000	99.000000	342.028151	155.971849	4.600000	0.000000	531
GBNTS_000008-T1	GBNTT_004527-T1	0.000000	0.022912	0.000010	588.420563	221.579437	4.600000	0.018803	960
GBNTS_000009-T1	GBNTT_004526-T1	0.000000	0.004874	0.000010	466.160054	205.839946	4.600000	0.004479	948
GBNTS_000010-T1	GBNTT_004525-T1	0.002410	0.000000	99.000000	415.723905	214.276095	4.600000	0.004771	1284
GBNTS_000012-T1	GBNTT_004523-T1	0.018562	0.025612	0.724738	718.194465	232.805535	2.467397	0.060864	1011
GBNTS_000011-T1	GBNTT_004524-T1	0.000000	0.005225	0.000010	1322.613797	576.386203	4.600000	0.004758	2325
GBNTS_000014-T1	GBNTT_004521-T1	0.001696	0.008468	0.200238	590.489087	237.510913	4.600000	0.010915	834
GBNTS_000015-T1	GBNTT_004520-T1	0.000000	0.003652	0.000010	655.514134	274.485866	4.600000	0.003234	930
GBNTS_000016-T1	GBNTT_004519-T1	0.000000	0.008043	0.000010	1073.743904	375.256096	4.600000	0.006249	1449
GBNTS_000018-T1	GBNTT_004518-T1	0.003520	0.008259	0.426190	569.512259	243.487741	4.600000	0.014818	813
GBNTS_000020-T1	GBNTT_004516-T1	0.058576	0.086036	0.680828	922.293184	298.706816	2.005984	0.195882	1614
GBNTS_000024-T1	GBNTT_004513-T1	0.000000	0.000000	99.000000	112.141899	49.858101	4.600000	0.000000	162
GBNTS_000023-T1	GBNTT_004514-T1	0.007560	0.016344	0.462546	1329.987986	557.012014	3.978534	0.030459	5169
GBNTS_000025-T1	GBNTT_004512-T1	0.001754	0.006593	0.266037	1141.713050	457.286950	3.013993	0.009414	1632
GBNTS_000026-T1	GBNTT_004511-T1	0.002175	0.002661	0.817306	1381.441183	376.558817	0.945994	0.006837	1815
GBNTS_000030-T1	GBNTT_004508-T1	0.000000	0.014247	0.000010	619.563895	283.436105	4.600000	0.013416	903
GBNTS_000036-T1	GBNTT_005582-T1	0.028841	0.027908	1.033452	1051.720880	301.279120	1.910505	0.085901	1362
GBNTS_000034-T1	GBNTT_004502-T1	0.006711	0.011483	0.584408	1945.913953	703.086047	2.416087	0.023933	3414
GBNTS_000037-T1	GBNTT_005583-T1	0.002290	0.000000	99.000000	437.390057	183.609943	4.600000	0.004838	1224
GBNTS_000027-T1	GBNTT_004510-T1	0.000443	0.008141	0.054364	4520.134409	1731.865591	2.771021	0.007726	6321
GBNTS_000038-T1	GBNTT_005584-T1	0.000000	0.005396	0.000010	1020.004111	371.995889	4.600000	0.004326	1392
GBNTS_000039-T1	GBNTT_005585-T1	0.000000	0.000000	99.000000	376.854836	166.145164	4.600000	0.000000	543
GBNTS_000040-T1	GBNTT_005586-T1	0.000652	0.008942	0.072886	4604.975018	2142.024982	7.041524	0.009851	6837
GBNTS_000041-T1	GBNTT_005587-T1	0.000000	0.000000	99.000000	225.794170	104.205830	4.600000	0.000000	330
GBNTS_000042-T1	GBNTT_005588-T1	0.000000	0.006165	0.000010	389.116659	162.883341	4.600000	0.005457	552
GBNTS_000044-T1	GBNTT_005590-T1	0.000000	0.014796	0.000010	1451.758263	273.241737	0.408057	0.007031	1797
GBNTS_000045-T1	GBNTT_005591-T1	0.000000	0.021518	0.000010	153.856938	47.143062	4.600000	0.015141	201
GBNTS_000046-T1	GBNTT_005592-T1	0.099934	0.126613	0.789288	616.010819	202.989181	1.302145	0.319639	891
GBNTS_000047-T1	GBNTT_004700-T1	0.000000	0.009452	0.000010	853.321660	319.678340	1.782588	0.007728	1215
GBNTS_000048-T1	GBNTT_004699-T1	0.152097	0.164423	0.925036	266.069441	84.930559	1.928892	0.465239	516
GBNTS_000049-T1	GBNTT_004698-T1	0.010437	0.018748	0.556676	1157.940232	378.059768	1.918805	0.037447	1536
GBNTS_000050-T1	GBNTT_004697-T1	0.007523	0.023735	0.316951	979.709142	328.290858	1.318755	0.034776	1587
GBNTS_000051-T1	GBNTT_004696-T1	0.000000	0.005405	0.000010	441.328667	185.671333	4.600000	0.004802	627
GBNTS_000052-T1	GBNTT_004695-T1	0.002558	0.002960	0.864166	783.341140	338.658860	4.600000	0.008037	1122
GBNTS_000053-T1	GBNTT_004694-T1	0.002071	0.008550	0.242191	967.134223	352.865777	4.600000	0.011409	1320
GBNTS_000054-T1	GBNTT_004693-T1	0.006666	0.010159	0.656177	602.803356	198.196644	1.845708	0.022592	1554
GBNTS_000057-T1	GBNTT_004692-T1	0.018049	0.045131	0.399924	738.537278	179.462722	0.752703	0.070030	1695
GBNTS_000058-T1	GBNTT_004691-T1	0.006787	0.017338	0.391439	1480.219018	466.780982	1.190362	0.027948	2064
GBNTS_000059-T1	GBNTT_004690-T1	0.010027	0.000000	99.000000	301.480709	103.519291	3.901649	0.022392	1212
GBNTS_000063-T1	GBNTT_004687-T1	0.000000	0.008508	0.000010	723.585372	236.414628	4.600000	0.006286	960
GBNTS_000064-T1	GBNTT_004686-T1	0.000000	0.016191	0.000010	183.568951	62.431049	4.600000	0.012327	246
GBNTS_000065-T1	GBNTT_004685-T1	0.005523	0.000000	99.000000	181.827333	88.172667	4.600000	0.011157	270
GBNTS_000066-T1	GBNTT_004684-T1	0.000000	0.000000	99.000000	748.784169	247.215831	4.600000	0.000000	996
GBNTS_000067-T1	GBNTT_004683-T1	0.000000	0.005684	0.000010	843.794094	353.205906	4.600000	0.005032	1197
GBNTS_000068-T1	GBNTT_004682-T1	0.001629	0.000000	99.000000	1228.849861	424.150139	1.957395	0.003634	1653
GBNTS_000062-T1	GBNTT_004688-T1	0.002281	0.009052	0.251956	878.302125	333.697875	1.978153	0.012434	1965
GBNTS_000069-T1	GBNTT_004681-T1	0.000000	0.016476	0.000010	877.896619	307.103381	2.100967	0.012810	1188
GBNTS_000071-T1	GBNTT_008719-T1	0.000000	0.000000	99.000000	493.479882	223.520118	4.600000	0.000000	879
GBNTS_000072-T1	GBNTT_008718-T1	0.000000	0.004350	0.000010	447.427263	230.572737	4.600000	0.004438	678
GBNTS_000074-T1	GBNTT_008716-T1	0.000000	0.033376	0.000010	751.523012	184.476988	0.924939	0.019734	936
GBNTS_000076-T1	GBNTT_008713-T1	0.000000	0.019688	0.000010	137.379713	51.620287	4.600000	0.016132	189
GBNTS_000073-T1	GBNTT_008717-T1	0.002872	0.005665	0.506993	2093.051800	885.948200	4.600000	0.011108	2988
GBNTS_000075-T1	GBNTT_008715-T1	0.010927	0.017365	0.629229	921.924907	350.075093	2.672631	0.038096	2898
GBNTS_000077-T1	GBNTT_008712-T1	0.000000	0.018229	0.000010	647.334236	222.665764	4.600000	0.013997	870
GBNTS_000078-T1	GBNTT_008711-T1	0.000000	0.000000	99.000000	680.761243	231.238757	4.600000	0.000000	912
GBNTS_000080-T1	GBNTT_008709-T1	0.051695	0.044366	1.165192	699.566038	257.433962	2.119540	0.149171	1425
GBNTS_000082-T1	GBNTT_008707-T1	0.004219	0.000000	99.000000	950.762866	399.237134	4.600000	0.008914	1350
GBNTS_000084-T1	GBNTT_008705-T1	0.000770	0.002576	0.298684	1300.186746	388.813254	4.600000	0.003556	1689
GBNTS_000085-T1	GBNTT_008703-T1	0.007891	0.013438	0.587255	1019.289672	375.710328	2.688661	0.028156	1680
