SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
GBNWS_000009-T1	GBNWT_010606-T1	0.477973	3.719987	0.128488	751.408650	142.591350	1.275465	2.985205	1098
GBNWS_000010-T1	GBNWT_001043-T1	0.321696	5.342231	0.060217	5905.865739	1240.134261	1.300209	3.578915	7638
GBNWS_000011-T1	GBNWT_001764-T1	0.415842	4.189942	0.099248	1419.176068	266.823932	1.387979	3.039376	2088
GBNWS_000013-T1	GBNWT_000018-T1	0.277551	3.699759	0.075019	707.203017	138.796983	1.183721	2.517023	897
GBNWS_000018-T1	GBNWT_010544-T1	0.298404	4.035025	0.073953	1123.970618	217.029382	1.408350	2.709431	1665
GBNWS_000022-T1	GBNWT_004825-T1	0.207960	3.979042	0.052264	995.580712	201.419288	1.033520	2.527561	1239
GBNWS_000025-T1	GBNWT_006039-T1	0.538220	4.115461	0.130780	1042.400433	241.599567	1.521924	3.633960	1374
GBNWS_000027-T1	GBNWT_007419-T1	0.486259	2.297821	0.211617	313.716961	70.283039	2.288264	2.453480	774
GBNWS_000028-T1	GBNWT_007418-T1	0.332908	1.425463	0.233544	285.645985	74.354015	1.461646	1.675690	381
GBNWS_000030-T1	GBNWT_011221-T1	0.221770	4.058133	0.054648	1168.179602	223.820398	1.421771	2.515862	1422
GBNWS_000031-T1	GBNWT_004116-T1	2.153737	1.675237	1.285631	17.666135	9.333865	4.600000	5.964961	906
GBNWS_000034-T1	GBNWT_001993-T1	0.508805	3.451896	0.147399	584.263819	99.736181	1.025117	2.813839	849
GBNWS_000035-T1	GBNWT_001995-T1	0.425479	3.381561	0.125823	632.191928	90.808072	1.119467	2.390279	1449
GBNWS_000036-T1	GBNWT_009133-T1	0.107522	3.504794	0.030678	642.975365	107.024635	0.681770	1.776933	753
GBNWS_000037-T1	GBNWT_009965-T1	0.629862	3.252038	0.193682	421.594846	76.405154	1.457375	3.096501	966
GBNWS_000038-T1	GBNWT_008459-T1	0.769877	3.351789	0.229691	473.726070	87.273930	1.403926	3.514623	696
GBNWS_000040-T1	GBNWT_004822-T1	0.227431	3.310870	0.068692	385.360025	82.639975	1.127944	2.315724	474
GBNWS_000045-T1	GBNWT_011171-T1	0.274181	3.795735	0.072234	808.254969	157.745031	1.585816	2.547722	1119
GBNWS_000048-T1	GBNWT_005222-T1	0.341971	3.937547	0.086849	1132.421704	190.578296	1.010527	2.579744	1605
GBNWS_000050-T1	GBNWT_001290-T1	0.577462	2.773026	0.208243	220.659009	40.340991	1.058577	2.750446	342
GBNWS_000053-T1	GBNWT_010496-T1	0.287134	3.779955	0.075962	799.539249	154.460751	1.429915	2.557955	1032
GBNWS_000056-T1	GBNWT_001537-T1	0.170532	3.678945	0.046354	654.001941	134.998059	1.865653	2.312468	993
GBNWS_000060-T1	GBNWT_008574-T1	0.353606	5.055983	0.069938	4160.329728	846.670272	1.437633	3.446297	7449
GBNWS_000064-T1	GBNWT_004140-T1	0.359577	4.272893	0.084153	1393.970874	298.029126	1.696951	3.146607	1878
GBNWS_000066-T1	GBNWT_001883-T1	0.486285	99.000000	0.004912	340.692178	40.307822	0.850341	32.725575	540
GBNWS_000069-T1	GBNWT_001416-T1	0.623159	2.730887	0.228189	186.863064	38.136936	1.323574	2.941242	240
GBNWS_000071-T1	GBNWT_001353-T1	0.641576	4.132736	0.155242	1150.771001	247.228999	1.781745	3.776907	2337
GBNWS_000072-T1	GBNWT_000839-T1	0.280100	3.798385	0.073742	921.696532	158.303468	0.988929	2.387401	1371
GBNWS_000074-T1	GBNWT_001879-T1	0.217834	99.000000	0.002200	167.569925	18.430075	0.204990	30.017417	192
GBNWS_000081-T1	GBNWT_011097-T1	0.399860	5.244152	0.076249	5541.884231	1088.115769	1.493979	3.584717	7173
GBNWS_000084-T1	GBNWT_011099-T1	0.465718	2.982108	0.156171	950.272297	198.727703	1.810759	2.702836	1863
GBNWS_000086-T1	GBNWT_001828-T1	0.389837	4.306173	0.090530	1701.448567	311.551433	1.254198	2.987901	3006
GBNWS_000088-T1	GBNWT_007044-T1	0.242155	3.945869	0.061369	827.295252	192.704748	1.263786	2.825650	1074
GBNWS_000092-T1	GBNWT_008730-T1	0.257168	3.562487	0.072188	445.417773	115.582227	2.090996	2.814479	600
GBNWS_000093-T1	GBNWT_009152-T1	0.319413	3.542520	0.090166	852.350452	185.649548	1.084457	2.687628	1056
GBNWS_000094-T1	GBNWT_009151-T1	0.215423	4.157106	0.051820	1301.605911	255.394089	1.076092	2.585926	1725
GBNWS_000095-T1	GBNWT_009150-T1	0.435111	2.984397	0.145795	312.525995	53.474005	0.702076	2.422714	378
GBNWS_000097-T1	GBNWT_006908-T1	0.545913	3.071450	0.177738	380.944630	60.055370	1.050045	2.669523	639
GBNWS_000098-T1	GBNWT_010312-T1	0.205337	4.445991	0.046185	1622.601562	375.398438	1.579921	3.006303	2034
GBNWS_000099-T1	GBNWT_006284-T1	0.215425	3.978577	0.054146	1079.705313	201.294687	1.257251	2.420286	1287
GBNWS_000100-T1	GBNWT_004786-T1	0.364806	3.974880	0.091778	1089.695223	200.304777	1.340264	2.776082	1365
GBNWS_000101-T1	GBNWT_002859-T1	0.097045	3.054495	0.031771	286.287033	58.712967	1.084298	1.801053	348
GBNWS_000103-T1	GBNWT_008915-T1	0.688388	3.556477	0.193559	554.340154	114.659846	1.001636	3.539848	891
