SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
CTHSW_000001-T1	GBNWB_001193-T1	0.033501	0.090174	0.371516	906.354071	338.645929	3.308059	0.146749	1353
CTHSW_000002-T1	GBNWB_001192-T1	0.012430	0.054425	0.228380	405.610168	152.389832	4.600000	0.071695	813
CTHSW_000003-T1	GBNWB_001191-T1	0.011761	0.090243	0.130328	1116.621991	500.378009	9.999579	0.108142	1626
CTHSW_000004-T1	GBNWB_001190-T1	0.055642	0.185068	0.300659	355.381362	133.618638	2.070251	0.273024	522
CTHSW_000005-T1	GBNWB_001189-T1	0.099052	0.179893	0.550614	681.132890	200.867110	5.769428	0.352388	1005
CTHSW_000012-T1	GBNWB_001186-T1	0.068658	0.188682	0.363881	741.092595	242.907405	2.055643	0.294860	1071
CTHSW_000013-T1	GBNWB_001185-T1	0.027914	0.097269	0.286974	440.309849	189.690151	8.958588	0.146389	630
CTHSW_000014-T1	GBNWB_001184-T1	0.011897	0.118773	0.100165	4667.010495	1764.989505	8.947710	0.123673	6603
CTHSW_000015-T1	GBNWB_001183-T1	0.005354	0.132187	0.040506	749.728619	279.271381	4.746269	0.119330	1029
CTHSW_000016-T1	GBNWB_001182-T1	0.002929	0.171134	0.017117	1026.153561	365.846439	3.898893	0.141411	1395
CTHSW_000021-T1	GBNWB_001177-T1	0.011815	0.063894	0.184917	427.383870	130.616130	4.600000	0.072017	558
CTHSW_000025-T1	GBNWB_001173-T1	0.022623	0.159806	0.141567	989.873764	330.126236	6.936976	0.170796	1320
CTHSW_000027-T1	GBNWB_001170-T1	0.025129	0.094667	0.265448	733.499295	334.500705	32.392609	0.140726	1104
CTHSW_000028-T1	GBNWB_001169-T1	0.002299	0.084737	0.027135	871.213853	292.786147	2.492961	0.069105	1164
CTHSW_000029-T1	GBNWB_001168-T1	0.013910	0.119215	0.116682	725.669230	234.330770	2.327250	0.118843	960
CTHSW_000030-T1	GBNWB_001167-T1	0.005921	0.165257	0.035828	339.123107	107.876893	4.600000	0.133123	990
CTHSW_000031-T1	GBNWB_001166-T1	0.004394	0.110274	0.039844	684.797400	209.202600	2.203603	0.087511	894
CTHSW_000035-T1	GBNWB_001162-T1	0.003133	0.089936	0.034835	959.829118	327.170882	3.672989	0.075598	1287
CTHSW_000036-T1	GBNWB_001161-T1	0.014330	0.117125	0.122346	1481.325480	537.674520	5.892869	0.125115	2295
CTHSW_000039-T1	GBNWB_007188-T1	0.070099	0.135374	0.517818	668.760862	285.239138	4.859821	0.268848	1254
CTHSW_000040-T1	GBNWB_007189-T1	0.000000	0.044393	0.000010	602.093650	186.906350	3.786170	0.031549	789
CTHSW_000043-T1	GBNWB_007192-T1	0.003153	0.083994	0.037537	317.838862	180.161138	9.286760	0.097196	498
CTHSW_000048-T1	GBNWB_007196-T1	0.010335	0.158280	0.065295	779.444182	225.555818	2.412771	0.130616	1302
CTHSW_000049-T1	GBNWB_007197-T1	0.007111	0.068160	0.104325	1130.933189	390.066811	5.575794	0.068301	1521
CTHSW_000050-T1	GBNWB_007198-T1	0.010274	0.127326	0.080691	491.009294	177.990706	6.800978	0.124249	672
CTHSW_000051-T1	GBNWB_007199-T1	0.019088	0.101109	0.188789	477.916705	185.083295	9.758668	0.125956	663
CTHSW_000052-T1	GBNWB_007200-T1	0.016104	0.066967	0.240478	440.143897	174.856103	10.022883	0.091696	618
CTHSW_000053-T1	GBNWB_007201-T1	0.026828	0.113201	0.236995	683.674390	234.325610	3.350641	0.146627	990
CTHSW_000054-T1	GBNWB_007202-T1	0.016238	0.083559	0.194330	1434.209091	578.790909	5.901428	0.106783	2016
CTHSW_000055-T1	GBNWB_007203-T1	0.012851	0.154174	0.083356	1334.460950	501.539050	3.079520	0.154369	1836
CTHSW_000056-T1	GBNWB_007204-T1	0.008087	0.100856	0.080180	622.470931	259.529069	7.660005	0.106152	882
CTHSW_000057-T1	GBNWB_008867-T1	0.124786	0.166332	0.750222	1109.870327	330.129673	1.499295	0.402931	2331
CTHSW_000058-T1	GBNWB_012878-T1	0.002430	0.220729	0.011009	1648.787186	508.212814	1.985970	0.161591	2157
CTHSW_000059-T1	GBNWB_012879-T1	0.008701	0.131489	0.066172	520.609183	262.390817	18.082811	0.149545	783
CTHSW_000061-T1	GBNWB_012881-T1	0.013019	0.132914	0.097952	620.171957	243.828043	4.007602	0.140563	864
CTHSW_000062-T1	GBNWB_012882-T1	0.027693	0.109172	0.253668	367.887668	118.112332	1.991026	0.142485	561
