	Pirella_circinans_RSA_622-.aa	Pirella_circinans_RSA_682.aa
OG0008820	GBNTW_000005-T1	
OG0008821	GBNTW_000013-T1	
OG0008822	GBNTW_000055-T1	
OG0008823	GBNTW_000097-T1	
OG0008824	GBNTW_000101-T1	
OG0008825	GBNTW_000109-T1	
OG0008826	GBNTW_000119-T1	
OG0008827	GBNTW_000148-T1	
OG0008828	GBNTW_000160-T1	
OG0008829	GBNTW_000208-T1	
OG0008830	GBNTW_000226-T1	
OG0008831	GBNTW_000230-T1	
OG0008832	GBNTW_000236-T1	
OG0008833	GBNTW_000252-T1	
OG0008834	GBNTW_000261-T1	
OG0008835	GBNTW_000274-T1	
OG0008836	GBNTW_000278-T1	
OG0008837	GBNTW_000280-T1	
OG0008838	GBNTW_000281-T1	
OG0008839	GBNTW_000299-T1	
OG0008840	GBNTW_000301-T1	
OG0008841	GBNTW_000303-T1	
OG0008842	GBNTW_000309-T1	
OG0008843	GBNTW_000318-T1	
OG0008844	GBNTW_000326-T1	
OG0008845	GBNTW_000364-T1	
OG0008846	GBNTW_000382-T1	
OG0008847	GBNTW_000383-T1	
OG0008848	GBNTW_000397-T1	
OG0008849	GBNTW_000399-T1	
OG0008850	GBNTW_000421-T1	
OG0008851	GBNTW_000423-T1	
OG0008852	GBNTW_000427-T1	
OG0008853	GBNTW_000470-T1	
OG0008854	GBNTW_000475-T1	
OG0008855	GBNTW_000478-T1	
OG0008856	GBNTW_000502-T1	
OG0008857	GBNTW_000509-T1	
OG0008858	GBNTW_000515-T1	
OG0008859	GBNTW_000517-T1	
OG0008860	GBNTW_000524-T1	
OG0008861	GBNTW_000537-T1	
OG0008862	GBNTW_000562-T1	
OG0008863	GBNTW_000592-T1	
OG0008864	GBNTW_000594-T1	
OG0008865	GBNTW_000597-T1	
OG0008866	GBNTW_000598-T1	
OG0008867	GBNTW_000601-T1	
OG0008868	GBNTW_000603-T1	
OG0008869	GBNTW_000629-T1	
OG0008870	GBNTW_000635-T1	
OG0008871	GBNTW_000636-T1	
OG0008872	GBNTW_000644-T1	
OG0008873	GBNTW_000652-T1	
OG0008874	GBNTW_000656-T1	
OG0008875	GBNTW_000657-T1	
OG0008876	GBNTW_000659-T1	
OG0008877	GBNTW_000666-T1	
OG0008878	GBNTW_000669-T1	
OG0008879	GBNTW_000679-T1	
OG0008880	GBNTW_000687-T1	
OG0008881	GBNTW_000692-T1	
OG0008882	GBNTW_000699-T1	
OG0008883	GBNTW_000733-T1	
OG0008884	GBNTW_000734-T1	
OG0008885	GBNTW_000741-T1	
OG0008886	GBNTW_000742-T1	
OG0008887	GBNTW_000751-T1	
OG0008888	GBNTW_000768-T1	
OG0008889	GBNTW_000775-T1	
OG0008890	GBNTW_000798-T1	
OG0008891	GBNTW_000799-T1	
OG0008892	GBNTW_000800-T1	
OG0008893	GBNTW_000830-T1	
OG0008894	GBNTW_000831-T1	
OG0008895	GBNTW_000834-T1	
OG0008896	GBNTW_000839-T1	
OG0008897	GBNTW_000840-T1	
OG0008898	GBNTW_000842-T1	
OG0008899	GBNTW_000847-T1	
OG0008900	GBNTW_000851-T1	
OG0008901	GBNTW_000855-T1	
OG0008902	GBNTW_000864-T1	
OG0008903	GBNTW_000866-T1	
OG0008904	GBNTW_000868-T1	
OG0008905	GBNTW_000874-T1	
OG0008906	GBNTW_000875-T1	
OG0008907	GBNTW_000895-T1	
OG0008908	GBNTW_000911-T1	
OG0008909	GBNTW_000915-T1	
OG0008910	GBNTW_000936-T1	
OG0008911	GBNTW_000952-T1	
OG0008912	GBNTW_000966-T1	
OG0008913	GBNTW_000969-T1	
OG0008914	GBNTW_000988-T1	
OG0008915	GBNTW_000998-T1	
OG0008916	GBNTW_001009-T1	
OG0008917	GBNTW_001016-T1	
OG0008918	GBNTW_001017-T1	
OG0008919	GBNTW_001020-T1	
OG0008920	GBNTW_001037-T1	
OG0008921	GBNTW_001044-T1	
OG0008922	GBNTW_001058-T1	
OG0008923	GBNTW_001062-T1	
OG0008924	GBNTW_001067-T1	
OG0008925	GBNTW_001073-T1	
OG0008926	GBNTW_001075-T1	
OG0008927	GBNTW_001093-T1	
OG0008928	GBNTW_001111-T1	
OG0008929	GBNTW_001116-T1	
OG0008930	GBNTW_001140-T1	
OG0008931	GBNTW_001146-T1	
OG0008932	GBNTW_001166-T1	
OG0008933	GBNTW_001169-T1	
OG0008934	GBNTW_001171-T1	
OG0008935	GBNTW_001182-T1	
OG0008936	GBNTW_001195-T1	
OG0008937	GBNTW_001199-T1	
OG0008938	GBNTW_001208-T1	
OG0008939	GBNTW_001226-T1	
OG0008940	GBNTW_001227-T1	
OG0008941	GBNTW_001230-T1	
OG0008942	GBNTW_001234-T1	
OG0008943	GBNTW_001258-T1	
OG0008944	GBNTW_001295-T1	
OG0008945	GBNTW_001311-T1	
OG0008946	GBNTW_001317-T1	
OG0008947	GBNTW_001338-T1	
OG0008948	GBNTW_001340-T1	
OG0008949	GBNTW_001345-T1	
OG0008950	GBNTW_001362-T1	
OG0008951	GBNTW_001363-T1	
OG0008952	GBNTW_001364-T1	
OG0008953	GBNTW_001368-T1	
OG0008954	GBNTW_001381-T1	
OG0008955	GBNTW_001404-T1	
OG0008956	GBNTW_001405-T1	
OG0008957	GBNTW_001411-T1	
OG0008958	GBNTW_001439-T1	
OG0008959	GBNTW_001457-T1	
OG0008960	GBNTW_001460-T1	
OG0008961	GBNTW_001469-T1	
OG0008962	GBNTW_001479-T1	
OG0008963	GBNTW_001500-T1	
OG0008964	GBNTW_001502-T1	
OG0008965	GBNTW_001508-T1	
OG0008966	GBNTW_001517-T1	
OG0008967	GBNTW_001532-T1	
OG0008968	GBNTW_001534-T1	
OG0008969	GBNTW_001536-T1	
OG0008970	GBNTW_001539-T1	
OG0008971	GBNTW_001540-T1	
OG0008972	GBNTW_001580-T1	
OG0008973	GBNTW_001585-T1	
OG0008974	GBNTW_001599-T1	
OG0008975	GBNTW_001604-T1	
OG0008976	GBNTW_001633-T1	
OG0008977	GBNTW_001646-T1	
OG0008978	GBNTW_001647-T1	
OG0008979	GBNTW_001666-T1	
OG0008980	GBNTW_001667-T1	
OG0008981	GBNTW_001669-T1	
OG0008982	GBNTW_001685-T1	
OG0008983	GBNTW_001686-T1	
OG0008984	GBNTW_001689-T1	
OG0008985	GBNTW_001706-T1	
OG0008986	GBNTW_001709-T1	
OG0008987	GBNTW_001712-T1	
OG0008988	GBNTW_001726-T1	
OG0008989	GBNTW_001727-T1	
OG0008990	GBNTW_001729-T1	
OG0008991	GBNTW_001769-T1	
OG0008992	GBNTW_001773-T1	
OG0008993	GBNTW_001774-T1	
OG0008994	GBNTW_001780-T1	
OG0008995	GBNTW_001802-T1	
OG0008996	GBNTW_001803-T1	
OG0008997	GBNTW_001804-T1	
OG0008998	GBNTW_001835-T1	
OG0008999	GBNTW_001838-T1	
OG0009000	GBNTW_001843-T1	
OG0009001	GBNTW_001856-T1	
OG0009002	GBNTW_001857-T1	
OG0009003	GBNTW_001860-T1	
OG0009004	GBNTW_001880-T1	
OG0009005	GBNTW_001905-T1	
OG0009006	GBNTW_001919-T1	
OG0009007	GBNTW_001935-T1	
OG0009008	GBNTW_001940-T1	
OG0009009	GBNTW_001945-T1	
OG0009010	GBNTW_001946-T1	
OG0009011	GBNTW_001968-T1	
OG0009012	GBNTW_001969-T1	
OG0009013	GBNTW_002030-T1	
OG0009014	GBNTW_002033-T1	
OG0009015	GBNTW_002050-T1	
OG0009016	GBNTW_002079-T1	
OG0009017	GBNTW_002086-T1	
OG0009018	GBNTW_002092-T1	
OG0009019	GBNTW_002093-T1	
OG0009020	GBNTW_002110-T1	
OG0009021	GBNTW_002112-T1	
OG0009022	GBNTW_002113-T1	
OG0009023	GBNTW_002134-T1	
OG0009024	GBNTW_002159-T1	
OG0009025	GBNTW_002181-T1	
OG0009026	GBNTW_002197-T1	
OG0009027	GBNTW_002199-T1	
OG0009028	GBNTW_002201-T1	
OG0009029	GBNTW_002202-T1	
OG0009030	GBNTW_002220-T1	
OG0009031	GBNTW_002221-T1	
OG0009032	GBNTW_002223-T1	
OG0009033	GBNTW_002240-T1	
OG0009034	GBNTW_002242-T1	
OG0009035	GBNTW_002253-T1	
OG0009036	GBNTW_002257-T1	
OG0009037	GBNTW_002263-T1	
OG0009038	GBNTW_002277-T1	
OG0009039	GBNTW_002283-T1	
OG0009040	GBNTW_002285-T1	
OG0009041	GBNTW_002303-T1	
OG0009042	GBNTW_002306-T1	
OG0009043	GBNTW_002343-T1	
OG0009044	GBNTW_002356-T1	
OG0009045	GBNTW_002363-T1	
OG0009046	GBNTW_002367-T1	
OG0009047	GBNTW_002378-T1	
OG0009048	GBNTW_002407-T1	
OG0009049	GBNTW_002408-T1	
OG0009050	GBNTW_002409-T1	
OG0009051	GBNTW_002420-T1	
OG0009052	GBNTW_002421-T1	
OG0009053	GBNTW_002426-T1	
OG0009054	GBNTW_002441-T1	
OG0009055	GBNTW_002443-T1	
OG0009056	GBNTW_002444-T1	
OG0009057	GBNTW_002462-T1	
OG0009058	GBNTW_002465-T1	
OG0009059	GBNTW_002467-T1	
OG0009060	GBNTW_002487-T1	
OG0009061	GBNTW_002510-T1	
OG0009062	GBNTW_002528-T1	
OG0009063	GBNTW_002529-T1	
OG0009064	GBNTW_002534-T1	
OG0009065	GBNTW_002542-T1	
OG0009066	GBNTW_002553-T1	
OG0009067	GBNTW_002554-T1	
OG0009068	GBNTW_002571-T1	
OG0009069	GBNTW_002576-T1	
OG0009070	GBNTW_002580-T1	
OG0009071	GBNTW_002592-T1	
OG0009072	GBNTW_002602-T1	
OG0009073	GBNTW_002642-T1	
OG0009074	GBNTW_002656-T1	
OG0009075	GBNTW_002659-T1	
OG0009076	GBNTW_002660-T1	
OG0009077	GBNTW_002663-T1	
OG0009078	GBNTW_002671-T1	
OG0009079	GBNTW_002728-T1	
OG0009080	GBNTW_002729-T1	
OG0009081	GBNTW_002730-T1	
OG0009082	GBNTW_002734-T1	
OG0009083	GBNTW_002752-T1	
OG0009084	GBNTW_002753-T1	
OG0009085	GBNTW_002754-T1	
OG0009086	GBNTW_002781-T1	
OG0009087	GBNTW_002813-T1	
OG0009088	GBNTW_002841-T1	
OG0009089	GBNTW_002871-T1	
OG0009090	GBNTW_002886-T1	
OG0009091	GBNTW_002894-T1	
OG0009092	GBNTW_002959-T1	
OG0009093	GBNTW_002966-T1	
OG0009094	GBNTW_002993-T1	
OG0009095	GBNTW_002995-T1	
OG0009096	GBNTW_003058-T1	
OG0009097	GBNTW_003060-T1	
OG0009098	GBNTW_003065-T1	
OG0009099	GBNTW_003066-T1	
OG0009100	GBNTW_003146-T1	
OG0009101	GBNTW_003193-T1	
OG0009102	GBNTW_003231-T1	
OG0009103	GBNTW_003235-T1	
OG0009104	GBNTW_003240-T1	
OG0009105	GBNTW_003246-T1	
OG0009106	GBNTW_003289-T1	
OG0009107	GBNTW_003325-T1	
OG0009108	GBNTW_003340-T1	
OG0009109	GBNTW_003341-T1	
OG0009110	GBNTW_003349-T1	
OG0009111	GBNTW_003352-T1	
OG0009112	GBNTW_003369-T1	
OG0009113	GBNTW_003374-T1	
OG0009114	GBNTW_003410-T1	
OG0009115	GBNTW_003413-T1	
OG0009116	GBNTW_003429-T1	
OG0009117	GBNTW_003462-T1	
OG0009118	GBNTW_003463-T1	
OG0009119	GBNTW_003494-T1	
OG0009120	GBNTW_003497-T1	
OG0009121	GBNTW_003505-T1	
OG0009122	GBNTW_003518-T1	
OG0009123	GBNTW_003566-T1	
OG0009124	GBNTW_003584-T1	
OG0009125	GBNTW_003586-T1	
OG0009126	GBNTW_003595-T1	
OG0009127	GBNTW_003610-T1	
OG0009128	GBNTW_003629-T1	
OG0009129	GBNTW_003682-T1	
OG0009130	GBNTW_003725-T1	
OG0009131	GBNTW_003739-T1	
OG0009132	GBNTW_003741-T1	
OG0009133	GBNTW_003750-T1	
OG0009134	GBNTW_003768-T1	
OG0009135	GBNTW_003784-T1	
OG0009136	GBNTW_003799-T1	
OG0009137	GBNTW_003800-T1	
OG0009138	GBNTW_003801-T1	
OG0009139	GBNTW_003812-T1	
OG0009140	GBNTW_003841-T1	
OG0009141	GBNTW_003864-T1	
OG0009142	GBNTW_003890-T1	
OG0009143	GBNTW_003900-T1	
OG0009144	GBNTW_003921-T1	
OG0009145	GBNTW_003935-T1	
OG0009146	GBNTW_003938-T1	
OG0009147	GBNTW_003939-T1	
OG0009148	GBNTW_003972-T1	
OG0009149	GBNTW_003982-T1	
OG0009150	GBNTW_003983-T1	
OG0009151	GBNTW_004010-T1	
OG0009152	GBNTW_004012-T1	
OG0009153	GBNTW_004027-T1	
