	Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	Thamnostylum_lucknowense_RSA_1093-.aa
OG0008820	GBNSX_000011-T1	
OG0008821	GBNSX_000015-T1	
OG0008822	GBNSX_000021-T1	
OG0008823	GBNSX_000022-T1	
OG0008824	GBNSX_000028-T1	
OG0008825	GBNSX_000043-T1	
OG0008826	GBNSX_000081-T1	
OG0008827	GBNSX_000103-T1	
OG0008828	GBNSX_000158-T1	
OG0008829	GBNSX_000160-T1	
OG0008830	GBNSX_000166-T1	
OG0008831	GBNSX_000175-T1	
OG0008832	GBNSX_000188-T1	
OG0008833	GBNSX_000190-T1	
OG0008834	GBNSX_000191-T1	
OG0008835	GBNSX_000192-T1	
OG0008836	GBNSX_000195-T1	
OG0008837	GBNSX_000196-T1	
OG0008838	GBNSX_000199-T1	
OG0008839	GBNSX_000200-T1	
OG0008840	GBNSX_000203-T1	
OG0008841	GBNSX_000206-T1	
OG0008842	GBNSX_000223-T1	
OG0008843	GBNSX_000235-T1	
OG0008844	GBNSX_000237-T1	
OG0008845	GBNSX_000238-T1	
OG0008846	GBNSX_000240-T1	
OG0008847	GBNSX_000243-T1	
OG0008848	GBNSX_000259-T1	
OG0008849	GBNSX_000266-T1	
OG0008850	GBNSX_000270-T1	
OG0008851	GBNSX_000271-T1	
OG0008852	GBNSX_000272-T1	
OG0008853	GBNSX_000273-T1	
OG0008854	GBNSX_000276-T1	
OG0008855	GBNSX_000279-T1	
OG0008856	GBNSX_000281-T1	
OG0008857	GBNSX_000283-T1	
OG0008858	GBNSX_000284-T1	
OG0008859	GBNSX_000285-T1	
OG0008860	GBNSX_000313-T1	
OG0008861	GBNSX_000316-T1	
OG0008862	GBNSX_000317-T1	
OG0008863	GBNSX_000319-T1	
OG0008864	GBNSX_000320-T1	
OG0008865	GBNSX_000321-T1	
OG0008866	GBNSX_000322-T1	
OG0008867	GBNSX_000323-T1	
OG0008868	GBNSX_000343-T1	
OG0008869	GBNSX_000347-T1	
OG0008870	GBNSX_000351-T1	
OG0008871	GBNSX_000352-T1	
OG0008872	GBNSX_000354-T1	
OG0008873	GBNSX_000355-T1	
OG0008874	GBNSX_000356-T1	
OG0008875	GBNSX_000357-T1	
OG0008876	GBNSX_000360-T1	
OG0008877	GBNSX_000366-T1	
OG0008878	GBNSX_000369-T1	
OG0008879	GBNSX_000371-T1	
OG0008880	GBNSX_000378-T1	
OG0008881	GBNSX_000388-T1	
OG0008882	GBNSX_000389-T1	
OG0008883	GBNSX_000391-T1	
OG0008884	GBNSX_000392-T1	
OG0008885	GBNSX_000393-T1	
OG0008886	GBNSX_000395-T1	
OG0008887	GBNSX_000396-T1	
OG0008888	GBNSX_000397-T1	
OG0008889	GBNSX_000398-T1	
OG0008890	GBNSX_000399-T1	
OG0008891	GBNSX_000400-T1	
OG0008892	GBNSX_000401-T1	
OG0008893	GBNSX_000402-T1	
OG0008894	GBNSX_000403-T1	
OG0008895	GBNSX_000404-T1	
OG0008896	GBNSX_000422-T1	
OG0008897	GBNSX_000423-T1	
OG0008898	GBNSX_000424-T1	
OG0008899	GBNSX_000425-T1	
OG0008900	GBNSX_000426-T1	
OG0008901	GBNSX_000427-T1	
OG0008902	GBNSX_000428-T1	
OG0008903	GBNSX_000430-T1	
OG0008904	GBNSX_000431-T1	
OG0008905	GBNSX_000432-T1	
OG0008906	GBNSX_000433-T1	
OG0008907	GBNSX_000437-T1	
OG0008908	GBNSX_000438-T1	
OG0008909	GBNSX_000439-T1	
OG0008910	GBNSX_000456-T1	
OG0008911	GBNSX_000460-T1	
OG0008912	GBNSX_000461-T1	
OG0008913	GBNSX_000462-T1	
OG0008914	GBNSX_000464-T1	
OG0008915	GBNSX_000467-T1	
OG0008916	GBNSX_000468-T1	
OG0008917	GBNSX_000470-T1	
OG0008918	GBNSX_000471-T1	
OG0008919	GBNSX_000472-T1	
OG0008920	GBNSX_000473-T1	
OG0008921	GBNSX_000476-T1	
OG0008922	GBNSX_000481-T1	
OG0008923	GBNSX_000483-T1	
OG0008924	GBNSX_000497-T1	
OG0008925	GBNSX_000501-T1	
OG0008926	GBNSX_000504-T1	
OG0008927	GBNSX_000505-T1	
OG0008928	GBNSX_000509-T1	
OG0008929	GBNSX_000510-T1	
OG0008930	GBNSX_000511-T1	
OG0008931	GBNSX_000512-T1	
OG0008932	GBNSX_000528-T1	
OG0008933	GBNSX_000535-T1	
OG0008934	GBNSX_000536-T1	
OG0008935	GBNSX_000537-T1	
OG0008936	GBNSX_000540-T1	
OG0008937	GBNSX_000542-T1	
OG0008938	GBNSX_000543-T1	
OG0008939	GBNSX_000547-T1	
OG0008940	GBNSX_000553-T1	
OG0008941	GBNSX_000555-T1	
OG0008942	GBNSX_000559-T1	
OG0008943	GBNSX_000560-T1	
OG0008944	GBNSX_000567-T1	
OG0008945	GBNSX_000587-T1	
OG0008946	GBNSX_000615-T1	
OG0008947	GBNSX_000621-T1	
OG0008948	GBNSX_000623-T1	
OG0008949	GBNSX_000624-T1	
OG0008950	GBNSX_000625-T1	
OG0008951	GBNSX_000630-T1	
OG0008952	GBNSX_000631-T1	
OG0008953	GBNSX_000633-T1	
OG0008954	GBNSX_000660-T1	
OG0008955	GBNSX_000661-T1	
OG0008956	GBNSX_000662-T1	
OG0008957	GBNSX_000663-T1	
OG0008958	GBNSX_000664-T1	
OG0008959	GBNSX_000665-T1	
OG0008960	GBNSX_000666-T1	
OG0008961	GBNSX_000669-T1	
OG0008962	GBNSX_000672-T1	
OG0008963	GBNSX_000677-T1	
OG0008964	GBNSX_000679-T1	
OG0008965	GBNSX_000684-T1	
OG0008966	GBNSX_000691-T1	
OG0008967	GBNSX_000697-T1	
OG0008968	GBNSX_000698-T1	
OG0008969	GBNSX_000699-T1	
OG0008970	GBNSX_000700-T1	
OG0008971	GBNSX_000713-T1	
OG0008972	GBNSX_000715-T1	
OG0008973	GBNSX_000719-T1	
OG0008974	GBNSX_000727-T1	
OG0008975	GBNSX_000729-T1	
OG0008976	GBNSX_000730-T1	
OG0008977	GBNSX_000731-T1	
OG0008978	GBNSX_000732-T1	
OG0008979	GBNSX_000734-T1	
OG0008980	GBNSX_000736-T1	
OG0008981	GBNSX_000750-T1	
OG0008982	GBNSX_000756-T1	
OG0008983	GBNSX_000765-T1	
OG0008984	GBNSX_000767-T1	
OG0008985	GBNSX_000768-T1	
OG0008986	GBNSX_000769-T1	
OG0008987	GBNSX_000771-T1	
OG0008988	GBNSX_000774-T1	
OG0008989	GBNSX_000777-T1	
OG0008990	GBNSX_000799-T1	
OG0008991	GBNSX_000803-T1	
OG0008992	GBNSX_000804-T1	
OG0008993	GBNSX_000805-T1	
OG0008994	GBNSX_000806-T1	
OG0008995	GBNSX_000814-T1	
OG0008996	GBNSX_000819-T1	
OG0008997	GBNSX_000823-T1	
OG0008998	GBNSX_000834-T1	
OG0008999	GBNSX_000837-T1	
OG0009000	GBNSX_000843-T1	
OG0009001	GBNSX_000845-T1	
OG0009002	GBNSX_000846-T1	
OG0009003	GBNSX_000847-T1	
OG0009004	GBNSX_000848-T1	
OG0009005	GBNSX_000869-T1	
OG0009006	GBNSX_000870-T1	
OG0009007	GBNSX_000871-T1	
OG0009008	GBNSX_000874-T1	
OG0009009	GBNSX_000876-T1	
OG0009010	GBNSX_000883-T1	
OG0009011	GBNSX_000909-T1	
OG0009012	GBNSX_000922-T1	
OG0009013	GBNSX_000923-T1	
OG0009014	GBNSX_000928-T1	
OG0009015	GBNSX_000929-T1	
OG0009016	GBNSX_000938-T1	
OG0009017	GBNSX_000957-T1	
OG0009018	GBNSX_000961-T1	
OG0009019	GBNSX_000995-T1	
OG0009020	GBNSX_001015-T1	
OG0009021	GBNSX_001019-T1	
OG0009022	GBNSX_001024-T1	
OG0009023	GBNSX_001031-T1	
OG0009024	GBNSX_001037-T1	
OG0009025	GBNSX_001047-T1	
OG0009026	GBNSX_001048-T1	
OG0009027	GBNSX_001049-T1	
OG0009028	GBNSX_001051-T1	
OG0009029	GBNSX_001052-T1	
OG0009030	GBNSX_001053-T1	
OG0009031	GBNSX_001062-T1	
OG0009032	GBNSX_001074-T1	
OG0009033	GBNSX_001078-T1	
OG0009034	GBNSX_001079-T1	
OG0009035	GBNSX_001080-T1	
OG0009036	GBNSX_001081-T1	
OG0009037	GBNSX_001085-T1	
OG0009038	GBNSX_001087-T1	
OG0009039	GBNSX_001088-T1	
OG0009040	GBNSX_001106-T1	
OG0009041	GBNSX_001109-T1	
OG0009042	GBNSX_001112-T1	
OG0009043	GBNSX_001125-T1	
OG0009044	GBNSX_001139-T1	
OG0009045	GBNSX_001141-T1	
OG0009046	GBNSX_001143-T1	
OG0009047	GBNSX_001144-T1	
OG0009048	GBNSX_001146-T1	
OG0009049	GBNSX_001147-T1	
OG0009050	GBNSX_001169-T1	
OG0009051	GBNSX_001170-T1	
OG0009052	GBNSX_001171-T1	
OG0009053	GBNSX_001172-T1	
OG0009054	GBNSX_001175-T1	
OG0009055	GBNSX_001176-T1	
OG0009056	GBNSX_001177-T1	
OG0009057	GBNSX_001191-T1	
OG0009058	GBNSX_001194-T1	
OG0009059	GBNSX_001203-T1	
OG0009060	GBNSX_001204-T1	
OG0009061	GBNSX_001206-T1	
OG0009062	GBNSX_001207-T1	
OG0009063	GBNSX_001208-T1	
OG0009064	GBNSX_001209-T1	
OG0009065	GBNSX_001237-T1	
OG0009066	GBNSX_001254-T1	
OG0009067	GBNSX_001261-T1	
OG0009068	GBNSX_001263-T1	
OG0009069	GBNSX_001265-T1	
OG0009070	GBNSX_001267-T1	
OG0009071	GBNSX_001269-T1	
OG0009072	GBNSX_001271-T1	
OG0009073	GBNSX_001272-T1	
OG0009074	GBNSX_001281-T1	
OG0009075	GBNSX_001296-T1	
OG0009076	GBNSX_001297-T1	
OG0009077	GBNSX_001298-T1	
OG0009078	GBNSX_001299-T1	
OG0009079	GBNSX_001306-T1	
OG0009080	GBNSX_001329-T1	
OG0009081	GBNSX_001348-T1	
OG0009082	GBNSX_001377-T1	
OG0009083	GBNSX_001378-T1	
OG0009084	GBNSX_001379-T1	
OG0009085	GBNSX_001380-T1	
OG0009086	GBNSX_001385-T1	
OG0009087	GBNSX_001386-T1	
OG0009088	GBNSX_001399-T1	
OG0009089	GBNSX_001402-T1	
OG0009090	GBNSX_001407-T1	
OG0009091	GBNSX_001412-T1	
OG0009092	GBNSX_001413-T1	
OG0009093	GBNSX_001414-T1	
OG0009094	GBNSX_001415-T1	
OG0009095	GBNSX_001416-T1	
OG0009096	GBNSX_001417-T1	
OG0009097	GBNSX_001423-T1	
OG0009098	GBNSX_001424-T1	
OG0009099	GBNSX_001439-T1	
OG0009100	GBNSX_001441-T1	
OG0009101	GBNSX_001442-T1	
OG0009102	GBNSX_001443-T1	
OG0009103	GBNSX_001445-T1	
OG0009104	GBNSX_001446-T1	
OG0009105	GBNSX_001455-T1	
OG0009106	GBNSX_001456-T1	
OG0009107	GBNSX_001465-T1	
OG0009108	GBNSX_001474-T1	
OG0009109	GBNSX_001477-T1	
OG0009110	GBNSX_001505-T1	
OG0009111	GBNSX_001507-T1	
OG0009112	GBNSX_001511-T1	
OG0009113	GBNSX_001513-T1	
OG0009114	GBNSX_001529-T1	
OG0009115	GBNSX_001530-T1	
OG0009116	GBNSX_001555-T1	
OG0009117	GBNSX_001558-T1	
OG0009118	GBNSX_001559-T1	
OG0009119	GBNSX_001560-T1	
OG0009120	GBNSX_001562-T1	
OG0009121	GBNSX_001564-T1	
OG0009122	GBNSX_001567-T1	
OG0009123	GBNSX_001578-T1	
OG0009124	GBNSX_001583-T1	
OG0009125	GBNSX_001584-T1	
OG0009126	GBNSX_001587-T1	
OG0009127	GBNSX_001591-T1	
OG0009128	GBNSX_001611-T1	
OG0009129	GBNSX_001612-T1	
OG0009130	GBNSX_001613-T1	
OG0009131	GBNSX_001615-T1	
OG0009132	GBNSX_001616-T1	
OG0009133	GBNSX_001617-T1	
OG0009134	GBNSX_001618-T1	
OG0009135	GBNSX_001620-T1	
OG0009136	GBNSX_001625-T1	
OG0009137	GBNSX_001636-T1	
OG0009138	GBNSX_001641-T1	
OG0009139	GBNSX_001644-T1	
OG0009140	GBNSX_001646-T1	
OG0009141	GBNSX_001647-T1	
OG0009142	GBNSX_001648-T1	
OG0009143	GBNSX_001649-T1	
OG0009144	GBNSX_001651-T1	
OG0009145	GBNSX_001665-T1	
OG0009146	GBNSX_001689-T1	
OG0009147	GBNSX_001692-T1	
OG0009148	GBNSX_001701-T1	
OG0009149	GBNSX_001705-T1	
OG0009150	GBNSX_001713-T1	
OG0009151	GBNSX_001719-T1	
OG0009152	GBNSX_001728-T1	
OG0009153	GBNSX_001730-T1	
OG0009154	GBNSX_001731-T1	
OG0009155	GBNSX_001752-T1	
OG0009156	GBNSX_001756-T1	
OG0009157	GBNSX_001757-T1	
OG0009158	GBNSX_001758-T1	
OG0009159	GBNSX_001759-T1	
OG0009160	GBNSX_001760-T1	
OG0009161	GBNSX_001763-T1	
OG0009162	GBNSX_001781-T1	
OG0009163	GBNSX_001784-T1	
OG0009164	GBNSX_001785-T1	
OG0009165	GBNSX_001786-T1	
OG0009166	GBNSX_001787-T1	
OG0009167	GBNSX_001789-T1	
OG0009168	GBNSX_001811-T1	
OG0009169	GBNSX_001813-T1	
OG0009170	GBNSX_001814-T1	
OG0009171	GBNSX_001815-T1	
OG0009172	GBNSX_001817-T1	
OG0009173	GBNSX_001818-T1	
OG0009174	GBNSX_001819-T1	
OG0009175	GBNSX_001822-T1	
OG0009176	GBNSX_001823-T1	
OG0009177	GBNSX_001825-T1	
OG0009178	GBNSX_001837-T1	
OG0009179	GBNSX_001838-T1	
OG0009180	GBNSX_001839-T1	
OG0009181	GBNSX_001841-T1	
OG0009182	GBNSX_001843-T1	
OG0009183	GBNSX_001844-T1	
OG0009184	GBNSX_001845-T1	
OG0009185	GBNSX_001846-T1	
OG0009186	GBNSX_001849-T1	
OG0009187	GBNSX_001850-T1	
OG0009188	GBNSX_001851-T1	
OG0009189	GBNSX_001853-T1	
OG0009190	GBNSX_001856-T1	
OG0009191	GBNSX_001874-T1	
OG0009192	GBNSX_001876-T1	
OG0009193	GBNSX_001877-T1	
OG0009194	GBNSX_001879-T1	
OG0009195	GBNSX_001885-T1	
OG0009196	GBNSX_001886-T1	
OG0009197	GBNSX_001892-T1	
OG0009198	GBNSX_001894-T1	
OG0009199	GBNSX_001895-T1	
OG0009200	GBNSX_001897-T1	
OG0009201	GBNSX_001898-T1	
OG0009202	GBNSX_001902-T1	
OG0009203	GBNSX_001904-T1	
OG0009204	GBNSX_001906-T1	
OG0009205	GBNSX_001908-T1	
OG0009206	GBNSX_001927-T1	
OG0009207	GBNSX_001937-T1	
OG0009208	GBNSX_001939-T1	
OG0009209	GBNSX_001942-T1	
OG0009210	GBNSX_001961-T1	
OG0009211	GBNSX_001963-T1	
OG0009212	GBNSX_001965-T1	
OG0009213	GBNSX_001967-T1	
OG0009214	GBNSX_001968-T1	
OG0009215	GBNSX_001969-T1	
OG0009216	GBNSX_001983-T1	
OG0009217	GBNSX_001987-T1	
OG0009218	GBNSX_001993-T1	
OG0009219	GBNSX_001995-T1	
OG0009220	GBNSX_002000-T1	
OG0009221	GBNSX_002008-T1	
OG0009222	GBNSX_002009-T1	
OG0009223	GBNSX_002024-T1	
OG0009224	GBNSX_002050-T1	
OG0009225	GBNSX_002062-T1	
OG0009226	GBNSX_002077-T1	
OG0009227	GBNSX_002079-T1	
OG0009228	GBNSX_002095-T1	
OG0009229	GBNSX_002101-T1	
OG0009230	GBNSX_002102-T1	
OG0009231	GBNSX_002139-T1	
OG0009232	GBNSX_002141-T1	
OG0009233	GBNSX_002145-T1	
OG0009234	GBNSX_002151-T1	
OG0009235	GBNSX_002152-T1	
OG0009236	GBNSX_002153-T1	
OG0009237	GBNSX_002154-T1	
OG0009238	GBNSX_002163-T1	
OG0009239	GBNSX_002170-T1	
OG0009240	GBNSX_002179-T1	
OG0009241	GBNSX_002180-T1	
OG0009242	GBNSX_002183-T1	
OG0009243	GBNSX_002184-T1	
OG0009244	GBNSX_002189-T1	
OG0009245	GBNSX_002193-T1	
OG0009246	GBNSX_002200-T1	
OG0009247	GBNSX_002205-T1	
OG0009248	GBNSX_002208-T1	
OG0009249	GBNSX_002210-T1	
OG0009250	GBNSX_002211-T1	
OG0009251	GBNSX_002212-T1	
OG0009252	GBNSX_002220-T1	
OG0009253	GBNSX_002234-T1	
OG0009254	GBNSX_002236-T1	
OG0009255	GBNSX_002241-T1	
OG0009256	GBNSX_002242-T1	
OG0009257	GBNSX_002264-T1	
OG0009258	GBNSX_002266-T1	
OG0009259	GBNSX_002267-T1	
OG0009260	GBNSX_002268-T1	
OG0009261	GBNSX_002287-T1	
OG0009262	GBNSX_002289-T1	
OG0009263	GBNSX_002293-T1	
OG0009264	GBNSX_002302-T1	
OG0009265	GBNSX_002303-T1	
OG0009266	GBNSX_002306-T1	
OG0009267	GBNSX_002308-T1	
OG0009268	GBNSX_002309-T1	
OG0009269	GBNSX_002311-T1	
OG0009270	GBNSX_002313-T1	
OG0009271	GBNSX_002314-T1	
OG0009272	GBNSX_002315-T1	
OG0009273	GBNSX_002316-T1	
OG0009274	GBNSX_002326-T1	
OG0009275	GBNSX_002341-T1	
OG0009276	GBNSX_002351-T1	
OG0009277	GBNSX_002361-T1	
OG0009278	GBNSX_002390-T1	
OG0009279	GBNSX_002392-T1	
OG0009280	GBNSX_002407-T1	
OG0009281	GBNSX_002409-T1	
OG0009282	GBNSX_002410-T1	
OG0009283	GBNSX_002411-T1	
OG0009284	GBNSX_002413-T1	
OG0009285	GBNSX_002414-T1	
OG0009286	GBNSX_002417-T1	
OG0009287	GBNSX_002421-T1	
OG0009288	GBNSX_002429-T1	
OG0009289	GBNSX_002433-T1	
OG0009290	GBNSX_002435-T1	
OG0009291	GBNSX_002436-T1	
OG0009292	GBNSX_002449-T1	
OG0009293	GBNSX_002450-T1	
OG0009294	GBNSX_002451-T1	
OG0009295	GBNSX_002456-T1	
OG0009296	GBNSX_002458-T1	
OG0009297	GBNSX_002471-T1	
OG0009298	GBNSX_002472-T1	
OG0009299	GBNSX_002474-T1	
OG0009300	GBNSX_002475-T1	
OG0009301	GBNSX_002476-T1	
OG0009302	GBNSX_002478-T1	
OG0009303	GBNSX_002480-T1	
OG0009304	GBNSX_002481-T1	
OG0009305	GBNSX_002483-T1	
OG0009306	GBNSX_002485-T1	
OG0009307	GBNSX_002486-T1	
OG0009308	GBNSX_002489-T1	
OG0009309	GBNSX_002499-T1	
OG0009310	GBNSX_002500-T1	
OG0009311	GBNSX_002501-T1	
OG0009312	GBNSX_002503-T1	
OG0009313	GBNSX_002504-T1	
OG0009314	GBNSX_002523-T1	
OG0009315	GBNSX_002524-T1	
OG0009316	GBNSX_002525-T1	
OG0009317	GBNSX_002526-T1	
OG0009318	GBNSX_002527-T1	
OG0009319	GBNSX_002531-T1	
OG0009320	GBNSX_002532-T1	
OG0009321	GBNSX_002535-T1	
OG0009322	GBNSX_002542-T1	
OG0009323	GBNSX_002549-T1	
OG0009324	GBNSX_002553-T1	
OG0009325	GBNSX_002558-T1	
OG0009326	GBNSX_002559-T1	
OG0009327	GBNSX_002560-T1	
OG0009328	GBNSX_002561-T1	
OG0009329	GBNSX_002563-T1	
OG0009330	GBNSX_002573-T1	
OG0009331	GBNSX_002576-T1	
OG0009332	GBNSX_002585-T1	
OG0009333	GBNSX_002587-T1	
OG0009334	GBNSX_002590-T1	
OG0009335	GBNSX_002600-T1	
OG0009336	GBNSX_002613-T1	
OG0009337	GBNSX_002617-T1	
OG0009338	GBNSX_002618-T1	
OG0009339	GBNSX_002628-T1	
OG0009340	GBNSX_002629-T1	
OG0009341	GBNSX_002632-T1	
OG0009342	GBNSX_002633-T1	
OG0009343	GBNSX_002640-T1	
OG0009344	GBNSX_002647-T1	
OG0009345	GBNSX_002672-T1	
OG0009346	GBNSX_002676-T1	
OG0009347	GBNSX_002691-T1	
OG0009348	GBNSX_002699-T1	
OG0009349	GBNSX_002700-T1	
OG0009350	GBNSX_002702-T1	
OG0009351	GBNSX_002723-T1	
OG0009352	GBNSX_002728-T1	
OG0009353	GBNSX_002730-T1	
OG0009354	GBNSX_002749-T1	
OG0009355	GBNSX_002750-T1	
OG0009356	GBNSX_002753-T1	
OG0009357	GBNSX_002755-T1	
OG0009358	GBNSX_002756-T1	
OG0009359	GBNSX_002763-T1	
OG0009360	GBNSX_002772-T1	
OG0009361	GBNSX_002773-T1	
OG0009362	GBNSX_002775-T1	
OG0009363	GBNSX_002776-T1	
OG0009364	GBNSX_002779-T1	
OG0009365	GBNSX_002783-T1	
OG0009366	GBNSX_002798-T1	
OG0009367	GBNSX_002801-T1	
OG0009368	GBNSX_002803-T1	
OG0009369	GBNSX_002804-T1	
OG0009370	GBNSX_002813-T1	
OG0009371	GBNSX_002821-T1	
OG0009372	GBNSX_002822-T1	
OG0009373	GBNSX_002823-T1	
OG0009374	GBNSX_002830-T1	
OG0009375	GBNSX_002848-T1	
