	Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	Thamnostylum_lucknowense_RSA_1093-.aa
Number of genes	12418	12072
Number of genes in orthogroups	10654	10531
Number of unassigned genes	1764	1541
Percentage of genes in orthogroups	85.8	87.2
Percentage of unassigned genes	14.2	12.8
Number of orthogroups containing species	8815	8815
Percentage of orthogroups containing species	99.9	99.9
Number of species-specific orthogroups	5	5
Number of genes in species-specific orthogroups	37	42
Percentage of genes in species-specific orthogroups	0.3	0.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	5	5
'1	7658	7696
'2	832	809
'3	182	173
'4	71	81
'5	30	18
'6	20	17
'7	5	6
'8	4	7
'9	3	3
'10	2	1
11-15	6	4
16-20	1	0
21-50	1	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.1	0.1
'1	86.8	87.3
'2	9.4	9.2
'3	2.1	2.0
'4	0.8	0.9
'5	0.3	0.2
'6	0.2	0.2
'7	0.1	0.1
'8	0.0	0.1
'9	0.0	0.0
'10	0.0	0.0
11-15	0.1	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	7658	7696
'2	1664	1618
'3	546	519
'4	284	324
'5	150	90
'6	120	102
'7	35	42
'8	32	56
'9	27	27
'10	20	10
11-15	81	47
16-20	16	0
21-50	21	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	61.7	63.8
'2	13.4	13.4
'3	4.4	4.3
'4	2.3	2.7
'5	1.2	0.7
'6	1.0	0.8
'7	0.3	0.3
'8	0.3	0.5
'9	0.2	0.2
'10	0.2	0.1
11-15	0.7	0.4
16-20	0.1	0.0
21-50	0.2	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
