	Circinella_umbellata_RSA_505-.aa	Circinella_umbellata_RSA_505_Plus.aa
OG0000000	GBNWG_000261-T1, GBNWG_000344-T1, GBNWG_000709-T1, GBNWG_000881-T1, GBNWG_002205-T1, GBNWG_003003-T1, GBNWG_003742-T1, GBNWG_003827-T1, GBNWG_004039-T1, GBNWG_004703-T1, GBNWG_004912-T1, GBNWG_004916-T1, GBNWG_005667-T1, GBNWG_006271-T1, GBNWG_006679-T1, GBNWG_006717-T1, GBNWG_007589-T1, GBNWG_008138-T1, GBNWG_008224-T1, GBNWG_008296-T1, GBNWG_008373-T1, GBNWG_008744-T1, GBNWG_008929-T1, GBNWG_009183-T1, GBNWG_009663-T1, GBNWG_009677-T1, GBNWG_009731-T1, GBNWG_009738-T1, GBNWG_009798-T1, GBNWG_010082-T1	
OG0000001	GBNWG_000109-T1, GBNWG_000830-T1, GBNWG_000867-T1, GBNWG_001016-T1, GBNWG_001209-T1, GBNWG_003963-T1, GBNWG_003999-T1, GBNWG_004642-T1, GBNWG_004744-T1, GBNWG_004807-T1, GBNWG_005068-T1, GBNWG_005196-T1, GBNWG_005247-T1, GBNWG_005665-T1, GBNWG_005892-T1, GBNWG_005936-T1, GBNWG_006119-T1, GBNWG_006273-T1, GBNWG_006283-T1, GBNWG_006675-T1, GBNWG_007451-T1, GBNWG_009013-T1, GBNWG_009559-T1, GBNWG_009770-T1, GBNWG_009785-T1	GBNWH_002088-T1, GBNWH_002989-T1, GBNWH_004591-T1, GBNWH_005372-T1
OG0000002	GBNWG_000129-T1, GBNWG_001046-T1, GBNWG_001122-T1, GBNWG_001145-T1, GBNWG_001540-T1, GBNWG_002025-T1, GBNWG_002943-T1, GBNWG_002946-T1, GBNWG_004374-T1, GBNWG_005921-T1, GBNWG_006542-T1, GBNWG_006676-T1, GBNWG_006806-T1, GBNWG_007384-T1, GBNWG_007860-T1, GBNWG_008110-T1, GBNWG_008210-T1, GBNWG_008211-T1, GBNWG_008362-T1, GBNWG_008365-T1, GBNWG_008411-T1, GBNWG_008424-T1, GBNWG_008602-T1, GBNWG_009746-T1	GBNWH_007531-T1, GBNWH_010637-T1
OG0000003	GBNWG_007672-T1, GBNWG_009233-T1, GBNWG_009827-T1	GBNWH_001510-T1, GBNWH_001609-T1, GBNWH_002381-T1, GBNWH_002583-T1, GBNWH_002947-T1, GBNWH_003604-T1, GBNWH_004002-T1, GBNWH_004888-T1, GBNWH_007521-T1, GBNWH_007811-T1, GBNWH_008007-T1, GBNWH_008123-T1, GBNWH_011018-T1, GBNWH_011019-T1, GBNWH_011020-T1, GBNWH_011431-T1, GBNWH_011952-T1
OG0000004	GBNWG_005355-T1, GBNWG_005856-T1, GBNWG_005931-T1, GBNWG_005948-T1, GBNWG_006104-T1, GBNWG_006169-T1, GBNWG_008213-T1, GBNWG_008259-T1, GBNWG_008319-T1, GBNWG_008394-T1, GBNWG_008644-T1, GBNWG_008659-T1, GBNWG_008708-T1, GBNWG_008976-T1, GBNWG_009323-T1, GBNWG_009511-T1, GBNWG_009546-T1, GBNWG_009850-T1, GBNWG_009932-T1	
OG0000005	GBNWG_008003-T1, GBNWG_009807-T1	GBNWH_000635-T1, GBNWH_001404-T1, GBNWH_001466-T1, GBNWH_001469-T1, GBNWH_001470-T1, GBNWH_002779-T1, GBNWH_003402-T1, GBNWH_006022-T1, GBNWH_006593-T1, GBNWH_008972-T1, GBNWH_009635-T1, GBNWH_009636-T1, GBNWH_009637-T1, GBNWH_009945-T1, GBNWH_010311-T1, GBNWH_010817-T1
OG0000006	GBNWG_000216-T1, GBNWG_000307-T1, GBNWG_002494-T1, GBNWG_002700-T1, GBNWG_003582-T1, GBNWG_004539-T1, GBNWG_004655-T1, GBNWG_004883-T1, GBNWG_008828-T1	GBNWH_000155-T1, GBNWH_002021-T1, GBNWH_002789-T1, GBNWH_006128-T1, GBNWH_007570-T1, GBNWH_008871-T1, GBNWH_010385-T1, GBNWH_011977-T1
OG0000007	GBNWG_004353-T1, GBNWG_005731-T1	GBNWH_000509-T1, GBNWH_000705-T1, GBNWH_003575-T1, GBNWH_004940-T1, GBNWH_006028-T1, GBNWH_006987-T1, GBNWH_007672-T1, GBNWH_007673-T1, GBNWH_009548-T1, GBNWH_009828-T1, GBNWH_009954-T1, GBNWH_009955-T1, GBNWH_010617-T1, GBNWH_010620-T1, GBNWH_011434-T1
OG0000008	GBNWG_000346-T1, GBNWG_001111-T1, GBNWG_001465-T1, GBNWG_002094-T1, GBNWG_003639-T1, GBNWG_003670-T1, GBNWG_004068-T1, GBNWG_004175-T1, GBNWG_005111-T1, GBNWG_006186-T1, GBNWG_006688-T1, GBNWG_006933-T1, GBNWG_007730-T1, GBNWG_008139-T1	
OG0000009	GBNWG_000625-T1, GBNWG_001388-T1, GBNWG_001761-T1, GBNWG_003073-T1, GBNWG_003192-T1, GBNWG_004484-T1, GBNWG_007385-T1, GBNWG_008047-T1, GBNWG_008359-T1, GBNWG_008704-T1, GBNWG_008912-T1, GBNWG_009117-T1	GBNWH_003777-T1, GBNWH_009338-T1
