	Circinella_umbellata_RSA_505-.aa	Circinella_umbellata_RSA_505_Plus.aa
OG0003708	GBNWG_000001-T1	
OG0003709	GBNWG_000003-T1	
OG0003710	GBNWG_000006-T1	
OG0003711	GBNWG_000011-T1	
OG0003712	GBNWG_000012-T1	
OG0003713	GBNWG_000014-T1	
OG0003714	GBNWG_000015-T1	
OG0003715	GBNWG_000016-T1	
OG0003716	GBNWG_000019-T1	
OG0003717	GBNWG_000021-T1	
OG0003718	GBNWG_000024-T1	
OG0003719	GBNWG_000025-T1	
OG0003720	GBNWG_000026-T1	
OG0003721	GBNWG_000027-T1	
OG0003722	GBNWG_000028-T1	
OG0003723	GBNWG_000030-T1	
OG0003724	GBNWG_000031-T1	
OG0003725	GBNWG_000033-T1	
OG0003726	GBNWG_000039-T1	
OG0003727	GBNWG_000045-T1	
OG0003728	GBNWG_000048-T1	
OG0003729	GBNWG_000050-T1	
OG0003730	GBNWG_000054-T1	
OG0003731	GBNWG_000056-T1	
OG0003732	GBNWG_000059-T1	
OG0003733	GBNWG_000062-T1	
OG0003734	GBNWG_000063-T1	
OG0003735	GBNWG_000069-T1	
OG0003736	GBNWG_000075-T1	
OG0003737	GBNWG_000078-T1	
OG0003738	GBNWG_000079-T1	
OG0003739	GBNWG_000080-T1	
OG0003740	GBNWG_000082-T1	
OG0003741	GBNWG_000083-T1	
OG0003742	GBNWG_000084-T1	
OG0003743	GBNWG_000085-T1	
OG0003744	GBNWG_000086-T1	
OG0003745	GBNWG_000089-T1	
OG0003746	GBNWG_000090-T1	
OG0003747	GBNWG_000091-T1	
OG0003748	GBNWG_000092-T1	
OG0003749	GBNWG_000094-T1	
OG0003750	GBNWG_000096-T1	
OG0003751	GBNWG_000103-T1	
OG0003752	GBNWG_000104-T1	
OG0003753	GBNWG_000107-T1	
OG0003754	GBNWG_000111-T1	
OG0003755	GBNWG_000112-T1	
OG0003756	GBNWG_000114-T1	
OG0003757	GBNWG_000115-T1	
OG0003758	GBNWG_000118-T1	
OG0003759	GBNWG_000119-T1	
OG0003760	GBNWG_000120-T1	
OG0003761	GBNWG_000121-T1	
OG0003762	GBNWG_000122-T1	
OG0003763	GBNWG_000124-T1	
OG0003764	GBNWG_000125-T1	
OG0003765	GBNWG_000126-T1	
OG0003766	GBNWG_000127-T1	
OG0003767	GBNWG_000130-T1	
OG0003768	GBNWG_000131-T1	
OG0003769	GBNWG_000132-T1	
OG0003770	GBNWG_000137-T1	
OG0003771	GBNWG_000141-T1	
OG0003772	GBNWG_000142-T1	
OG0003773	GBNWG_000145-T1	
OG0003774	GBNWG_000147-T1	
OG0003775	GBNWG_000151-T1	
OG0003776	GBNWG_000153-T1	
OG0003777	GBNWG_000156-T1	
OG0003778	GBNWG_000161-T1	
OG0003779	GBNWG_000162-T1	
OG0003780	GBNWG_000164-T1	
OG0003781	GBNWG_000165-T1	
OG0003782	GBNWG_000167-T1	
OG0003783	GBNWG_000171-T1	
OG0003784	GBNWG_000172-T1	
OG0003785	GBNWG_000173-T1	
OG0003786	GBNWG_000174-T1	
OG0003787	GBNWG_000177-T1	
OG0003788	GBNWG_000178-T1	
