	Backusella_lamprospora_NRRL_1401.aa	Backusella_lamprospora_NRRL_6044_Plus.aa
OG0010317	CTHSW_000007-T1	
OG0010318	CTHSW_000009-T1	
OG0010319	CTHSW_000010-T1	
OG0010320	CTHSW_000017-T1	
OG0010321	CTHSW_000024-T1	
OG0010322	CTHSW_000046-T1	
OG0010323	CTHSW_000106-T1	
OG0010324	CTHSW_000107-T1	
OG0010325	CTHSW_000108-T1	
OG0010326	CTHSW_000122-T1	
OG0010327	CTHSW_000124-T1	
OG0010328	CTHSW_000125-T1	
OG0010329	CTHSW_000127-T1	
OG0010330	CTHSW_000134-T1	
OG0010331	CTHSW_000140-T1	
OG0010332	CTHSW_000161-T1	
OG0010333	CTHSW_000184-T1	
OG0010334	CTHSW_000188-T1	
OG0010335	CTHSW_000198-T1	
OG0010336	CTHSW_000208-T1	
OG0010337	CTHSW_000210-T1	
OG0010338	CTHSW_000212-T1	
OG0010339	CTHSW_000219-T1	
OG0010340	CTHSW_000225-T1	
OG0010341	CTHSW_000228-T1	
OG0010342	CTHSW_000231-T1	
OG0010343	CTHSW_000253-T1	
OG0010344	CTHSW_000266-T1	
OG0010345	CTHSW_000268-T1	
OG0010346	CTHSW_000277-T1	
OG0010347	CTHSW_000283-T1	
OG0010348	CTHSW_000290-T1	
OG0010349	CTHSW_000299-T1	
OG0010350	CTHSW_000301-T1	
OG0010351	CTHSW_000305-T1	
OG0010352	CTHSW_000308-T1	
OG0010353	CTHSW_000312-T1	
OG0010354	CTHSW_000321-T1	
OG0010355	CTHSW_000323-T1	
OG0010356	CTHSW_000327-T1	
OG0010357	CTHSW_000329-T1	
OG0010358	CTHSW_000330-T1	
OG0010359	CTHSW_000332-T1	
OG0010360	CTHSW_000333-T1	
OG0010361	CTHSW_000335-T1	
OG0010362	CTHSW_000346-T1	
OG0010363	CTHSW_000347-T1	
OG0010364	CTHSW_000348-T1	
OG0010365	CTHSW_000352-T1	
OG0010366	CTHSW_000353-T1	
OG0010367	CTHSW_000368-T1	
OG0010368	CTHSW_000381-T1	
OG0010369	CTHSW_000382-T1	
